x	y	n
0	0	2.168404344971009e-19
1	0	0.0
2	0	8.023096076392733e-18
3	0	0.8703882784201092
4	0	0.0
5	0	4.336808689942018e-19
6	0	0.0
7	0	0.0
0	1	0.08835876188532046
1	1	0.0
2	1	0.3850355767768783
3	1	-0.3420834005461172
4	1	-0.22979414103815515
5	1	-3.469446951953614e-18
6	1	0.0
7	1	0.0
0	2	-0.07064858027024748
1	2	0.0
2	2	0.005219528615550499
3	2	-0.4814706903411429
4	2	0.0029180043829174383
5	2	-2.7755575615628914e-17
6	2	0.0
7	2	0.0
0	3	-0.00046299709735267186
1	3	0.0
2	3	-0.3939076371056006
3	3	-0.33927397990940966
4	3	0.22753734844201806
5	3	-5.204170427930421e-17
6	3	0.0
7	3	0.0
