iteration,fitness,test_accuracy,time
0,0.7785588502883911,1.61
0,0.7785588502883911,0.6228070259094238,0.76
1,0.7785588502883911,0.6228070259094238,0.76
2,0.7785588502883911,0.6228070259094238,0.76
3,0.7785588502883911,0.6228070259094238,0.76
4,0.7785588502883911,0.6228070259094238,0.76
5,0.7785588502883911,0.6228070259094238,0.76
6,0.7785588502883911,0.6228070259094238,0.76
7,0.7785588502883911,0.6228070259094238,0.76
8,0.7785588502883911,0.6228070259094238,0.76
9,0.7785588502883911,0.6228070259094238,0.76
10,0.7785588502883911,0.6228070259094238,0.76
11,0.7785588502883911,0.6228070259094238,0.76
12,0.7785588502883911,0.6228070259094238,0.76
13,0.7785588502883911,0.6228070259094238,0.76
14,0.7785588502883911,0.6228070259094238,0.76
15,0.7785588502883911,0.6228070259094238,0.76
16,0.7785588502883911,0.6228070259094238,0.76
17,0.7785588502883911,0.6228070259094238,0.76
18,0.9103690385818481,0.49122804403305054,0.76
19,0.9103690385818481,0.49122804403305054,0.76
20,0.9103690385818481,0.49122804403305054,0.76
21,0.9103690385818481,0.49122804403305054,0.76
22,0.9103690385818481,0.49122804403305054,0.76
23,0.9103690385818481,0.49122804403305054,0.76
24,0.9103690385818481,0.49122804403305054,0.76
25,0.9103690385818481,0.49122804403305054,0.76
26,0.9103690385818481,0.49122804403305054,0.76
27,0.9103690385818481,0.49122804403305054,0.76
28,0.9103690385818481,0.49122804403305054,0.76
29,0.9103690385818481,0.49122804403305054,0.76
30,0.9103690385818481,0.49122804403305054,0.76
31,0.9103690385818481,0.49122804403305054,0.76
32,0.9103690385818481,0.49122804403305054,0.76
33,0.9103690385818481,0.49122804403305054,0.76
34,0.9103690385818481,0.49122804403305054,0.76
35,0.9103690385818481,0.49122804403305054,0.76
36,0.9103690385818481,0.49122804403305054,0.76
37,0.9103690385818481,0.49122804403305054,0.76
38,0.9103690385818481,0.49122804403305054,0.76
39,0.9103690385818481,0.49122804403305054,0.76
40,0.9103690385818481,0.49122804403305054,0.76
41,0.9103690385818481,0.49122804403305054,0.76
42,0.9103690385818481,0.49122804403305054,0.76
43,0.9103690385818481,0.49122804403305054,0.76
44,0.9103690385818481,0.49122804403305054,0.76
45,0.9103690385818481,0.49122804403305054,0.76
46,0.9103690385818481,0.49122804403305054,0.76
47,0.9103690385818481,0.49122804403305054,0.76
48,0.9103690385818481,0.49122804403305054,0.76
49,0.9103690385818481,0.49122804403305054,0.76
50,0.9103690385818481,0.49122804403305054,0.76
51,0.9103690385818481,0.49122804403305054,0.76
52,0.9103690385818481,0.49122804403305054,0.76
53,0.9103690385818481,0.49122804403305054,0.76
54,0.9103690385818481,0.49122804403305054,0.76
55,0.9103690385818481,0.49122804403305054,0.76
56,0.9103690385818481,0.49122804403305054,0.76
57,0.9103690385818481,0.49122804403305054,0.76
58,0.9103690385818481,0.49122804403305054,0.76
59,0.9103690385818481,0.49122804403305054,0.76
60,0.9103690385818481,0.49122804403305054,0.76
61,0.9103690385818481,0.49122804403305054,0.76
62,0.9103690385818481,0.49122804403305054,0.76
63,0.9103690385818481,0.49122804403305054,0.76
64,0.9103690385818481,0.49122804403305054,0.76
65,0.9103690385818481,0.49122804403305054,0.76
66,0.9103690385818481,0.49122804403305054,0.76
67,0.9103690385818481,0.49122804403305054,0.76
68,0.9103690385818481,0.49122804403305054,0.76
69,0.9103690385818481,0.49122804403305054,0.76
70,0.9103690385818481,0.49122804403305054,0.76
71,0.9103690385818481,0.49122804403305054,0.76
72,0.9103690385818481,0.49122804403305054,0.76
73,0.9103690385818481,0.49122804403305054,0.76
74,0.9103690385818481,0.49122804403305054,0.76
75,0.9103690385818481,0.49122804403305054,0.76
76,0.9103690385818481,0.49122804403305054,0.76
77,0.9103690385818481,0.49122804403305054,0.76
78,0.9103690385818481,0.49122804403305054,0.76
79,0.9103690385818481,0.49122804403305054,0.76
80,0.9103690385818481,0.49122804403305054,0.76
81,0.9103690385818481,0.49122804403305054,0.76
82,0.9103690385818481,0.49122804403305054,0.76
83,0.9103690385818481,0.49122804403305054,0.76
84,0.9103690385818481,0.49122804403305054,0.76
85,0.9103690385818481,0.49122804403305054,0.76
86,0.9103690385818481,0.49122804403305054,0.76
87,0.9103690385818481,0.49122804403305054,0.76
88,0.9103690385818481,0.49122804403305054,0.76
89,0.9103690385818481,0.49122804403305054,0.76
90,0.9103690385818481,0.49122804403305054,0.76
91,0.9103690385818481,0.49122804403305054,0.76
92,0.9103690385818481,0.49122804403305054,0.76
93,0.9103690385818481,0.7368420958518982,0.76
94,0.9103690385818481,0.7368420958518982,0.76
95,0.9103690385818481,0.7368420958518982,0.76
96,0.9103690385818481,0.7368420958518982,0.76
97,0.9103690385818481,0.7368420958518982,0.76
98,0.9103690385818481,0.7368420958518982,0.76
99,0.9173989295959473,0.4736841917037964,0.76
100,0.9173989295959473,0.4736841917037964,0.76
101,0.9173989295959473,0.4736841917037964,0.76
102,0.9173989295959473,0.4736841917037964,0.76
103,0.9173989295959473,0.4736841917037964,0.76
104,0.9173989295959473,0.4736841917037964,0.76
105,0.9173989295959473,0.4736841917037964,0.76
106,0.9173989295959473,0.4736841917037964,0.76
107,0.9173989295959473,0.4736841917037964,0.76
108,0.9173989295959473,0.4736841917037964,0.76
109,0.9173989295959473,0.4736841917037964,0.76
110,0.9173989295959473,0.4736841917037964,0.76
111,0.9173989295959473,0.4736841917037964,0.76
112,0.9173989295959473,0.4736841917037964,0.76
113,0.9173989295959473,0.4736841917037964,0.76
114,0.9173989295959473,0.4736841917037964,0.76
115,0.9173989295959473,0.4736841917037964,0.76
116,0.9173989295959473,0.4736841917037964,0.76
117,0.9173989295959473,0.4736841917037964,0.76
118,0.9173989295959473,0.4736841917037964,0.76
119,0.9173989295959473,0.4736841917037964,0.76
120,0.9173989295959473,0.4736841917037964,0.76
121,0.9173989295959473,0.4736841917037964,0.76
122,0.9173989295959473,0.4736841917037964,0.76
123,0.9173989295959473,0.4736841917037964,0.76
124,0.9173989295959473,0.4736841917037964,0.76
125,0.9173989295959473,0.4736841917037964,0.76
126,0.9173989295959473,0.4736841917037964,0.76
127,0.9173989295959473,0.4736841917037964,0.76
128,0.9173989295959473,0.4736841917037964,0.76
129,0.9173989295959473,0.4736841917037964,0.76
130,0.9173989295959473,0.4736841917037964,0.76
131,0.9173989295959473,0.4736841917037964,0.76
132,0.9173989295959473,0.4736841917037964,0.76
133,0.9173989295959473,0.4736841917037964,0.76
134,0.9173989295959473,0.4736841917037964,0.76
135,0.9173989295959473,0.4736841917037964,0.76
136,0.9173989295959473,0.4736841917037964,0.76
137,0.9173989295959473,0.4736841917037964,0.76
138,0.9173989295959473,0.4736841917037964,0.76
139,0.9173989295959473,0.4736841917037964,0.76
140,0.9173989295959473,0.4736841917037964,0.76
141,0.9173989295959473,0.4736841917037964,0.76
142,0.9173989295959473,0.4736841917037964,0.76
143,0.9173989295959473,0.4736841917037964,0.76
144,0.9173989295959473,0.4736841917037964,0.76
145,0.9173989295959473,0.4736841917037964,0.76
146,0.9173989295959473,0.4736841917037964,0.76
147,0.9173989295959473,0.4736841917037964,0.76
148,0.9173989295959473,0.4736841917037964,0.76
149,0.9173989295959473,0.4736841917037964,0.76
150,0.9173989295959473,0.4736841917037964,0.76
151,0.9173989295959473,0.4736841917037964,0.76
152,0.9173989295959473,0.4736841917037964,0.76
153,0.9173989295959473,0.4736841917037964,0.76
154,0.9173989295959473,0.4736841917037964,0.76
155,0.9173989295959473,0.4736841917037964,0.76
156,0.9173989295959473,0.4736841917037964,0.76
157,0.9173989295959473,0.4736841917037964,0.76
158,0.9173989295959473,0.4736841917037964,0.76
159,0.9173989295959473,0.4736841917037964,0.76
160,0.9173989295959473,0.4736841917037964,0.76
161,0.9173989295959473,0.4736841917037964,0.76
162,0.9173989295959473,0.4736841917037964,0.76
163,0.9173989295959473,0.4736841917037964,0.76
164,0.9173989295959473,0.4736841917037964,0.76
165,0.9173989295959473,0.4736841917037964,0.76
166,0.9173989295959473,0.4736841917037964,0.76
167,0.9173989295959473,0.4736841917037964,0.76
168,0.9173989295959473,0.4736841917037964,0.76
169,0.9173989295959473,0.4736841917037964,0.76
170,0.9173989295959473,0.4736841917037964,0.76
171,0.9173989295959473,0.4736841917037964,0.76
172,0.9173989295959473,0.4736841917037964,0.76
173,0.9173989295959473,0.4736841917037964,0.76
174,0.9173989295959473,0.4736841917037964,0.76
175,0.9173989295959473,0.4736841917037964,0.76
176,0.9173989295959473,0.4736841917037964,0.76
177,0.9173989295959473,0.4736841917037964,0.76
178,0.9173989295959473,0.4736841917037964,0.76
179,0.9173989295959473,0.4736841917037964,0.76
180,0.9173989295959473,0.4736841917037964,0.76
181,0.9173989295959473,0.4736841917037964,0.76
182,0.9173989295959473,0.4736841917037964,0.76
183,0.9173989295959473,0.4736841917037964,0.76
184,0.9173989295959473,0.4736841917037964,0.76
185,0.9173989295959473,0.4736841917037964,0.76
186,0.9173989295959473,0.4736841917037964,0.76
