iteration,fitness,time
292,0.90625,0.18
293,0.90625,0.14
294,0.90625,0.14
295,0.90625,0.14
296,0.90625,0.14
297,0.90625,0.14
298,0.90625,0.14
299,0.90625,0.14
300,0.90625,0.16
301,0.90625,0.14
302,0.90625,0.14
303,0.90625,0.14
304,0.90625,0.14
305,0.90625,0.14
306,0.90625,0.15
307,0.90625,0.14
308,0.90625,0.14
309,0.90625,0.14
310,0.90625,0.14
311,0.90625,0.14
312,0.90625,0.17
313,0.90625,0.15
314,0.90625,0.14
315,0.90625,0.14
316,0.90625,0.14
317,0.90625,0.14
318,0.90625,0.15
319,0.90625,0.15
320,0.90625,0.21
321,0.90625,0.14
322,0.90625,0.18
323,0.90625,0.14
324,0.90625,0.14
325,0.90625,0.14
326,0.90625,0.16
327,0.90625,0.14
328,0.90625,0.14
329,0.90625,0.14
330,0.90625,0.14
331,0.90625,0.14
332,0.90625,0.14
333,0.90625,0.14
334,0.90625,0.16
335,0.90625,0.16
336,0.90625,0.14
337,0.90625,0.14
338,0.90625,0.14
339,0.90625,0.14
340,0.90625,0.17
341,0.90625,0.16
342,0.90625,0.14
343,0.90625,0.14
344,0.90625,0.15
345,0.90625,0.14
346,0.90625,0.14
347,0.90625,0.14
348,0.90625,0.14
349,0.90625,0.14
350,0.90625,0.14
351,0.90625,0.14
352,0.90625,0.14
353,0.90625,0.14
354,0.90625,0.18
355,0.90625,0.14
356,0.90625,0.14
357,0.90625,0.14
358,0.90625,0.14
359,0.90625,0.21
360,0.90625,0.18
361,0.90625,0.15
362,0.90625,0.15
363,0.90625,0.14
364,0.90625,0.14
365,0.90625,0.14
366,0.90625,0.14
367,0.90625,0.14
368,0.90625,0.14
369,0.90625,0.14
370,0.90625,0.15
371,0.90625,0.14
372,0.90625,0.14
373,0.90625,0.14
374,0.90625,0.14
375,0.90625,0.14
376,0.90625,0.14
377,0.90625,0.14
378,0.90625,0.16
379,0.90625,0.14
380,0.90625,0.14
381,0.90625,0.16
382,0.90625,0.14
383,0.90625,0.15
384,0.90625,0.16
385,0.90625,0.14
386,0.90625,0.14
387,0.90625,0.14
388,0.90625,0.14
389,0.90625,0.14
390,0.90625,0.16
391,0.90625,0.14
392,0.90625,0.14
393,0.90625,0.14
394,0.90625,0.15
395,0.90625,0.14
396,0.90625,0.15
397,0.90625,0.14
398,0.90625,0.14
399,0.90625,0.21
400,0.90625,0.14
401,0.90625,0.14
402,0.90625,0.14
403,0.90625,0.14
404,0.90625,0.14
405,0.90625,0.14
406,0.90625,0.14
407,0.90625,0.14
408,0.90625,0.14
409,0.90625,0.15
410,0.90625,0.17
411,0.90625,0.14
412,0.90625,0.14
413,0.90625,0.14
414,0.90625,0.14
415,0.90625,0.14
416,0.90625,0.14
417,0.90625,0.14
418,0.90625,0.14
419,0.90625,0.14
420,0.90625,0.14
421,0.90625,0.14
422,0.90625,0.14
423,0.90625,0.14
424,0.90625,0.17
425,0.90625,0.18
426,0.90625,0.14
427,0.90625,0.16
428,0.90625,0.14
429,0.90625,0.14
430,0.90625,0.14
431,0.90625,0.14
432,0.90625,0.14
433,0.90625,0.14
434,0.90625,0.14
435,0.90625,0.15
436,0.90625,0.15
437,0.90625,0.18
438,0.90625,0.14
439,0.90625,0.14
440,0.90625,0.14
441,0.90625,0.14
442,0.90625,0.14
443,0.90625,0.14
444,0.90625,0.14
445,0.90625,0.14
446,0.90625,0.14
447,0.90625,0.14
448,0.90625,0.14
449,0.90625,0.14
450,0.90625,0.14
451,0.90625,0.14
452,0.90625,0.14
453,0.90625,0.14
454,0.90625,0.14
455,0.90625,0.14
456,0.90625,0.14
457,0.90625,0.16
458,0.90625,0.14
459,0.90625,0.14
460,0.90625,0.14
461,0.90625,0.14
462,0.90625,0.14
463,0.90625,0.14
464,0.90625,0.14
465,0.90625,0.20
466,0.90625,0.14
467,0.90625,0.14
468,0.90625,0.14
469,0.90625,0.14
470,0.90625,0.14
471,0.90625,0.14
472,0.90625,0.14
473,0.90625,0.14
474,0.90625,0.14
475,0.90625,0.15
476,0.90625,0.14
477,0.90625,0.14
478,0.90625,0.18
479,0.90625,0.16
480,0.90625,0.14
481,0.90625,0.14
482,0.90625,0.14
483,0.90625,0.14
484,0.90625,0.14
485,0.90625,0.14
486,0.90625,0.14
