eval/episode_reward,_timestamp,training/buffer_current_size,_step,training/actor_loss,_runtime,eval/epoch_eval_time,training/critic_loss,eval/sps,training/sps,eval/avg_episode_length,eval/walltime,training/walltime,training/alpha,training/alpha_loss,seed,rl_algorithm,environment
18.0078125,1694019329.7592914,,0.0,,13.444206476211548,6.81956934928894,,18769.513651671605,,18.0078125,6.81956934928894,,,,2,sac,inverted_pendulum
1000.0,1694019408.518886,215040.015625,421760.0,-795.9451904296875,92.20380091667175,0.9752650260925292,14.616128921508787,131246.3756778415,5654.604874908368,1000.0,7.79483437538147,77.7815330028534,0.2572824358940124,0.0165146477520465,2,sac,inverted_pendulum
1000.0,1694019473.243075,628608.0,835328.0,-1440.8629150390625,156.9279899597168,0.9396297931671144,24.989665985107425,136223.86277106375,6484.188285274468,1000.0,8.734464168548584,141.56253099441528,0.2164526432752609,0.0006835501408204,2,sac,inverted_pendulum
1000.0,1694019536.3573077,993630.5625,1248896.0,-1607.3250732421875,220.042222738266,0.9095604419708252,34.775856018066406,140727.31628769063,6648.855291325633,1000.0,9.64402461051941,203.7639148235321,0.2371809631586074,9.813944780034944e-05,2,sac,inverted_pendulum
1000.0,1694019598.4322286,1048576.0,1662464.0,-1669.49267578125,282.11714363098145,0.9163663387298584,41.6439094543457,139682.1277584422,6762.584590583441,1000.0,10.560390949249268,264.91923117637634,0.1499047428369522,0.0003523329796735,2,sac,inverted_pendulum
1000.0,1694019660.4872203,1048576.0,2076032.0,-1714.3792724609375,344.1721353530884,0.899756908416748,41.94129180908203,142260.64707325722,6762.94717383316,1000.0,11.460147857666016,326.0712687969208,0.1559848636388778,-0.004649369046092,2,sac,inverted_pendulum
476.0546875,1694019722.392917,1048576.0,2489600.0,-1714.722900390625,406.0778319835663,0.9228451251983644,103.80573272705078,138701.49660538824,6782.080587783317,476.0546875,12.38299298286438,387.0507860183716,0.137340560555458,0.0004609308089129,2,sac,inverted_pendulum
999.796875,1694019785.1888814,1048576.0,2903168.0,-1713.3597412109375,468.8737964630127,1.0026800632476809,100.0780258178711,127657.8688374515,6693.140876216349,999.796875,13.38567304611206,448.8406105041504,0.1610966324806213,0.0002591778174974,2,sac,inverted_pendulum
222.4609375,1694019850.535646,1048576.0,3316736.0,-1709.0048828125,534.2205610275269,0.9570038318634032,80.90866088867188,133750.77062206573,6423.251041494086,222.4609375,14.342676877975464,513.2266974449158,0.1646977514028549,0.0002421692042844,2,sac,inverted_pendulum
1000.0,1694019915.3522112,1048576.0,3730304.0,-1697.9443359375,599.0371263027191,0.9806761741638184,45.335487365722656,130522.18802923428,6478.953500367381,1000.0,15.323353052139282,577.0592284202576,0.0974894315004348,0.0004996518837288,2,sac,inverted_pendulum
1000.0,1694019980.2387311,1048576.0,4143872.0,-1691.6431884765625,663.9236462116241,0.9324135780334472,32.95631790161133,137278.13817336797,6466.961002411028,1000.0,16.25576663017273,641.0101320743561,0.0783549547195434,-0.0004193212662357,2,sac,inverted_pendulum
999.1171875,1694020044.261495,1048576.0,4557440.0,-1677.7763671875,727.9464101791382,0.9629900455474854,33.488311767578125,132919.3386700364,6558.714777961048,999.1171875,17.218756675720215,704.0663883686066,0.1074970290064811,-0.0005122603615745,2,sac,inverted_pendulum
1000.0,1694020109.2999103,1048576.0,4971008.0,-1647.076171875,792.9848256111145,0.960785150527954,59.82303237915039,133224.37376312868,6454.523431888093,1000.0,18.17954182624817,768.140522480011,0.105305939912796,-0.0006214021705091,2,sac,inverted_pendulum
1000.0,1694020172.8765264,1048576.0,5384576.0,-1637.943115234375,856.5614414215088,0.9726731777191162,54.88093566894531,131596.10332851516,6606.489853976164,1000.0,19.152215003967285,830.7407851219177,0.0993947461247444,0.0005781325162388,2,sac,inverted_pendulum
1000.0,1694020237.057347,1048576.0,5798144.0,-1654.916259765625,920.7422621250151,0.9337494373321532,72.3343276977539,137081.74257723044,6539.2773251012495,1000.0,20.08596444129944,893.9844708442688,0.0859736949205398,-0.0001974391634576,2,sac,inverted_pendulum
1000.0,1694020300.2151234,1048576.0,6211712.0,-1648.68505859375,983.9000384807588,0.9421348571777344,68.90797424316406,135861.6540135641,6647.708785433735,1000.0,21.028099298477173,956.1965823173524,0.1085354760289192,-0.0002630394301377,2,sac,inverted_pendulum
1000.0,1694020363.6864998,1048576.0,6625280.0,-1644.0159912109375,1047.371414899826,0.9220116138458252,49.60380554199219,138826.8846919358,6612.223547074417,1000.0,21.950110912323,1018.7425620555878,0.0808816328644752,-0.000373429065803,2,sac,inverted_pendulum
911.8671875,1694020426.415043,1048576.0,7038848.0,-1651.9434814453125,1110.0999581813812,0.9136509895324708,33.764251708984375,140097.25974849495,6690.778601618989,911.8671875,22.86376190185547,1080.5542023181915,0.072577029466629,8.514817454852164e-05,2,sac,inverted_pendulum
1000.0,1694020488.888703,1048576.0,7452416.0,-1662.3582763671875,1172.5736184120178,0.90999436378479,32.89735794067383,140660.21185848958,6718.084403269357,1000.0,23.77375626564026,1142.114607810974,0.0745252221822738,0.0001082019152818,2,sac,inverted_pendulum
1000.0,1694020551.4219792,1048576.0,7865984.0,-1667.35888671875,1235.1068942546844,0.91814923286438,24.62438201904297,139410.88814143455,6712.468769465838,1000.0,24.69190549850464,1203.7265145778656,0.0633049756288528,8.412030729232356e-05,2,sac,inverted_pendulum
