eval/episode_x_velocity,eval/avg_episode_length,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/episode_reward_run,eval/walltime,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
-249.62779235839844,1000,22.224628925323486,-9391.818359375,-491.05950927734375,0,29.02910804748535,5759.376250109288,-740.687255859375,-249.62779235839844,22.224628925323486,1694130877.255151,,,,,,,,7,sac,halfcheetah
5117.7294921875,1000,5.2425971031188965,127882.375,-368.5097961425781,421760,137.72404193878174,24415.37991234363,4749.2197265625,5117.7294921875,27.467226028442383,1694130985.950085,-1114.088623046875,0.9130603075027466,215040.015625,730.5359497070312,103.44861221313477,4498.047605030498,0.1335298120975494,7,sac,halfcheetah
5578.373046875,1000,5.248979330062866,137624.90625,-345.9566650390625,835328,218.3463752269745,24385.69328457747,5232.4169921875,5578.373046875,32.71620535850525,1694131066.5724182,-3184.9697265625,1.374699354171753,628608.0,1205.5263671875,178.8170747756958,5487.28189402444,0.0012028393102809,7,sac,halfcheetah
5702.9404296875,1000,5.2531609535217285,139942.40625,-317.08172607421875,1248896,298.6849813461304,24366.281774440697,5385.85888671875,5702.9404296875,37.96936631202698,1694131146.9110243,-4730.37353515625,1.2293955087661743,993630.5625,1230.076904296875,253.89739680290225,5508.340785354354,0.0031215206254273,7,sac,halfcheetah
5766.9736328125,1000,5.2294251918792725,142977.796875,-328.9938659667969,1662464,381.952308177948,24476.877534986077,5437.9794921875,5766.9736328125,43.19879150390625,1694131230.1783512,-6001.70751953125,1.0403653383255005,1048576.0,977.5628051757812,331.9306540489197,5299.8941040758245,0.0018085216870531,7,sac,halfcheetah
6365.0908203125,1000,5.283232927322388,156482.40625,-314.27178955078125,2076032,465.2389349937439,24227.589765736884,6050.81884765625,6365.0908203125,48.48202443122864,1694131313.464978,-6959.82470703125,0.9301377534866332,1048576.0,941.8174438476562,409.9293732643128,5302.240910622315,0.001884919242002,7,sac,halfcheetah
6455.830078125,1000,5.221346378326416,158810.84375,-296.26153564453125,2489600,548.4121448993683,24514.74978394892,6159.5693359375,6455.830078125,53.703370809555054,1694131396.638188,-7633.71875,0.9176451563835144,1048576.0,1020.1336059570312,487.8767488002777,5305.733479239201,0.0003752308548428,7,sac,halfcheetah
6865.142578125,1000,5.239076137542725,168655.875,-289.8682861328125,2903168,631.6529445648193,24431.788475598605,6575.2744140625,6865.142578125,58.94244694709778,1694131479.8789876,-8117.33740234375,0.8794562220573425,1048576.0,1056.16650390625,565.8735556602478,5302.370912984817,0.0010809923987835,7,sac,halfcheetah
7088.2470703125,1000,5.2792158126831055,174006.0,-290.88641357421875,3316736,715.1121473312378,24246.025269981405,6797.3603515625,7088.2470703125,64.22166275978088,1694131563.3381903,-8515.068359375,0.8313588500022888,1048576.0,1010.9411010742188,644.048825263977,5290.266373194207,0.0009248097194358,7,sac,halfcheetah
7242.13671875,1000,5.304925918579102,177501.6875,-270.4981689453125,3730304,798.4629952907562,24128.51790290112,6971.63818359375,7242.13671875,69.52658867835999,1694131646.6890385,-8880.345703125,0.8266445994377136,1048576.0,1034.1051025390625,722.0902326107025,5299.340620070877,0.0001799277379177,7,sac,halfcheetah
7389.65087890625,1000,5.276933193206787,181540.171875,-277.6861267089844,4143872,881.9137711524963,24256.51326508732,7111.9638671875,7389.65087890625,74.80352187156677,1694131730.139814,-9206.60546875,0.8584555983543396,1048576.0,1174.1658935546875,800.2599790096283,5290.640165178831,0.0005799069185741,7,sac,halfcheetah
