,eval/avg_episode_length,eval/epoch_eval_time,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
0,8.8046875,8.614484786987305,0,13.069881200790405,14858.69476412004,81.89219665527344,8.614484786987305,1694090765.1061132,,,,,,,,7,sac,inverted_double_pendulum
1,1000.0,1.57236909866333,421760,95.70661783218384,81405.82265882274,9496.521484375,10.186853885650635,1694090847.7428498,-4643.95703125,10.132466316223145,215040.015625,653.804443359375,81.06159138679504,5447.070240900958,-0.0727672353386879,7,sac,inverted_double_pendulum
2,1000.0,1.567945957183838,835328,161.72361731529236,81635.46671589288,9500.755859375,11.754799842834473,1694090913.7598493,-11110.45703125,6.338013172149658,628608.0,1010.6429443359375,145.50710082054138,6417.328431939412,0.010763999074697495,7,sac,inverted_double_pendulum
3,1000.0,1.5373809337615967,1248896,225.73233556747437,83258.4801782439,9503.1982421875,13.29218077659607,1694090977.7685676,-13472.083984375,4.1732916831970215,993630.5625,783.7925415039062,207.97479367256165,6620.510236862779,0.0150055643171072,7,sac,inverted_double_pendulum
4,1000.0,1.6509673595428467,1662464,297.0434091091156,77530.30322503968,9501.0986328125,14.943148136138916,1694091049.079641,-14815.013671875,0.9265366196632385,1048576.0,51.79045104980469,277.6315188407898,5937.230023392441,0.0031900121830403805,7,sac,inverted_double_pendulum
5,1000.0,1.6756103038787842,2076032,364.9894549846649,76390.07691925704,9495.060546875,16.6187584400177,1694091117.025687,-15331.771484375,0.6207895278930664,1048576.0,19.779680252075195,343.8983361721039,6240.951605270023,-8.185779006453231e-05,7,sac,inverted_double_pendulum
6,1000.0,1.6175894737243652,2489600,435.0729217529297,79130.08960505328,9499.201171875,18.236347913742065,1694091187.1091537,-15531.6376953125,0.43735799193382263,1048576.0,6.144728660583496,412.3607368469238,6040.8048202158325,0.00024392387422267348,7,sac,inverted_double_pendulum
7,1000.0,1.6220157146453857,2903168,504.1242187023163,78914.1552971847,9504.4619140625,19.85836362838745,1694091256.1604507,-15365.603515625,2.5285446643829346,1048576.0,609.346923828125,479.7867109775543,6133.659992790864,-0.0016827343497425318,7,sac,inverted_double_pendulum
8,1000.0,1.6061134338378906,3316736,572.6491410732269,79695.49180230529,9194.466796875,21.464477062225342,1694091324.685373,-15529.15234375,3.074437141418457,1048576.0,609.7368774414062,546.7020828723907,6180.463296982935,-0.0027939914725720882,7,sac,inverted_double_pendulum
9,1000.0,1.5848109722137451,3730304,640.5732381343842,80766.73006699534,9495.814453125,23.049288034439087,1694091392.6094701,-15623.5390625,3.705618381500244,1048576.0,452.7358703613281,613.0378127098083,6234.4682272074915,0.007868058979511261,7,sac,inverted_double_pendulum
10,1000.0,1.606372594833374,4143872,708.4163224697113,79682.63428527751,9388.560546875,24.65566062927246,1694091460.4525545,-15449.365234375,1.354514718055725,1048576.0,108.45814514160156,679.2710838317871,6244.112558450433,-0.0031411144882440567,7,sac,inverted_double_pendulum
11,1000.0,1.6049110889434814,4557440,776.7805595397949,79755.19695876913,9493.966796875,26.260571718215942,1694091528.8167915,-15569.560546875,1.1233078241348267,1048576.0,56.57701110839844,746.0272824764252,6195.199972388156,0.004055203404277563,7,sac,inverted_double_pendulum
12,1000.0,1.6697099208831787,4971008,845.7143089771271,76660.02243808644,9494.146484375,27.93028163909912,1694091597.750541,-15690.841796875,0.36790865659713745,1048576.0,8.401031494140625,813.2880284786224,6148.727520603022,0.000952447357121855,7,sac,inverted_double_pendulum
13,1000.0,1.6536428928375244,5384576,911.7336382865906,77404.86204996885,9498.009765625,29.583924531936646,1694091663.7698703,-15714.6474609375,0.22472739219665527,1048576.0,7.177807807922363,877.6506645679474,6425.591385443479,0.0003214917960576713,7,sac,inverted_double_pendulum
14,1000.0,1.6950163841247559,5798144,981.5161273479462,75515.49424467333,9501.8828125,31.2789409160614,1694091733.5523593,-15677.84375,1.5091941356658936,1048576.0,872.2752075195312,945.7348420619965,6074.362872873776,-0.08791474252939224,7,sac,inverted_double_pendulum
15,1000.0,1.6238906383514404,6211712,1051.9556858539581,78823.04200604573,9473.6875,32.90283155441284,1694091803.9919178,-15875.220703125,3.923689842224121,1048576.0,1860.072998046875,1014.5469613075256,6010.104099894731,-0.02698700502514839,7,sac,inverted_double_pendulum
16,1000.0,1.5989067554473877,6625280,1120.3831775188446,80054.69960265726,9488.044921875,34.50173830986023,1694091872.4194095,-15402.1572265625,2.701834201812744,1048576.0,1476.6171875,1081.3725326061249,6188.768639957276,0.0016319515416398644,7,sac,inverted_double_pendulum
17,1000.0,1.5969605445861816,7038848,1188.5781865119934,80152.26201669777,9485.1494140625,36.09869885444641,1694091940.6144185,-15338.3330078125,1.242322564125061,1048576.0,420.5347595214844,1147.967141866684,6210.232398569493,0.0059912074357271194,7,sac,inverted_double_pendulum
18,1000.0,1.5964772701263428,7452416,1256.3804697990417,80176.52515019539,9496.458984375,37.695176124572754,1694092008.4167018,-15686.5400390625,0.3289831578731537,1048576.0,92.4623794555664,1214.1697039604187,6247.008981532138,-0.009225881658494473,7,sac,inverted_double_pendulum
19,1000.0,1.6368060111999512,7865984,1325.5742993354797,78201.08132799593,9478.541015625,39.331982135772705,1694092077.6105313,-15680.2607421875,1.9086414575576782,1048576.0,872.1215209960938,1281.7234301567078,6122.060518146793,-0.00397125817835331,7,sac,inverted_double_pendulum
