eval/episode_reward_healthy,eval/episode_x_position,eval/walltime,eval/episode_x_velocity,eval/epoch_eval_time,_step,training/walltime,_timestamp,training/sps,training/total_loss,training/policy_loss,training/v_loss,eval/episode_reward_forward,training/entropy_loss,eval/avg_episode_length,_runtime,eval/sps,eval/episode_reward,eval/episode_reward_ctrl,seed,rl_algorithm,environment
40.984375,-1.2674667835235596,10.86052942276001,-11.645126342773438,10.86052942276001,0.0,,1694009887.373092,,,,,-11.645126342773438,,40.984375,15.479620933532717,11785.797452171637,29.260574340820312,-0.0786741450428962,2,ppo,walker2d
215.1015625,-4.252155303955078,11.965877056121826,-25.783180236816406,1.1053476333618164,3932160.0,19.761195182800293,1694009908.2440057,198983.91588290496,259.793701171875,-0.0036455388180911,259.8011169433594,-25.783180236816406,-0.0037643841933459,215.1015625,36.35053467750549,115800.67314271022,188.93338012695312,-0.3849960565567016,2,ppo,walker2d
287.7421875,17.17890167236328,13.067362546920776,21.52832794189453,1.1014854907989502,7864320.0,25.288737535476685,1694009914.878333,711375.8247543919,127.08363342285156,-0.010734099894762,127.09771728515624,21.52832794189453,-0.0033523282036185,287.7421875,42.984862089157104,116206.70546205436,308.74615478515625,-0.5243510007858276,2,ppo,walker2d
246.28125,48.72964477539063,14.174833059310911,120.05923461914062,1.1074705123901367,11796480.0,30.816354036331177,1694009921.5187714,711366.2822650854,38.80045700073242,-0.0073614083230495,38.810813903808594,120.05923461914062,-0.0029981001280248,246.28125,49.62530040740967,115578.69809440894,365.8726196289063,-0.4678670167922973,2,ppo,walker2d
164.078125,60.70684814453125,15.275096893310549,169.8996124267578,1.1002638339996338,15728640.0,36.34742975234985,1694009928.1554668,710921.3834502356,155.22035217285156,-0.0054905130527913,155.22860717773438,169.8996124267578,-0.0027595884166657,164.078125,56.26199579238892,116335.73334379234,333.65679931640625,-0.3209453225135803,2,ppo,walker2d
158.6328125,69.45161437988281,16.367401838302612,194.3719024658203,1.0923049449920654,19660800.0,41.87149953842163,1694009934.7770176,711823.0131549803,194.01467895507807,-0.0053033749572932,194.0225067138672,194.3719024658203,-0.0025293733924627,158.6328125,62.883546590805054,117183.39332513943,352.68719482421875,-0.3175406455993652,2,ppo,walker2d
154.65625,70.31405639648438,17.466853380203247,201.29861450195312,1.0994515419006348,23592960.0,47.39589071273804,1694009941.4060328,711781.6019765417,111.2746810913086,-0.0047679538838565,111.2816162109375,201.29861450195312,-0.0021600816398859,154.65625,69.5125617980957,116421.68401412664,355.6298828125,-0.3249841332435608,2,ppo,walker2d
149.9140625,70.36631774902344,18.5671489238739,205.3112030029297,1.1002955436706543,27525120.0,52.92658042907715,1694009948.0425172,710971.0003046031,94.49749755859376,-0.0065224841237068,94.50569915771484,205.3112030029297,-0.0016698397230356,149.9140625,76.14904618263245,116332.38063746404,354.893798828125,-0.3314573764801025,2,ppo,walker2d
155.2734375,84.28945922851562,19.666836500167847,238.2178497314453,1.099687576293945,31457280.0,58.45556402206421,1694009954.6766331,711190.3903978907,96.44869232177734,-0.0119032096117734,96.46174621582033,238.2178497314453,-0.0011590193025767,155.2734375,82.7831621170044,116396.6955336283,393.135498046875,-0.3557671308517456,2,ppo,walker2d
155.84375,91.24771118164062,20.76329803466797,255.40249633789065,1.096461534500122,35389440.0,63.98162364959717,1694009961.3046162,711566.6976173155,73.05315399169922,-0.0095727294683456,73.06343078613281,255.40249633789065,-0.0007002489874139,155.84375,89.41114521026611,116739.1613590488,410.87835693359375,-0.3678793907165527,2,ppo,walker2d
