eval/episode_reward,_runtime,training/alpha,eval/sps,_step,training/sps,eval/walltime,eval/episode_x_position,eval/epoch_eval_time,eval/episode_reward_healthy,eval/episode_reward_forward,training/alpha_loss,training/critic_loss,eval/avg_episode_length,training/buffer_current_size,eval/episode_x_velocity,_timestamp,training/walltime,eval/episode_reward_ctrl,training/actor_loss,seed,rl_algorithm,environment
33.80060958862305,17.53096318244934,,10797.910944568315,0.0,,11.854144811630247,-1.4405968189239502,11.854144811630247,48.734375,-14.777626037597656,,,48.734375,,-14.777626037597656,1694050105.011367,,-0.1561383306980133,,0,sac,walker2d
1010.0137939453124,101.1058225631714,0.5129105448722839,114818.97590638442,421760.0,5634.683974383114,12.968943119049072,241.81283569335935,1.1147983074188232,966.5859375,44.94530487060547,0.1371381282806396,289.2059936523437,966.5859375,215040.015625,44.94530487060547,1694050188.5862265,82.45651030540466,-1.5174715518951416,-972.9617919921876,0,sac,walker2d
986.1162109375,163.0508451461792,0.3007832467556,118288.44422989256,835328.0,6795.588941499188,14.05104374885559,120.26053619384766,1.0821006298065186,955.609375,32.62274169921875,0.0030817000661045,275.1888427734375,955.609375,628608.0,32.62274169921875,1694050250.531249,143.31481170654297,-2.115844249725342,-1690.6512451171875,0,sac,walker2d
1086.9400634765625,230.3989977836609,0.1908075660467147,117889.88983977392,1248896.0,6241.797811267467,15.136802673339844,670.7039794921875,1.085758924484253,975.4921875,113.1002960205078,0.0013958812924101,178.5888214111328,975.4921875,993630.5625,113.1002960205078,1694050317.8794017,209.57264518737796,-1.6523888111114502,-1838.0802001953125,0,sac,walker2d
1975.9302978515625,298.4479477405548,0.1856314241886139,113963.0955234,1662464.0,6179.941819811845,16.259973287582397,3711.4765625,1.1231706142425537,969.6328125,1008.7993774414062,-0.0007853236165829,162.19186401367188,969.6328125,1048576.0,1008.7993774414062,1694050385.9283516,276.4936635494232,-2.501958131790161,-2155.1201171875,0,sac,walker2d
1642.19287109375,366.36178064346313,0.267714649438858,115984.90148634637,2076032.0,6190.613012943051,17.36356520652771,2725.3818359375,1.1035919189453125,844.015625,800.1558227539062,-0.0003946849610656,257.5199279785156,844.015625,1048576.0,800.1558227539062,1694050453.8421843,343.299325466156,-1.9787681102752688,-2664.029296875,0,sac,walker2d
2503.15087890625,434.1756889820099,0.3063507974147796,123315.83726205172,2489600.0,6193.78201740427,18.40155029296875,5712.2421875,1.03798508644104,954.25,1551.5823974609375,-0.0002275993174407,303.5996398925781,954.25,1048576.0,1551.5823974609375,1694050521.656093,410.0708067417145,-2.681640148162842,-3164.76953125,0,sac,walker2d
2156.65185546875,501.9912805557251,0.3390573263168335,121901.97179005112,2903168.0,6194.72491834191,19.451574325561523,4461.4755859375,1.0500240325927734,875.4296875,1283.50146484375,-0.0005681579350493,340.1405029296875,875.4296875,1048576.0,1283.50146484375,1694050589.4716845,476.832124710083,-2.2794437408447266,-3576.668701171875,0,sac,walker2d
2935.244140625,569.8098049163818,0.3593475222587585,118558.02138488306,3316736.0,6197.228090033489,20.531214475631717,6955.06298828125,1.0796401500701904,995.9140625,1941.8720703125,-0.0004858615866396,521.55419921875,995.9140625,1048576.0,1941.8720703125,1694050657.2902088,543.5664765834808,-2.5421953201293945,-3904.79150390625,0,sac,walker2d
3004.25830078125,637.7314038276672,0.3642536401748657,113493.57433861942,3730304.0,6192.150491464286,21.659031629562374,7409.0771484375,1.127817153930664,989.6328125,2017.155517578125,-0.000409588596085,535.818115234375,989.6328125,1048576.0,2017.155517578125,1694050725.2118075,610.3555510044098,-2.530261754989624,-4138.61376953125,0,sac,walker2d
