,eval/episode_reward,eval/episode_y_velocity,eval/epoch_eval_time,_timestamp,eval/episode_forward_reward,training/walltime,eval/episode_y_position,training/total_loss,eval/episode_distance_from_origin,eval/walltime,training/entropy_loss,_step,eval/sps,eval/avg_episode_length,eval/episode_reward_forward,_runtime,training/v_loss,eval/episode_reward_contact,eval/episode_reward_survive,training/policy_loss,eval/episode_x_position,eval/episode_reward_ctrl,training/sps,eval/episode_x_velocity,seed,rl_algorithm,environment
0,-93.70423889160156,6.745175838470459,15.310455799102783,1694007780.9241962,2.0859804153442383,,227.76304626464844,,2322.720703125,15.310455799102783,,0.0,8360.299763740606,999.0390625,2.0859804153442383,21.982309341430664,,-1.359222173690796,999.0390625,,45.651405334472656,-1093.469970703125,,2.0859804153442383,3,ppo,ant
1,608.1873779296875,22.09394073486328,2.4763317108154297,1694007805.2683885,307.1590576171875,21.86233901977539,756.9166259765625,111.641357421875,9057.775390625,17.786787509918213,-0.04303611442446709,2949120.0,51689.35948320549,997.2578125,307.1590576171875,46.3265016078949,111.70491027832031,-1.425661325454712,997.2578125,-0.02051493339240551,8591.341796875,-694.8037719726562,134894.98984223045,307.1590576171875,3,ppo,ant
2,1555.788330078125,83.20503234863281,2.4221816062927246,1694007814.7849429,1236.0140380859375,28.95047903060913,2215.76708984375,161.33457946777344,31685.0546875,20.208969116210938,-0.02267797477543354,5898240.0,52844.92280325367,971.90625,1236.0140380859375,55.843055963516235,161.376708984375,-1.1058228015899658,971.90625,-0.019456321373581886,31375.94140625,-651.0260009765625,416064.01615832513,1236.0140380859375,3,ppo,ant
3,2159.17431640625,136.5197296142578,2.4222896099090576,1694007824.301799,1853.149169921875,36.03883194923401,3492.1337890625,307.08203125,46308.546875,22.631258726119995,-0.0027869867626577616,8847360.0,52842.56658509369,917.5546875,1853.149169921875,65.35991215705872,307.0970764160156,-0.9257480502128601,917.5546875,-0.012241252698004246,46061.0703125,-610.6038818359375,416051.5191407995,1853.149169921875,3,ppo,ant
4,2648.712158203125,87.20159912109375,2.4242663383483887,1694007833.818649,2365.880615234375,43.125359535217285,2061.307373046875,402.0890808105469,57469.3125,25.055525064468384,0.011745025403797626,11796480.0,52799.47915591,884.953125,2365.880615234375,74.87676215171814,402.084716796875,-0.8752074241638184,884.953125,-0.007405569311231375,57317.7890625,-601.24609375,416158.68480257964,2365.880615234375,3,ppo,ant
5,3299.69287109375,94.60995483398438,2.421945095062256,1694007843.335653,3036.2109375,50.21409893035889,1987.9547119140625,480.5919494628906,74154.96875,27.47747015953064,0.02349822036921978,14745600.0,52850.08329088888,921.6328125,3036.2109375,84.39376616477966,480.5745544433594,-0.8807345628738403,921.6328125,-0.006070259492844343,74032.640625,-657.270263671875,416028.8361032476,3036.2109375,3,ppo,ant
6,3961.7451171875,123.75593566894531,2.4219980239868164,1694007852.8531148,3724.90673828125,57.303324937820435,3094.9609375,553.5988159179688,90313.65625,29.899468183517456,0.03371844068169594,17694720.0,52848.92833615984,940.1796875,3724.90673828125,93.91122794151306,553.56982421875,-0.884777307510376,940.1796875,-0.004757189657539129,90155.8046875,-702.45654296875,416000.27942345105,3724.90673828125,3,ppo,ant
7,4400.6220703125,107.79298400878906,2.4205048084259033,1694007862.3702383,4181.7978515625,64.39374256134033,2703.919921875,559.0700073242188,101102.4140625,32.31997299194336,0.0420876145362854,20643840.0,52881.53097421056,943.4609375,4181.7978515625,103.42835140228271,559.0321044921875,-0.8568814992904663,943.4609375,-0.0042381673119962215,100988.90625,-723.7796630859375,415930.3663887668,4181.7978515625,3,ppo,ant
8,5012.1484375,64.07669067382812,2.4283440113067627,1694007871.8884833,4786.73193359375,71.47686266899109,1330.419921875,560.0516967773438,116833.78125,34.74831700325012,0.05046972632408142,23592960.0,52710.81832063797,969.515625,4786.73193359375,112.94659638404846,560.0051879882812,-0.8400604724884033,969.515625,-0.0039688413962721825,116759.15625,-743.2593994140625,416358.8863634459,4786.73193359375,3,ppo,ant
9,5550.93115234375,80.19790649414062,2.4175028800964355,1694007881.406157,5309.88232421875,78.57021498680115,1658.177978515625,492.6368713378906,130419.5625,37.16581988334656,0.05825052037835121,26542080.0,52947.19648685341,979.921875,5309.88232421875,122.46427011489868,492.58245849609375,-0.8223216533660889,979.921875,-0.0038486893754452467,130340.2578125,-738.050537109375,415758.2857678337,5309.88232421875,3,ppo,ant
10,6005.69970703125,68.87401580810547,2.421802520751953,1694007890.9242957,5741.71826171875,85.66027355194092,1009.0183715820312,455.70306396484375,139484.75,39.58762240409851,0.06607777625322342,29491200.0,52853.194636306216,980.1484375,5741.71826171875,131.98240876197815,455.6399230957031,-0.7951198816299438,980.1484375,-0.0029317191801965237,139410.953125,-715.3729248046875,415951.4301475819,5741.71826171875,3,ppo,ant
11,6470.8369140625,152.6909942626953,2.4211976528167725,1694007900.4414368,6192.36572265625,92.7499029636383,2740.69140625,408.3942565917969,150097.734375,42.00882005691528,0.07346139848232269,32440320.0,52866.39851607628,979.9140625,6192.36572265625,141.49954986572266,408.3232727050781,-0.751712441444397,979.9140625,-0.0024749618023633957,149989.71875,-700.69140625,415976.60875393014,6192.36572265625,3,ppo,ant
12,6921.630859375,278.48858642578125,2.4253296852111816,1694007909.9605584,6622.57177734375,99.83768844604492,5685.0927734375,358.14013671875,161273.46875,44.434149742126465,0.07974377274513245,35389440.0,52776.33007194839,994.28125,6622.57177734375,151.01867151260376,358.06207275390625,-0.7286382913589478,994.28125,-0.0017096053343266249,161102.78125,-694.4930419921875,416084.8275276305,6622.57177734375,3,ppo,ant
13,6925.1474609375,394.5532531738281,2.417558193206787,1694007919.4784656,6611.6689453125,106.93196320533752,8466.3984375,290.6041564941406,159525.1875,46.85170793533325,0.08527234941720963,38338560.0,52945.98506860077,963.1796875,6611.6689453125,160.53657865524292,290.5198669433594,-0.675450325012207,963.1796875,-0.0009665046236477792,159242.6875,-649.0250244140625,415704.2263040385,6611.6689453125,3,ppo,ant
14,7404.4619140625,446.7413330078125,2.4210662841796875,1694007928.9920874,7064.265625,114.0182433128357,9711.431640625,269.97332763671875,171797.078125,49.27277421951294,0.08998796343803406,41287680.0,52869.267081371676,989.4375,7064.265625,170.0502004623413,269.8839416503906,-0.6730051636695862,989.4375,-0.0005972816725261509,171472.96875,-648.568115234375,416173.21856631985,7064.265625,3,ppo,ant
15,7554.001953125,568.8333740234375,2.4163529872894287,1694007938.5086486,7200.6943359375,121.11254072189331,12720.525390625,214.56964111328125,175285.1875,51.68912720680237,0.0937284603714943,44236800.0,52972.39297127091,987.3984375,7200.6943359375,179.56676173210144,214.4756317138672,-0.6671677827835083,987.3984375,0.00028804285102523863,174778.6875,-633.4237670898438,415702.89909677627,7200.6943359375,3,ppo,ant
