,eval/episode_reward_ctrl,eval/sps,eval/episode_x_position,_runtime,_step,_timestamp,eval/epoch_eval_time,training/alpha,eval/episode_reward_survive,eval/walltime,eval/episode_forward_reward,eval/episode_x_velocity,eval/episode_reward,training/alpha_loss,eval/episode_reward_contact,eval/episode_distance_from_origin,training/sps,training/walltime,eval/episode_y_velocity,eval/episode_reward_forward,training/buffer_current_size,eval/episode_y_position,training/critic_loss,eval/avg_episode_length,training/actor_loss
0,-1275.851318359375,9204.511267547703,300.7520751953125,20.787506103515625,0.0,1694032845.6066642,13.906224489212036,,1000.0,13.906224489212036,8.652481079101562,8.652481079101562,-268.47052001953125,,-1.2717081308364868,2081.1630859375,,,1.501250982284546,8.652481079101562,,98.68475341796875,,1000.0,
1,-1438.2236328125,52023.75140350127,62872.25,112.05202913284302,421760.0,1694032936.8711872,2.4604146480560303,0.29798632860183716,936.2421875,16.366639137268066,2575.38330078125,2575.38330078125,2072.5498046875,0.23900644481182098,-0.8521139621734619,63123.37890625,5091.318802415321,88.79921054840088,153.17941284179688,2575.38330078125,215040.015625,3874.816162109375,387.9005432128906,936.2421875,-888.9744262695312
2,-1518.6539306640625,53638.23749329111,72769.8359375,184.07886385917664,835328.0,1694033008.898022,2.386357307434082,0.36533939838409424,962.0703125,18.75299644470215,2956.4169921875,2956.4169921875,2398.928466796875,-0.00043793561053462327,-0.904691219329834,73040.9921875,5939.113389315319,158.43384671211243,195.71612548828125,2956.4169921875,628608.0,4796.8251953125,572.924560546875,962.0703125,-1982.3919677734375
3,-1550.613525390625,51978.95866049869,82446.921875,263.2195448875427,1248896.0,1694033088.038703,2.4625349044799805,0.4062766134738922,964.4296875,21.21553134918213,3372.7060546875,3372.7060546875,2785.66943359375,-0.0007623404380865395,-0.8524477481842041,82558.5625,5393.955502854817,235.1063368320465,-75.70843505859375,3372.7060546875,993630.5625,-1783.664794921875,697.0353393554688,964.4296875,-2423.80029296875
4,-1624.0069580078125,51816.33496881972,84093.0625,349.9698600769043,1662464.0,1694033174.7890182,2.4702634811401367,0.5140957832336426,918.734375,23.685794830322266,3521.4814453125,3521.4814453125,2815.379638671875,-0.0011655298294499516,-0.8292287588119507,84249.984375,4907.405194453978,319.38060879707336,73.78548431396484,3521.4814453125,1048576.0,1940.84765625,771.4334716796875,918.734375,-2778.12890625
5,-1826.93017578125,51592.418376929316,97724.71875,436.7255268096924,2076032.0,1694033261.544685,2.480984687805176,0.5891200304031372,970.1015625,26.16677951812744,3994.916015625,3994.916015625,3137.270263671875,-0.0004942620871588588,-0.8168236017227173,98404.921875,4907.7122458812755,403.6496081352234,-425.005126953125,3994.916015625,1048576.0,-10245.06640625,792.2196044921875,970.1015625,-2987.23779296875
6,-1711.2073974609375,52523.470477989475,97626.3125,523.3788297176361,2489600.0,1694033348.1979878,2.4370057582855225,0.6229709386825562,979.4296875,28.603785276412964,3983.7109375,3983.7109375,3251.09326171875,0.0004760709998663515,-0.8399548530578613,97863.6484375,4911.121993461894,487.8601002693176,-179.6419219970703,3983.7109375,1048576.0,-3849.833984375,768.7039794921875,979.4296875,-3210.46728515625
7,-1691.7197265625,53177.101525529564,103038.3828125,610.0285124778748,2903168.0,1694033434.8476706,2.4070510864257812,0.6556233167648315,971.625,31.010836362838745,4197.9326171875,4197.9326171875,3477.01513671875,-0.0007351284148171544,-0.8226262331008911,103186.671875,4909.584681551633,572.0969607830048,-61.117618560791016,4197.9326171875,1048576.0,-1438.273681640625,744.6021728515625,971.625,-3479.329833984375
8,-1573.562255859375,51887.507896142815,101906.375,696.6823546886444,3316736.0,1694033521.5015128,2.4668750762939453,0.7065609097480774,951.15625,33.47771143913269,4179.4296875,4179.4296875,3556.220703125,-0.00020086932636331767,-0.8027636408805847,102650.484375,4912.828679406251,656.2781987190247,470.556884765625,4179.4296875,1048576.0,11464.546875,695.8524169921875,951.15625,-3720.64404296875
9,-1613.0238037109375,52162.13129168752,115097.3671875,783.3323414325714,3730304.0,1694033608.1514995,2.453887462615967,0.8025705218315125,995.2421875,35.93159890174866,4695.10546875,4695.10546875,4076.502685546875,-0.0014933645725250244,-0.8212645053863525,115226.03125,4912.299651159677,740.4685025215149,131.39581298828125,4695.10546875,1048576.0,3661.068359375,762.8660888671875,995.2421875,-3912.529541015625
10,-1548.277587890625,51597.75863876796,112385.40625,869.9108307361603,4143872.0,1694033694.7299888,2.4807279109954834,0.8596680760383606,974.9921875,38.41232681274414,4610.091796875,4610.091796875,4036.00048828125,-0.0006612438010051847,-0.8058147430419922,112551.90625,4918.0526156039905,824.5603234767914,-146.44869995117188,4610.091796875,1048576.0,-3716.50537109375,786.9182739257812,974.9921875,-4091.58056640625
11,-1545.8751220703125,52699.59046400827,118369.40625,956.5678668022156,4557440.0,1694033781.3870249,2.428861379623413,0.8904407620429993,997.5546875,40.841188192367554,4821.4306640625,4821.4306640625,4272.31591796875,0.0009186230599880219,-0.794404149055481,119085.34375,4910.480608162584,908.7818148136139,509.5332946777344,4821.4306640625,1048576.0,12466.4580078125,755.9845581054688,997.5546875,-4349.47021484375
12,-1566.0072021484375,52374.727185956064,126095.8828125,1043.2209649085999,4971008.0,1694033868.040123,2.4439268112182617,0.9005461931228638,1000.0,43.285115003585815,5126.18603515625,5126.18603515625,4559.3408203125,-0.0012232481967657804,-0.8385850191116333,126757.296875,4911.5482165289895,992.9849991798401,509.1248779296875,5126.18603515625,1048576.0,12349.9169921875,616.4346313476562,1000.0,-4718.55859375
13,-1331.1783447265625,52214.023935333964,132496.6875,1129.8775386810303,5384576.0,1694033954.6966968,2.451448678970337,0.925990879535675,974.390625,45.73656368255615,5446.86474609375,5446.86474609375,5089.3125,0.00017954794748220593,-0.7645729780197144,132736.78125,4911.766341864328,1077.1844441890717,302.1656188964844,5446.86474609375,1048576.0,7028.8486328125,511.4811706542969,974.390625,-5203.03662109375
14,-1465.2774658203125,52215.15130619353,142278.75,1216.534946680069,5798144.0,1694034041.3541048,2.4513957500457764,0.9980760812759399,996.96875,48.18795943260193,5794.0224609375,5794.0224609375,5324.861328125,-0.0010547538986429572,-0.8515924215316772,142355.15625,4911.717677819349,1161.3847234249115,85.45977783203125,5794.0224609375,1048576.0,2342.404296875,594.6154174804688,996.96875,-5808.29443359375
15,-1292.029296875,52312.618986231944,135380.5625,1303.0889027118683,6211712.0,1694034127.9080608,2.4468283653259277,1.0974764823913574,934.296875,50.634787797927856,5640.42919921875,5640.42919921875,5281.9658203125,-0.000982455094344914,-0.7314414381980896,135630.734375,4917.5191299265325,1245.4856672286987,310.07391357421875,5640.42919921875,1048576.0,7208.294921875,715.8876953125,934.296875,-6233.86181640625
