eval/episode_reward_ctrl,_runtime,eval/walltime,training/alpha,training/actor_loss,eval/episode_reward,eval/episode_reward_run,training/sps,training/walltime,eval/episode_x_position,eval/sps,training/alpha_loss,training/buffer_current_size,_step,_timestamp,eval/epoch_eval_time,eval/avg_episode_length,eval/episode_x_velocity,training/critic_loss,seed,rl_algorithm,environment
-519.14794921875,30.340199947357178,22.652124404907227,,,-78.68313598632812,440.46478271484375,,,10422.193359375,5650.684135050521,,,0.0,1694056731.3025289,22.652124404907227,1000,440.46478271484375,,0,sac,halfcheetah
-317.66552734375,139.91997385025024,27.957268953323364,1.0200928449630735,-1349.1715087890625,5710.75537109375,6028.4208984375,4546.773387095018,104.27091670036316,148817.921875,24127.52354470995,0.142721801996231,215040.015625,421760.0,1694056840.8823028,5.305144548416138,1000,6028.4208984375,528.116943359375,0,sac,halfcheetah
-272.8060302734375,219.45738410949707,33.27651500701904,1.641654372215271,-4353.59716796875,6048.669921875,6321.47607421875,5572.663355577813,178.4846227169037,155014.875,24063.56064522881,-0.0008288339013233,628608.0,835328.0,1694056920.419713,5.319246053695679,1000,6321.47607421875,1450.61474609375,0,sac,halfcheetah
-302.7406616210937,300.8966407775879,38.512430906295776,1.6384706497192385,-6011.44873046875,6141.49658203125,6444.23828125,5427.475611932549,254.6835832595825,158048.6875,24446.53475386825,0.002135379705578,993630.5625,1248896.0,1694057001.8589697,5.235915899276733,1000,6444.23828125,1777.03564453125,0,sac,halfcheetah
-289.5728759765625,384.539451122284,43.81970024108887,1.4987329244613647,-7221.8251953125,6278.6435546875,6568.21630859375,5279.710666472474,333.0151484012604,161713.296875,24117.86399474113,0.0015743378316983,1048576.0,1662464.0,1694057085.50178,5.307269334793091,1000,6568.21630859375,1404.8175048828125,0,sac,halfcheetah
-276.7190246582031,468.1824810504913,49.1072211265564,1.4767106771469116,-8028.91015625,7071.021484375,7347.74072265625,5278.397005169648,411.3662083148956,179166.96875,24207.942204408348,0.001210436807014,1048576.0,2076032.0,1694057169.14481,5.287520885467529,1000,7347.74072265625,1159.4544677734375,0,sac,halfcheetah
-286.65386962890625,551.7367684841156,54.38680529594421,1.5175554752349854,-8572.35546875,7187.9873046875,7474.6416015625,5283.846586254728,489.6364595890045,183086.21875,24244.333624260027,-6.083798871259205e-05,1048576.0,2489600.0,1694057252.6990974,5.279584169387817,1000,7474.6416015625,1143.5767822265625,0,sac,halfcheetah
-247.0277862548828,635.3786902427673,59.67749667167664,1.5567809343338013,-9034.548828125,7752.591796875,7999.619140625,5278.681428789711,567.9832978248596,196363.53125,24193.435396197197,0.0008181837620213,1048576.0,2903168.0,1694057336.3410192,5.290691375732422,1000,7999.619140625,1216.308837890625,0,sac,halfcheetah
-262.85565185546875,718.9210112094879,64.99505233764648,1.6063677072525024,-9457.4794921875,7525.685546875,7788.541015625,5287.215682287917,646.2036740779877,189193.84375,24071.210165066423,-0.0020588373299688,1048576.0,3316736.0,1694057419.88334,5.317555665969849,1000,7788.541015625,1703.111083984375,0,sac,halfcheetah
-266.5600280761719,802.4815068244934,70.25172209739685,1.8054778575897217,-9549.171875,7695.6787109375,7962.23876953125,5281.878310082893,724.5030925273895,193950.609375,24350.017377937507,-0.0018937966087833,1048576.0,3730304.0,1694057503.4438355,5.256669759750366,1000,7962.23876953125,2618.260498046875,0,sac,halfcheetah
-266.23974609375,885.9205040931702,75.48496270179749,1.9647966623306277,-9497.9033203125,7628.62939453125,7894.8701171875,5288.503199260596,802.704425573349,191938.203125,24459.03211336485,0.0003671365848276,1048576.0,4143872.0,1694057586.882833,5.233240604400635,1000,7894.8701171875,2704.33447265625,0,sac,halfcheetah
-247.86740112304688,969.5584383010864,80.74985384941101,1.971496343612671,-9562.6806640625,7874.751953125,8122.61962890625,5277.222803287794,881.0729188919067,198822.75,24311.993621752263,0.0018745855195447,1048576.0,4557440.0,1694057670.5207672,5.264891147613525,1000,8122.61962890625,2374.387451171875,0,sac,halfcheetah
-263.3172607421875,1053.2018020153046,86.0172028541565,2.026353597640991,-9647.365234375,7355.8486328125,7619.166015625,5277.017695546647,959.4444582462312,186239.1875,24300.649128182256,-3.001816139658331e-06,1048576.0,4971008.0,1694057754.164131,5.267349004745483,1000,7619.166015625,2861.80859375,0,sac,halfcheetah
-254.7726593017578,1136.7423677444458,91.25591158866882,2.1495656967163086,-9621.5048828125,7938.7001953125,8193.47265625,5282.017995560874,1037.7418060302734,199863.734375,24433.50193469298,0.0009152700076811,1048576.0,5384576.0,1694057837.704697,5.238708734512329,1000,8193.47265625,3182.43408203125,0,sac,halfcheetah
-263.07763671875,1220.286421775818,96.48636198043825,2.2590999603271484,-9575.951171875,8448.0712890625,8711.1494140625,5281.232748748562,1116.0507955551147,211107.96875,24472.079919048592,0.000564545567613,1048576.0,5798144.0,1694057921.2487507,5.230450391769409,1000,8711.1494140625,3458.206787109375,0,sac,halfcheetah
-250.1004943847656,1303.9300618171692,101.78801393508913,2.3389322757720947,-9569.3203125,8517.4560546875,8767.556640625,5279.317497222403,1194.388194322586,212784.75,24143.41814492592,-0.0001051237850333,1048576.0,6211712.0,1694058004.8923907,5.301651954650879,1000,8767.556640625,3490.291015625,0,sac,halfcheetah
-241.8593292236328,1387.4692676067352,107.0962598323822,2.317933320999145,-9657.169921875,7747.22265625,7989.08203125,5286.809019591709,1272.6145873069763,198048.96875,24113.427010846062,0.0029586325399577,1048576.0,6625280.0,1694058088.4315965,5.308245897293091,1000,7989.08203125,3316.278076171875,0,sac,halfcheetah
-271.2934875488281,1471.0143342018127,112.4023814201355,2.489781618118286,-10421.4580078125,8215.94140625,8487.234375,5286.267189940597,1350.8489983081818,206539.90625,24123.08083844672,-0.000808413606137,1048576.0,7038848.0,1694058171.976663,5.306121587753296,1000,8487.234375,4377.912109375,0,sac,halfcheetah
-229.11331176757807,1554.57133102417,117.63757586479188,2.164959192276001,-9788.90625,8789.5380859375,9018.650390625,5280.662883860179,1429.166438579559,220487.890625,24449.90369567862,0.0006643506349064,1048576.0,7452416.0,1694058255.53366,5.235194444656372,1000,9018.650390625,3626.624755859375,0,sac,halfcheetah
-241.42144775390625,1638.030869960785,122.87771129608154,2.2073793411254883,-9847.8447265625,9189.939453125,9431.3603515625,5287.571007406343,1507.381558418274,229383.4375,24426.849587835437,9.580929327057676e-05,1048576.0,7865984.0,1694058338.9931989,5.240135431289673,1000,9431.3603515625,3505.26904296875,0,sac,halfcheetah
