,eval/avg_episode_length,eval/episode_forward_reward,eval/episode_distance_from_origin,eval/sps,eval/episode_reward_survive,_runtime,training/sps,training/alpha_loss,training/actor_loss,eval/episode_reward,eval/episode_reward_ctrl,training/walltime,eval/episode_reward_forward,eval/epoch_eval_time,eval/walltime,eval/episode_x_velocity,_timestamp,eval/episode_reward_contact,training/buffer_current_size,eval/episode_x_position,training/critic_loss,eval/episode_y_position,training/alpha,_step,eval/episode_y_velocity
0,1000.0,0.20684194564819336,2166.44384765625,9374.934126125418,1000.0,20.42764401435852,,,,-587.0062255859375,-1585.8831787109375,,0.20684194564819336,13.65342926979065,13.65342926979065,0.20684194564819336,1694036149.273588,-1.3299427032470703,,137.4107666015625,,369.5307922363281,,0.0,9.250743865966797
1,964.53125,2914.791015625,73107.71875,53772.880453475474,964.53125,112.49392032623291,5083.4808170044935,0.22257043421268463,-926.357177734375,2358.470458984375,-1519.8746337890625,89.68107771873474,2914.791015625,2.3803820610046387,16.033811330795288,2914.791015625,1694036241.3398643,-0.9773411154747009,215040.015625,71494.28125,355.70654296875,14494.6181640625,0.3592509329319,421760.0,591.2821044921875
2,971.1328125,3598.248779296875,88136.015625,51604.295394031054,971.1328125,184.52076506614685,5947.1226624904275,-0.0004351135576143861,-2179.78369140625,3062.96142578125,-1505.554443359375,159.22193360328674,3598.248779296875,2.4804136753082275,18.514225006103516,3598.248779296875,1694036313.366709,-0.8660918474197388,628608.0,88001.4375,636.4656982421875,-1527.79736328125,0.5078500509262085,835328.0,-77.41210174560547
3,970.5234375,3749.38232421875,92294.75,53611.311611037796,970.5234375,263.66233253479004,5388.619075149545,-0.001093938946723938,-2937.618896484375,3159.133056640625,-1559.915283203125,235.97035360336304,3749.38232421875,2.3875558376312256,20.90178084373474,3749.38232421875,1694036392.5082765,-0.8574271202087402,993630.5625,92194.640625,705.3948974609375,1874.808349609375,0.5610674023628235,1248896.0,75.53801727294922
4,972.0,4058.890625,100057.46875,53003.703845578195,972.0,350.415367603302,4904.009893229706,3.93974369217176e-05,-3526.751708984375,3421.284912109375,-1608.716552734375,320.3029730319977,4058.890625,2.4149255752563477,23.31670641899109,4058.890625,1694036479.2613115,-0.8889949321746826,1048576.0,98814.1328125,640.732421875,14693.5712890625,0.6179206967353821,1662464.0,596.81787109375
5,925.5,4100.9599609375,98243.25,51877.56540439879,925.5,437.4692351818085,4889.62105281958,4.356433782959357e-05,-3900.91748046875,3549.259765625,-1476.3525390625,404.8837606906891,4100.9599609375,2.4673478603363037,25.784054279327393,4100.9599609375,1694036566.315179,-0.848100483417511,1048576.0,97886.984375,650.1072998046875,6791.5263671875,0.633679211139679,2076032.0,301.699951171875
6,994.4921875,4455.6025390625,110314.0,52476.56700009843,994.4921875,524.2195901870728,4905.557921267306,-0.0010582185350358486,-4110.70751953125,3767.6748046875,-1681.485107421875,489.18976759910583,4455.6025390625,2.4391839504241943,28.223238229751587,4455.6025390625,1694036653.065534,-0.9353402256965637,1048576.0,109910.515625,766.7474975585938,8290.3017578125,0.6895633339881897,2489600.0,337.50750732421875
7,942.9921875,4522.1171875,109662.84375,51626.814741432194,942.9921875,610.9724853038788,4907.772563821636,0.0006705925334244967,-4185.99755859375,3897.75390625,-1566.4840087890625,573.4577312469482,4522.1171875,2.4793317317962646,30.70256996154785,4522.1171875,1694036739.8184292,-0.8712688088417053,1048576.0,109548.125,880.6458129882812,2931.5087890625,0.7281585335731506,2903168.0,123.52599334716797
8,947.8046875,4760.48291015625,114660.546875,51820.08104601735,947.8046875,697.7230668067932,4907.349938995558,-0.001728176255710423,-4295.814453125,4167.05078125,-1540.3790283203125,657.7329521179199,4760.48291015625,2.4700849056243896,33.17265486717224,4760.48291015625,1694036826.5690107,-0.8570992946624756,1048576.0,114487.9296875,918.1085205078125,4810.462890625,0.7586280107498169,3316736.0,199.94802856445312
9,925.640625,5205.3515625,125732.109375,52797.44371393151,925.640625,784.37819647789,4910.271909761527,-0.0034933106508105993,-4431.798828125,4579.5302734375,-1550.722900390625,741.9580230712891,5205.3515625,2.4243597984313965,35.59701466560364,5205.3515625,1694036913.2241404,-0.7391030192375183,1048576.0,124745.890625,1197.00390625,14721.1484375,0.939289927482605,3730304.0,633.7218017578125
