,eval/episode_reward,training/policy_loss,training/entropy_loss,training/walltime,eval/epoch_eval_time,eval/episode_reward_dist,_step,eval/episode_reward_ctrl,_timestamp,training/v_loss,_runtime,training/sps,eval/walltime,eval/sps,training/total_loss,eval/avg_episode_length,seed,rl_algorithm,environment
0,-699.3318481445312,,,,9.789113998413086,-42.461517333984375,0.0,-132.35317993164062,1694008669.2429686,,18.93514657020569,,9.789113998413086,13075.749247659194,,1000,4,ppo,reacher
1,-501.8207092285156,-0.056787170469760895,-0.0010743029415607452,13.142690420150757,0.6780641078948975,-42.36431121826172,3276800.0,-83.06979370117188,1694008683.067407,462.6215515136719,32.75958490371704,249324.90192235788,10.467178106307983,188772.71117827768,462.56365966796875,1000,4,ppo,reacher
2,-373.43621826171875,-0.069740891456604,-0.0006068182992748916,16.228275537490845,0.6177871227264404,-44.79854202270508,6553600.0,-48.54350662231445,1694008686.7748158,36.20732116699219,36.46699380874634,1061970.3801348212,11.084965229034424,207191.1104833422,36.13697052001953,1000,4,ppo,reacher
3,-287.71343994140625,-0.05619463324546814,-8.633836114313453e-05,19.317798137664795,0.6138699054718018,-43.19294738769531,9830400.0,-28.711666107177734,1694008690.4824786,20.720306396484375,40.17465662956238,1060616.9379746583,11.698835134506226,208513.235229577,20.66402816772461,1000,4,ppo,reacher
4,-231.42709350585938,-0.03635219484567642,0.00042840748210437596,22.406935453414917,0.6134727001190186,-40.796356201171875,13107200.0,-17.03635597229004,1694008694.1894288,15.666975975036621,43.88160681724548,1060749.2205973072,12.312307834625244,208648.24135640753,15.631052017211914,1000,4,ppo,reacher
5,-198.8251495361328,-0.021556198596954346,0.0009225039975717664,25.50221610069275,0.7077591419219971,-38.95329284667969,16384000.0,-10.728132247924805,1694008697.9966142,13.68708324432373,47.68879222869873,1058643.9077444582,13.020066976547241,180852.48556790387,13.666450500488281,1000,4,ppo,reacher
6,-148.8026123046875,-0.019861048087477684,0.001303874421864748,28.592008113861084,0.613882303237915,-29.051002502441406,19660800.0,-8.101929664611816,1694008701.7044156,15.005311965942383,51.39659357070923,1060524.4579682576,13.633949279785156,208509.02416451083,14.986754417419434,1000,4,ppo,reacher
7,-100.56600189208984,-0.028293117880821228,0.0016336538828909397,31.681702375411987,0.6136174201965332,-18.961624145507812,22937600.0,-6.115217208862305,1694008705.411875,10.596546173095703,55.104053020477295,1060558.0107965688,14.24756669998169,208599.0322096843,10.569887161254883,1000,4,ppo,reacher
8,-66.30075073242188,-0.031686242669820786,0.0020259576849639416,34.77286434173584,0.7118680477142334,-12.256317138671875,26214400.0,-4.246090888977051,1694008709.2191427,4.574989318847656,58.91132068634033,1060054.4506236005,14.959434747695923,179808.60415213255,4.5453290939331055,1000,4,ppo,reacher
9,-45.15760803222656,-0.027506845071911812,0.002461469266563654,37.8632755279541,0.6128954887390137,-8.239643096923828,29491200.0,-2.976203680038452,1694008712.9266288,1.888439655303955,62.61880683898926,1060311.978746693,15.572330236434937,208844.7416432292,1.8633942604064941,1000,4,ppo,reacher
10,-33.36935806274414,-0.0284725334495306,0.002916252240538597,40.953025579452515,0.6136159896850586,-6.073075294494629,32768000.0,-2.1912291049957275,1694008716.634235,0.768433153629303,66.32641291618347,1060538.8608735113,16.185946226119995,208599.5185127047,0.7428768873214722,1000,4,ppo,reacher
11,-26.537029266357422,-0.017975986003875732,0.003366458462551236,44.04019498825073,0.6161642074584961,-4.918704032897949,36044800.0,-1.6286935806274414,1694008720.341673,0.5705855488777161,70.03385090827942,1061425.3920310782,16.80211043357849,207736.83127094313,0.5559760332107544,1000,4,ppo,reacher
12,-21.870941162109375,-0.01251477561891079,0.003828352317214012,47.13097333908081,0.613067626953125,-4.177938461303711,39321600.0,-1.20939040184021,1694008724.0494852,0.36945241689682007,73.74166321754456,1060186.02049544,17.415178060531616,208786.10184678182,0.3607659935951233,1000,4,ppo,reacher
13,-19.961040496826172,-0.013107364065945148,0.004270195960998535,50.221070766448975,0.6135680675506592,-3.8468408584594727,42598400.0,-1.0595084428787231,1694008727.7571418,0.20398177206516266,77.44931983947754,1060419.6395163017,18.028746128082275,208615.8109742758,0.19514460861682892,1000,4,ppo,reacher
14,-18.890865325927734,-0.0064288293942809105,0.004619380459189415,53.3095269203186,0.6154475212097168,-3.7160439491271973,45875200.0,-0.9210779666900635,1694008731.4652088,0.2590990364551544,81.15738677978516,1060983.1698256065,18.644193649291992,207978.74000435427,0.2572895884513855,1000,4,ppo,reacher
15,-16.817581176757812,-0.004934573546051979,0.004995080176740885,56.398690700531006,0.6142117977142334,-3.288792371749878,49152000.0,-0.8320395350456238,1694008735.1725757,0.13250082731246948,84.86475372314453,1060740.1332973987,19.258405447006226,208397.16930926318,0.1325613260269165,1000,4,ppo,reacher
16,-15.912858963012695,-0.002050772774964571,0.005276893265545368,59.486202239990234,0.6155855655670166,-3.1647896766662598,52428800.0,-0.729425311088562,1694008738.8795488,0.19075444340705872,88.57172679901123,1061307.7742776389,19.873991012573242,207932.1010103592,0.19398057460784912,1000,4,ppo,reacher
17,-16.405485153198242,-0.0007789599476382136,0.005525235086679459,62.57765078544617,0.7131528854370117,-3.3395493030548096,55705600.0,-0.6772863864898682,1694008742.6880274,0.13673247396945953,92.38020539283752,1059956.1829410074,20.587143898010254,179484.6555539954,0.1414787620306015,1000,4,ppo,reacher
18,-15.491979598999023,0.0004267307522241026,0.005835845600813627,65.66971039772034,0.712212324142456,-3.1117501258850098,58982400.0,-0.6768671274185181,1694008746.4963071,0.07849849760532379,96.18848514556885,1059746.7096017452,21.29935622215271,179721.6864424794,0.08476106822490692,1000,4,ppo,reacher
