,eval/episode_x_velocity,eval/avg_episode_length,eval/episode_reward_forward,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,eval/episode_forward_reward,_runtime,eval/episode_reward_contact,eval/sps,eval/episode_y_position,eval/episode_distance_from_origin,eval/episode_reward,eval/episode_reward_survive,eval/walltime,eval/episode_y_velocity,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
0,3.286029815673828,982.5859375,3.286029815673828,13.234679222106934,171.52525329589844,-1731.17578125,0,3.286029815673828,19.512215852737427,-1.23380446434021,9671.560439953199,338.0130615234375,2361.951904296875,-746.53759765625,982.5859375,13.234679222106934,13.589332580566406,1694676185.261143,,,,,,,,2,sac,miniant
1,3182.590087890625,968.6328125,3182.590087890625,2.439500331878662,78005.21875,-1242.10498046875,421760,3182.590087890625,109.57645177841187,-0.8571373224258423,52469.76125698128,2581.138916015625,78204.34375,2908.260498046875,968.6328125,15.674179553985596,89.19427490234375,1694676275.325379,-1163.1929931640625,0.4316963255405426,215040.015625,298.7796936035156,87.61961531639099,5208.154202301307,0.21444137394428253,2,sac,miniant
2,3686.82763671875,950.96875,3686.82763671875,3.094785213470459,89683.859375,-1260.794677734375,835328,3686.82763671875,188.3017921447754,-0.7997475266456604,41359.897754087484,4159.337890625,89857.984375,3376.201904296875,950.96875,18.768964767456055,166.25613403320312,1694676354.0507193,-2902.97314453125,0.6019598841667175,628608.0,558.6167602539062,163.2446744441986,5468.6634928914655,-8.401284867431968e-05,2,sac,miniant
3,4280.2158203125,996.140625,4280.2158203125,2.4426076412200928,105538.609375,-1368.242919921875,1248896,4280.2158203125,271.140216588974,-0.8511467576026917,52403.013009516115,11424.365234375,106248.03125,3907.262451171875,996.140625,21.211572408676147,459.67974853515625,1694676436.8891437,-3746.74267578125,0.6342912912368774,993630.5625,614.8650512695312,243.63496232032776,5144.502040311808,-0.0008499652030877769,2,sac,miniant
4,4715.28173828125,995.171875,4715.28173828125,2.4118268489837646,116100.578125,-1359.130859375,1662464,4715.28173828125,340.24968457221985,-0.8588904142379761,53071.803249032346,2608.41748046875,116186.3125,4350.4638671875,995.171875,23.623399257659912,86.87055969238281,1694676505.9986117,-4367.73388671875,0.693816602230072,1048576.0,559.2724609375,310.32662177085876,6201.1952230213565,-8.058474486460909e-05,2,sac,miniant
5,5228.201171875,1000.0,5228.201171875,2.4383926391601562,128739.4609375,-1400.277099609375,2076032,5228.201171875,409.95813822746277,-0.9455848932266235,52493.59678352967,-4482.43359375,128876.953125,4826.9775390625,1000.0,26.06179189682007,-174.69309997558594,1694676575.7070653,-4950.650390625,0.7615789771080017,1048576.0,499.03369140625,377.59079360961914,6148.414359302126,-0.0009935309644788504,2,sac,miniant
6,5344.05078125,1000.0,5344.05078125,2.4122562408447266,131980.40625,-1297.106201171875,2489600,5344.05078125,480.1777136325836,-0.8477175235748291,53062.356242542795,-6436.7275390625,132186.15625,5046.09716796875,1000.0,28.474048137664795,-268.64404296875,1694676645.9266407,-5503.828125,0.8117470145225525,1048576.0,488.16522216796875,445.39276146888733,6099.645969839906,-0.00010560962255112827,2,sac,miniant
7,5564.87353515625,1000.0,5564.87353515625,2.3716654777526855,136995.96875,-1269.845947265625,2903168,5564.87353515625,549.2909686565399,-0.8531198501586914,53970.51194643551,-14485.8046875,137801.46875,5294.1748046875,1000.0,30.84571361541748,-594.9510498046875,1694676715.0398958,-6052.61669921875,0.8019771575927734,1048576.0,422.3714294433594,512.1284136772156,6197.107337903397,0.0006120573380030692,2,sac,miniant
8,5847.26953125,996.953125,5847.26953125,2.4399688243865967,143133.390625,-1357.9873046875,3316736,5847.26953125,618.4120421409607,-0.812446653842926,52459.68666512735,-1095.5333251953125,143196.15625,5485.42236328125,996.953125,33.28568243980408,-32.114139556884766,1694676784.1609693,-6566.2548828125,0.8278534412384033,1048576.0,389.12713623046875,578.8036963939667,6202.718356019774,-0.0001579933741595596,2,sac,miniant
9,6061.58203125,996.5625,6061.58203125,2.4056177139282227,148861.015625,-1334.006103515625,3730304,6061.58203125,687.3414349555969,-0.8371832966804504,53208.78677393177,-1611.8896484375,148908.203125,5723.30078125,996.5625,35.6913001537323,-75.77345275878906,1694676853.090362,-7041.048828125,0.8704947233200073,1048576.0,357.29534912109375,645.3221583366394,6217.341590916868,-0.0008854736806824803,2,sac,miniant
