,eval/avg_episode_length,eval/episode_reward_run,eval/epoch_eval_time,eval/episode_x_position,eval/episode_x_velocity,training/walltime,training/total_loss,eval/walltime,eval/episode_reward,training/policy_loss,eval/episode_reward_ctrl,_step,training/entropy_loss,training/sps,training/v_loss,_runtime,eval/sps,_timestamp,seed,rl_algorithm,environment
0,1000,-42.11407470703125,22.695603609085083,-2671.642578125,-42.11407470703125,,,22.695603609085083,-397.963134765625,,-355.84906005859375,0.0,,,,30.62015724182129,5639.858811631757,1694010402.2070973,0,ppo,halfcheetah
1,1000,438.107666015625,5.30066442489624,10394.796875,438.107666015625,35.26602482795715,3.703657388687134,27.996268033981323,263.8746032714844,0.029212329536676407,-174.23306274414062,2949120.0,-0.003680094378069043,83624.96239332549,3.6781246662139893,71.19116353988647,24147.916136476717,1694010442.7781036,0,ppo,halfcheetah
2,1000,899.0201416015625,5.261177062988281,21811.00390625,899.0201416015625,52.33852958679199,5.773282527923584,33.257445096969604,713.9364624023438,-0.006802997086197138,-185.08370971679688,5898240.0,-0.0027155980933457613,172740.90953021185,5.782801151275635,93.52976083755493,24329.15647345608,1694010465.116701,0,ppo,halfcheetah
3,1000,1172.8699951171875,5.285977363586426,28698.984375,1172.8699951171875,69.45102858543396,7.792945861816406,38.54342246055603,989.727294921875,-0.004933696705847979,-183.14268493652344,8847360.0,-0.001750999828800559,172337.19050817998,7.799630165100098,115.9333245754242,24215.0109990548,1694010487.5202646,0,ppo,halfcheetah
4,1000,1492.364501953125,5.262570142745972,37059.125,1492.364501953125,86.56128120422363,8.875580787658691,43.805992603302,1313.38525390625,-0.004631435498595238,-178.9793701171875,11796480.0,-0.0009796592639759183,172359.81640396212,8.881192207336426,138.3109655380249,24322.716187723916,1694010509.8979056,0,ppo,halfcheetah
5,1000,2796.1201171875,5.246196508407593,71473.484375,2796.1201171875,103.65045166015625,12.863719940185547,49.052189111709595,2604.991455078125,-0.006140402052551508,-191.12899780273438,14745600.0,-0.00016870613035280257,172572.44917796427,12.870030403137207,160.65115571022034,24398.628567356613,1694010532.2380958,0,ppo,halfcheetah
6,1000,4217.142578125,5.243953466415405,106223.7265625,4217.142578125,120.74150967597961,17.18806266784668,54.296142578125,4006.277587890625,-0.005053217988461256,-210.86538696289062,17694720.0,0.0011069830507040024,172553.39003996272,17.1920108795166,182.9905571937561,24409.064805736463,1694010554.5774972,0,ppo,halfcheetah
7,1000,4805.51171875,5.241965055465698,119413.8359375,4805.51171875,137.83177661895752,17.780338287353516,59.5381076335907,4588.404296875,-0.0038782847113907337,-217.1073455810547,20643840.0,0.0022201272659003735,172561.3771768347,17.78199577331543,205.32768511772156,24418.323786141384,1694010576.9146252,0,ppo,halfcheetah
8,1000,5021.9521484375,5.3186259269714355,124555.375,5021.9521484375,154.9483094215393,17.980031967163086,64.85673356056213,4805.373046875,-0.0033836294896900654,-216.5794677734375,23592960.0,0.0029865573160350323,172296.57629932897,17.980430603027344,227.76767253875732,24066.366343023965,1694010599.3546126,0,ppo,halfcheetah
9,1000,5338.0849609375,5.253378868103027,132535.953125,5338.0849609375,172.03121423721313,17.59886360168457,70.11011242866516,5121.46826171875,-0.003011324442923069,-216.61643981933594,26542080.0,0.003595522837713361,172635.7450223651,17.598278045654297,250.10873770713806,24365.271040544663,1694010621.6956778,0,ppo,halfcheetah
