eval/avg_episode_length,eval/epoch_eval_time,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
17.4921875,7.402844429016113,0,15.783462524414062,17290.651077076876,17.4921875,7.402844429016113,1694081076.0149264,,,,,,,5,ppo,inverted_pendulum
28.4140625,0.9691941738128662,163840,27.43362545967102,132068.47859644116,28.4140625,8.37203860282898,1694081087.6650894,-0.0110994447022676,266.6768493652344,266.65936279296875,-0.0063868011347949,10.602545976638794,15452.892197873813,5,ppo,inverted_pendulum
72.3828125,0.9733800888061525,327680,28.72979140281677,131500.5324970142,72.3828125,9.345418691635132,1694081088.9612553,-0.0801168978214263,187.26290893554688,187.17803955078125,-0.0047497199848294,10.921537399291992,513618.8259774117,5,ppo,inverted_pendulum
134.5078125,0.9692280292510986,491520,30.021817207336422,132063.8654031733,134.5078125,10.31464672088623,1694081090.253281,-0.0548104308545589,142.1024627685547,142.04345703125,-0.0042037023231387,11.24048352241516,513691.7746347057,5,ppo,inverted_pendulum
330.8203125,0.9677202701568604,655360,31.31251335144043,132269.62785356573,330.8203125,11.28236699104309,1694081091.5439773,-0.0549526736140251,55.63341522216797,55.574485778808594,-0.0039800866506993,11.559432983398438,513686.398763316,5,ppo,inverted_pendulum
992.7109375,0.969982385635376,819200,32.60575199127197,131961.1591876022,992.7109375,12.252349376678469,1694081092.837216,-0.0339576862752437,42.60661315917969,42.56884002685547,-0.0038143415004014,11.878706455230711,513165.0902899644,5,ppo,inverted_pendulum
1000.0,0.9678242206573486,983040,33.89630460739136,132255.42125104295,1000.0,13.220173597335815,1694081094.1277685,-0.0128702744841575,15.948019981384276,15.931097030639648,-0.0040526920929551,12.197444438934326,514027.22103039606,5,ppo,inverted_pendulum
1000.0,0.9690706729888916,1146880,35.18840861320496,132085.30973825813,1000.0,14.189244270324709,1694081095.4198723,-0.003310622414574,5.582736968994141,5.575338840484619,-0.0040874741971492,12.516416549682615,513649.92260809377,5,ppo,inverted_pendulum
1000.0,0.96941876411438,1310720,36.48052096366882,132037.8816031433,1000.0,15.158663034439089,1694081096.7119849,0.0019528036937117,7.877898216247559,7.8757643699646,-0.0040864953771233,12.835102796554564,514110.670316541,5,ppo,inverted_pendulum
1000.0,0.967397689819336,1474560,37.771302223205566,132313.73337670916,1000.0,16.126060724258423,1694081098.002766,0.0020220866426825,5.452215671539307,5.450346946716309,-0.0038907413836568,13.154365301132202,513182.7184553023,5,ppo,inverted_pendulum
1000.0,0.9747645854949952,1638400,39.06869649887085,131313.7570903854,1000.0,17.100825309753418,1694081099.3001604,-0.0036172347608953,3.791780471801758,3.7843422889709473,-0.0038208218757063,13.473025798797607,514152.2127792338,5,ppo,inverted_pendulum
1000.0,0.9753739833831788,1802240,40.36667490005493,131231.71437894995,1000.0,18.0761992931366,1694081100.5981388,-0.0047010742127895,1.2535898685455322,1.2452576160430908,-0.0036312360316514,13.79186201095581,513868.8572761752,5,ppo,inverted_pendulum
1000.0,0.974252462387085,1966080,41.663034200668335,131382.7831508664,1000.0,19.05045175552368,1694081101.894498,-0.0007639987161383,0.8253811597824097,0.8210145235061646,-0.0036025599110871,14.110286474227903,514533.3317559782,5,ppo,inverted_pendulum
1000.0,0.9772932529449464,2129920,42.96263122558594,130973.99333750502,1000.0,20.027745008468628,1694081103.1940951,0.0033169221132993,1.99316668510437,1.992969274520874,-0.0035140870604664,14.42900824546814,514053.3681224641,5,ppo,inverted_pendulum
1000.0,0.97896146774292,2293760,44.2642936706543,130750.805029247,1000.0,21.006706476211548,1694081104.4957576,0.0076045161113142,16.172664642333984,16.17659568786621,-0.0036735571920871,14.747904777526855,513771.6579803805,5,ppo,inverted_pendulum
1000.0,0.975797176361084,2457600,45.56271266937256,131174.8005639185,1000.0,21.982503652572632,1694081105.7941766,-0.0108416071161627,1.6995515823364258,1.685424566268921,-0.0032852615695446,15.066678762435911,513969.1686156308,5,ppo,inverted_pendulum
1000.0,0.9698355197906494,2621440,46.85495471954346,131981.1425628444,1000.0,22.95233917236328,1694081107.0864186,-0.0095985699445009,0.0914359986782074,0.0784910470247268,-0.0033463751897215,15.38523530960083,514319.9895219228,5,ppo,inverted_pendulum
1000.0,0.9757285118103028,2785280,48.15319848060608,131184.03167548848,1000.0,23.928067684173584,1694081108.3846624,-0.0063076065853238,0.0563151165843009,0.0467872768640518,-0.0032202345319092,15.703941822052002,514077.979580356,5,ppo,inverted_pendulum
1000.0,0.9767172336578368,2949120,49.45227932929993,131051.23529011152,1000.0,24.90478491783142,1694081109.6837432,-0.006265562493354,0.0424248687922954,0.0330386236310005,-0.0031206789426505,16.02251958847046,514285.7326232664,5,ppo,inverted_pendulum
1000.0,0.9737694263458252,3112960,50.7485146522522,131447.95527246507,1000.0,25.87855434417725,1694081110.9799786,-0.0056409733369946,0.0281357746571302,0.019617224112153,-0.0028775776736438,16.341103076934814,514276.4955891025,5,ppo,inverted_pendulum
