,training/alpha_loss,training/sps,eval/walltime,_step,_runtime,training/alpha,training/walltime,eval/avg_episode_length,training/actor_loss,training/critic_loss,eval/sps,eval/episode_forward_reward,eval/epoch_eval_time,eval/episode_x_velocity,eval/episode_reward_ctrl,training/buffer_current_size,eval/episode_x_position,eval/episode_reward,eval/episode_reward_fwd,eval/episode_y_velocity,_timestamp,eval/episode_y_position,eval/episode_distance_from_origin,seed,rl_algorithm,environment
0,,,11.243033170700073,0.0,16.51172685623169,,,1000,,,11384.828102577749,2.3491878509521484,11.243033170700073,2.3491878509521484,-0.04086751490831375,,1018.3363647460938,2.3083200454711914,2.3491878509521484,1.0990198850631714,1694067590.433579,40.006839752197266,804.2401123046875,2,sac,swimmer
1,0.0897790789604187,5451.608770010738,13.127522945404053,421760.0,100.5151915550232,0.04950340464711189,82.1140387058258,1000,-18.745542526245117,0.010947170667350292,67922.89441852056,94.49819946289062,1.8844897747039795,94.49819946289062,-0.1300520896911621,215040.015625,2686.1220703125,94.36814880371094,94.49819946289062,-65.25318908691406,1694067674.4370437,-1229.571044921875,2246.17626953125,2,sac,swimmer
2,-0.00012439640704542398,6443.61680188717,14.984047889709473,835328.0,166.55976676940918,0.06406069546937943,146.296626329422,1000,-68.93820190429688,0.17982853949069977,68946.01680016129,100.04328918457031,1.85652494430542,100.04328918457031,-0.11287315934896469,628608.0,2787.560791015625,99.930419921875,100.04328918457031,-68.32632446289062,1694067740.481619,-1268.9388427734375,2380.00537109375,2,sac,swimmer
3,-4.2897150706266984e-05,6750.261305136505,16.833006381988525,1248896.0,229.6808295249939,0.07579295337200165,207.56358790397644,1000,-104.57201385498047,0.33680927753448486,69228.16306288487,87.2925033569336,1.8489584922790527,87.2925033569336,-0.10706610977649689,993630.5625,2597.306640625,87.18544006347656,87.2925033569336,-61.06463623046875,1694067803.6026816,-1158.202392578125,2186.89697265625,2,sac,swimmer
4,0.00011519201507326216,6680.5642935666,18.751611948013306,1662464.0,293.51076221466064,0.06828150153160095,269.469735622406,1000,-127.20973205566406,0.37052252888679504,66715.11970290342,101.29132080078125,1.9186055660247803,101.29132080078125,-0.111063152551651,1048576.0,2791.78271484375,101.18026733398438,101.29132080078125,-66.57833862304688,1694067867.4326143,-1253.618408203125,2371.57177734375,2,sac,swimmer
5,8.14030718174763e-05,6314.075988524785,20.607749938964844,2076032.0,360.8716003894806,0.05358460545539856,334.96910572052,1000,-140.70361328125,0.32533732056617737,68960.39013477741,96.50053405761719,1.856137990951538,96.50053405761719,-0.10516098141670227,1048576.0,2764.125732421875,96.3953857421875,96.50053405761719,-65.47869110107422,1694067934.7934525,-1246.316162109375,2367.953369140625,2,sac,swimmer
6,3.441239459789358e-05,6432.688905558938,22.453554391860962,2489600.0,427.0144753456116,0.04525616019964218,399.2607271671295,1000,-145.4258270263672,0.29689115285873413,69346.45747503993,94.47476196289062,1.8458044528961182,94.47476196289062,-0.1094849556684494,1048576.0,2688.9638671875,94.36528015136719,94.47476196289062,-68.98417663574219,1694068000.9363275,-1289.3719482421875,2307.85302734375,2,sac,swimmer
7,6.748478426743532e-06,6462.762067018849,24.295314073562622,2903168.0,492.85404205322266,0.041639264672994614,463.2531805038452,1000,-144.8903045654297,0.2518116533756256,69498.75234630868,83.24066162109375,1.8417596817016602,83.24066162109375,-0.10829773545265198,1048576.0,2562.511474609375,83.13236999511719,83.24066162109375,-64.09521484375,1694068066.7758942,-1222.4459228515625,2193.742431640625,2,sac,swimmer
8,2.8249578463146463e-06,6390.689209620109,26.13915991783142,3316736.0,559.4175262451172,0.042209986597299576,527.9673273563385,1000,-139.87026977539062,0.2219359278678894,69420.12012439145,87.64981842041016,1.8438458442687988,87.64981842041016,-0.10784928500652313,1048576.0,2584.35302734375,87.54196166992188,87.64981842041016,-63.965606689453125,1694068133.3393784,-1209.261962890625,2164.9853515625,2,sac,swimmer
9,-2.315023448318243e-05,6632.67251845195,27.99307155609131,3730304.0,623.6300721168518,0.04765913262963295,590.3204736709595,1000,-132.52395629882812,0.2278701663017273,69043.20430295315,84.52290344238281,1.8539116382598877,84.52290344238281,-0.10965892672538757,1048576.0,2527.791259765625,84.41323852539062,84.52290344238281,-65.96646118164062,1694068197.5519242,-1203.385498046875,2137.826416015625,2,sac,swimmer
10,-1.4567679500032682e-05,6676.096596332871,29.89234495162964,4143872.0,687.4821422100067,0.05131939426064491,652.2680494785309,1000,-125.60301208496094,0.24281615018844604,67394.1941695654,86.45250701904297,1.89927339553833,86.45250701904297,-0.10523378103971481,1048576.0,2569.58642578125,86.34727478027344,86.45250701904297,-57.2973747253418,1694068261.4039943,-1099.8023681640625,2120.16796875,2,sac,swimmer
11,-4.999568048447145e-08,6636.106455726846,31.801717042922974,4557440.0,751.717440366745,0.052705854177474976,714.5889303684235,1000,-119.48300170898438,0.23329885303974152,67037.745331921,83.70856475830078,1.909372091293335,83.70856475830078,-0.10150004923343658,1048576.0,2549.453125,83.6070556640625,83.70856475830078,-56.000057220458984,1694068325.6392925,-1103.915771484375,2108.33203125,2,sac,swimmer
12,2.362736631766893e-05,6704.606460117432,33.647342920303345,4971008.0,815.2520155906677,0.05070794001221657,776.2730877399445,1000,-115.67677307128906,0.20349158346652985,69353.16716607787,84.62955474853516,1.845625877380371,84.62955474853516,-0.10300615429878235,1048576.0,2511.650634765625,84.52655029296875,84.62955474853516,-52.04292297363281,1694068389.1738677,-1017.6119384765625,2043.4522705078125,2,sac,swimmer
13,-4.036402515339432e-06,6723.095263209931,35.53913474082947,5384576.0,878.6634058952332,0.04940371215343475,837.7876110076904,1000,-114.04629516601562,0.1704847812652588,67660.72176187026,76.54913330078125,1.891791820526123,76.54913330078125,-0.10264609009027481,1048576.0,2422.69384765625,76.44648742675781,76.54913330078125,-52.68277359008789,1694068452.585258,-1024.9278564453125,1967.1903076171875,2,sac,swimmer
14,-1.1799379535659682e-05,6527.653194905619,37.417415142059326,5798144.0,943.9029433727264,0.05176100134849548,901.1439180374146,1000,-113.67939758300781,0.16488711535930634,68147.43949635437,83.74363708496094,1.8782804012298584,83.74363708496094,-0.10338748246431351,1048576.0,2527.86669921875,83.64024353027344,83.74363708496094,-54.43415069580078,1694068517.8247955,-1074.601318359375,2087.4501953125,2,sac,swimmer
15,6.134784052846953e-05,6664.917959571595,39.28313851356506,6211712.0,1007.8251836299896,0.049059562385082245,963.1953945159912,1000,-117.02545928955078,0.14859290421009064,68606.09775000955,88.08647155761719,1.8657233715057373,88.08647155761719,-0.10491512715816498,1048576.0,2577.39111328125,87.9815673828125,88.08647155761719,-57.124027252197266,1694068581.7470357,-1125.9481201171875,2137.04296875,2,sac,swimmer
16,2.523365583328996e-05,6670.656749948492,41.186349391937256,6625280.0,1071.7310810089111,0.04310564324259758,1025.1934878826141,1000,-123.58805847167969,0.12883350253105164,67254.76480539971,92.69200897216797,1.9032108783721924,92.69200897216797,-0.10498102009296417,1048576.0,2642.99462890625,92.5870361328125,92.69200897216797,-54.800506591796875,1694068645.6529331,-1063.919677734375,2165.77734375,2,sac,swimmer
17,-2.516507038308191e-06,6742.304055301954,43.049195766448975,7038848.0,1134.9379708766937,0.04188821092247963,1086.5327565670013,1000,-128.2760009765625,0.12343093007802963,68712.05363542166,84.23857116699219,1.8628463745117188,84.23857116699219,-0.10688373446464539,1048576.0,2530.493408203125,84.1316909790039,84.23857116699219,-56.53409957885742,1694068708.859823,-1107.482666015625,2068.486328125,2,sac,swimmer
18,1.902390863506298e-06,6728.337178568991,44.92240929603577,7452416.0,1198.2829284667969,0.042491164058446884,1147.9993550777435,1000,-129.66709899902344,0.1247713565826416,68331.77210087482,84.46308898925781,1.873213529586792,84.46308898925781,-0.10152365267276764,1048576.0,2522.47265625,84.36156463623047,84.46308898925781,-53.45062255859375,1694068772.2047806,-1057.2567138671875,2052.20654296875,2,sac,swimmer
19,-1.0139729056390934e-05,6760.865512400594,46.78798031806946,7865984.0,1261.3243346214294,0.04384128376841545,1209.1702213287354,1000,-127.91759490966797,0.13562339544296265,68611.70037925706,84.46453857421875,1.8655710220336914,84.46453857421875,-0.10294634103775024,1048576.0,2537.95751953125,84.3615951538086,84.46453857421875,-53.98345184326172,1694068835.2461867,-1055.6083984375,2052.58935546875,2,sac,swimmer
