eval/avg_episode_length,eval/episode_reward_dist,eval/epoch_eval_time,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
1000,-174.4391326904297,8.810784101486206,-542.6622924804688,0,14.604107141494753,14527.651401469357,-717.1013793945312,8.810784101486206,1694108252.8149831,,,,,,,,8,sac,reacher
1000,-96.7820281982422,0.7163166999816895,-59.11798095703125,421760,90.10353183746338,178691.9109986853,-155.89999389648438,9.527100801467896,1694108328.3144078,236.34841918945312,0.2597763538360595,215040.015625,1.8725905418396,74.77993440628052,6042.122651824967,0.0340088084340095,8,sac,reacher
1000,-65.23670959472656,0.7343778610229492,-57.76071166992188,835328,152.5677878856659,174297.19330278123,-122.99742126464844,10.261478662490845,1694108390.778664,409.2038269042969,0.2558451890945434,628608.0,3.756548166275024,136.50549864768982,6700.108862229778,-3.690814628498629e-05,8,sac,reacher
1000,-55.03419876098633,0.685321569442749,-54.75325012207031,1248896,213.71149682998657,186773.6340242141,-109.78746032714844,10.946800231933594,1694108451.9223728,419.115234375,0.2465101778507232,993630.5625,3.21270489692688,196.95992064476013,6840.988406440177,0.0001361597824143,8,sac,reacher
1000,-44.18400955200195,0.7068948745727539,-48.875633239746094,1662464,274.90739250183105,181073.6003388948,-93.05963897705078,11.653695106506348,1694108513.1182685,358.83062744140625,0.227067232131958,1048576.0,0.8613778948783875,257.44501543045044,6837.519251070808,-1.7805388779379427e-05,8,sac,reacher
1000,-35.23023986816406,0.7037584781646729,-71.72645568847656,2076032,336.7347311973572,181880.57973214105,-106.95671081542967,12.35745358467102,1694108574.9456072,314.769775390625,0.2370493710041046,1048576.0,0.8599245548248291,318.5644929409027,6766.549991028215,-8.210415217035916e-06,8,sac,reacher
1000,-39.58566665649414,0.7051587104797363,-97.64249420166016,2489600,398.34162306785583,181519.41980964615,-137.22816467285156,13.062612295150757,1694108636.552499,288.3678283691406,0.2424229085445404,1048576.0,0.9500552415847778,379.462229013443,6791.188419670729,2.218894223915413e-06,8,sac,reacher
1000,-58.63752746582031,0.7567422389984131,-138.2210235595703,2903168,459.7560656070709,169146.10207223866,-196.85855102539065,13.81935453414917,1694108697.9669416,348.1155700683594,0.4706164300441742,1048576.0,41.59023284912109,440.1160502433777,6818.498680111029,-0.0008847964927554,8,sac,reacher
1000,-49.873268127441406,0.7277681827545166,-84.05797576904297,3316736,519.2691309452057,175880.1813999825,-133.9312286376953,14.547122716903688,1694108757.480007,487.5741882324219,0.45559823513031,1048576.0,31.25425910949707,498.89786410331726,7035.6454291358805,0.0005787455593235,8,sac,reacher
1000,-45.302978515625,0.7697525024414062,-73.18799591064453,3730304,578.9709920883179,166287.2151685449,-118.49095153808594,15.316875219345093,1694108817.181868,509.8603515625,0.3710660338401794,1048576.0,22.62274742126465,557.8263261318207,7018.13666543612,0.0001593285705894,8,sac,reacher
1000,-45.76454544067383,0.7050228118896484,-80.05821228027344,4143872,638.4729862213135,181554.4090792268,-125.82275390625,16.02189803123474,1694108876.6838622,449.4684143066406,0.2717773914337158,1048576.0,14.226358413696287,616.619665145874,7034.26624402375,0.0002036770747508,8,sac,reacher
1000,-65.06192779541016,0.7654170989990234,-112.0654067993164,4557440,698.2910509109497,167229.0835511676,-177.1273193359375,16.787315130233765,1694108936.501927,429.9761047363281,0.3001245260238647,1048576.0,18.434328079223636,675.668600320816,7003.8180836748015,-6.399350240826607e-05,8,sac,reacher
1000,-48.537139892578125,0.7625100612640381,-86.59651184082031,4971008,758.1102523803711,167866.63744188525,-135.1336669921875,17.549825191497803,1694108996.3211284,442.46630859375,0.2942560315132141,1048576.0,14.303245544433594,734.7215461730957,7003.34240792214,2.492758176231291e-05,8,sac,reacher
1000,-41.59154510498047,0.7370426654815674,-65.35700988769531,5384576,817.9097013473511,173667.0154859592,-106.94854736328124,18.28686785697937,1694109056.120577,420.3979187011719,0.2734990119934082,1048576.0,6.699682235717773,793.7802367210388,7002.661186066606,0.0001662104768911,8,sac,reacher
1000,-33.930721282958984,0.7395920753479004,-59.33937072753906,5798144,877.7118861675262,173068.37683433728,-93.27009582519533,19.02645993232727,1694109115.9227622,350.2333068847656,0.2459736913442611,1048576.0,1.7274699211120603,852.8391199111938,7002.638344318383,5.545215572055895e-06,8,sac,reacher
1000,-32.50798034667969,0.7219302654266357,-59.41341781616211,6211712,937.6222665309906,177302.44336598972,-91.92140197753906,19.748390197753903,1694109175.8331425,298.6304626464844,0.2422799468040466,1048576.0,0.8372473120689392,912.0239400863647,6987.737713419619,5.0826347433030605e-05,8,sac,reacher
1000,-32.814903259277344,0.7701430320739746,-56.38992691040039,6625280,997.4332678318024,166202.89305909764,-89.204833984375,20.51853322982788,1694109235.6441438,267.0791015625,0.2378800511360168,1048576.0,0.4742327630519867,971.0607249736786,7005.259530806018,2.603939901746344e-05,8,sac,reacher
1000,-28.26827049255371,0.7321107387542725,-54.91209411621094,7038848,1058.760398864746,174836.93821756964,-83.18035888671875,21.250643968582157,1694109296.9712749,247.782958984375,0.2336108088493347,1048576.0,0.3399728238582611,1031.65203332901,6825.533417675577,7.049176474538399e-06,8,sac,reacher
1000,-26.240028381347656,0.7114298343658447,-52.44532012939453,7452416,1119.4219801425934,179919.35931966756,-78.68534088134766,21.962073802948,1694109357.632856,234.5413360595703,0.2295765131711959,1048576.0,0.2450468838214874,1091.598256111145,6898.983468950945,2.544652670621872e-05,8,sac,reacher
1000,-26.66485023498535,0.7220337390899658,-52.56298828125,7865984,1181.9246973991394,177277.03439638176,-79.22782897949219,22.684107542037964,1694109420.1355734,222.9979553222656,0.2285500466823578,1048576.0,0.1804853081703186,1153.3751418590546,6694.542707892889,1.402120517468575e-07,8,sac,reacher
