,eval/episode_reward_ctrl,_runtime,eval/walltime,training/alpha,training/actor_loss,eval/episode_reward,eval/episode_reward_run,training/sps,training/walltime,eval/episode_x_position,eval/sps,training/alpha_loss,training/buffer_current_size,_step,_timestamp,eval/epoch_eval_time,eval/avg_episode_length,eval/episode_x_velocity,training/critic_loss
0,-519.14794921875,30.340199947357178,22.652124404907227,,,-78.68313598632812,440.46478271484375,,,10422.193359375,5650.684135050521,,,0.0,1694056731.3025289,22.652124404907227,1000,440.46478271484375,
1,-317.66552734375,139.91997385025024,27.957268953323364,1.0200928449630737,-1349.1715087890625,5710.75537109375,6028.4208984375,4546.773387095018,104.27091670036316,148817.921875,24127.52354470995,0.14272180199623108,215040.015625,421760.0,1694056840.8823028,5.305144548416138,1000,6028.4208984375,528.116943359375
2,-272.8060302734375,219.45738410949707,33.27651500701904,1.641654372215271,-4353.59716796875,6048.669921875,6321.47607421875,5572.663355577813,178.4846227169037,155014.875,24063.560645228812,-0.0008288339013233781,628608.0,835328.0,1694056920.419713,5.319246053695679,1000,6321.47607421875,1450.61474609375
3,-302.74066162109375,300.8966407775879,38.512430906295776,1.6384706497192383,-6011.44873046875,6141.49658203125,6444.23828125,5427.475611932549,254.68358325958252,158048.6875,24446.53475386825,0.0021353797055780888,993630.5625,1248896.0,1694057001.8589697,5.235915899276733,1000,6444.23828125,1777.03564453125
4,-289.5728759765625,384.53945112228394,43.81970024108887,1.4987329244613647,-7221.8251953125,6278.6435546875,6568.21630859375,5279.710666472474,333.0151484012604,161713.296875,24117.863994741132,0.001574337831698358,1048576.0,1662464.0,1694057085.50178,5.307269334793091,1000,6568.21630859375,1404.8175048828125
5,-276.7190246582031,468.18248105049133,49.1072211265564,1.4767106771469116,-8028.91015625,7071.021484375,7347.74072265625,5278.397005169648,411.36620831489563,179166.96875,24207.942204408348,0.001210436807014048,1048576.0,2076032.0,1694057169.14481,5.287520885467529,1000,7347.74072265625,1159.4544677734375
6,-286.65386962890625,551.7367684841156,54.386805295944214,1.5175554752349854,-8572.35546875,7187.9873046875,7474.6416015625,5283.846586254728,489.6364595890045,183086.21875,24244.333624260027,-6.083798871259205e-05,1048576.0,2489600.0,1694057252.6990974,5.279584169387817,1000,7474.6416015625,1143.5767822265625
7,-247.0277862548828,635.3786902427673,59.677496671676636,1.5567809343338013,-9034.548828125,7752.591796875,7999.619140625,5278.681428789711,567.9832978248596,196363.53125,24193.435396197194,0.0008181837620213628,1048576.0,2903168.0,1694057336.3410192,5.290691375732422,1000,7999.619140625,1216.308837890625
8,-262.85565185546875,718.9210112094879,64.99505233764648,1.6063677072525024,-9457.4794921875,7525.685546875,7788.541015625,5287.215682287917,646.2036740779877,189193.84375,24071.210165066426,-0.00205883732996881,1048576.0,3316736.0,1694057419.8833401,5.317555665969849,1000,7788.541015625,1703.111083984375
9,-266.5600280761719,802.4815068244934,70.25172209739685,1.8054778575897217,-9549.171875,7695.6787109375,7962.23876953125,5281.878310082893,724.5030925273895,193950.609375,24350.017377937507,-0.0018937966087833047,1048576.0,3730304.0,1694057503.4438357,5.256669759750366,1000,7962.23876953125,2618.260498046875
10,-266.23974609375,885.9205040931702,75.48496270179749,1.9647966623306274,-9497.9033203125,7628.62939453125,7894.8701171875,5288.5031992605955,802.704425573349,191938.203125,24459.03211336485,0.0003671365848276764,1048576.0,4143872.0,1694057586.882833,5.233240604400635,1000,7894.8701171875,2704.33447265625
