eval/episode_x_velocity,eval/avg_episode_length,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/episode_reward_run,eval/walltime,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
273.2672119140625,1000,22.022500038146973,6930.658203125,-379.39263916015625,0,28.285298585891724,5812.237474323112,-106.12541198730467,273.2672119140625,22.022500038146973,1694127131.324849,,,,,,,9,ppo,halfcheetah
701.779541015625,1000,5.23738694190979,19566.904296875,-191.6932373046875,2949120,66.06047415733337,24439.668372741115,510.08636474609375,701.779541015625,27.259886980056763,1694127169.1000242,0.0194113794714212,3.2904646396636963,3.306618452072144,-0.0032575738150626,32.53367781639099,90648.22048843755,9,ppo,halfcheetah
2563.775146484375,1000,5.263010025024414,69694.9921875,-222.5267639160156,5898240,88.39984011650085,24320.683295564544,2341.24853515625,2563.775146484375,32.52289700508118,1694127191.4393902,-0.0085259899497032,8.043360710144043,8.03300952911377,-0.001824225182645,49.60514712333679,172751.3869471155,9,ppo,halfcheetah
3812.5673828125,1000,5.243675231933594,103707.96875,-238.4594268798828,8847360,110.7380428314209,24410.359974334315,3574.10791015625,3812.5673828125,37.76657223701477,1694127213.777593,-0.0054975994862616,16.04545021057129,16.039527893066406,-0.0004233211220707,66.69455790519714,172570.02231641358,9,ppo,halfcheetah
4265.4345703125,1000,5.2667200565338135,117410.984375,-241.5494079589844,11796480,133.0750126838684,24303.55109556376,4023.88525390625,4265.4345703125,43.03329229354858,1694127236.1145627,-0.0041605369187891,16.601627349853516,16.598085403442383,0.0006173646543174,83.7596971988678,172815.46603570995,9,ppo,halfcheetah
5145.9287109375,1000,5.273768424987793,135695.375,-246.63821411132807,14745600,155.41219568252563,24271.06950572944,4899.29052734375,5145.9287109375,48.30706071853638,1694127258.4517455,-0.0036207747180014,17.967138290405273,17.965147018432617,0.0016310074133798,100.81818914413452,172882.80871852228,9,ppo,halfcheetah
6280.30615234375,1000,5.284200668334961,161633.71875,-254.6402587890625,17694720,177.75049901008606,24223.15275932405,6025.666015625,6280.30615234375,53.59126138687134,1694127280.790049,-0.0030662205535918,18.44514274597168,18.444604873657227,0.0025291508063673,117.86748576164246,172976.05092819763,9,ppo,halfcheetah
6511.98046875,1000,5.294080257415772,168074.59375,-254.79331970214844,20643840,200.09055280685425,24177.94853425236,6257.1875,6511.98046875,58.88534164428711,1694127303.1301029,-0.0028661983087658,18.160076141357425,18.16057777404785,0.0033678878098726,134.90885472297668,173056.5195021224,9,ppo,halfcheetah
6550.3505859375,1000,5.260649919509888,167531.328125,-252.30859375,23592960,222.4295401573181,24331.594376826582,6298.04150390625,6550.3505859375,64.145991563797,1694127325.4690902,-0.002425713231787,17.9974422454834,17.99906349182129,0.0040476494468748,151.98251962661743,172729.17189391112,9,ppo,halfcheetah
6993.15234375,1000,5.237138271331787,178043.8125,-254.00387573242188,26542080,244.72048783302307,24440.828820708222,6739.1484375,6993.15234375,69.38312983512878,1694127347.760038,-0.0021988761145621,17.55634307861328,17.55864143371582,0.0044983052648603,169.0314872264862,172979.38908762424,9,ppo,halfcheetah
7471.3466796875,1000,5.317023754119873,187417.40625,-258.68634033203125,29491200,267.1086804866791,24073.6182344154,7212.66015625,7471.3466796875,74.70015358924866,1694127370.1482306,-0.0020210535731166,17.403656005859375,17.406835556030273,0.0051994938403368,186.09750628471372,172806.55728426762,9,ppo,halfcheetah
7551.70751953125,1000,5.260781764984131,190583.703125,-257.2885437011719,32440320,289.4467070102692,24330.984579510707,7294.419921875,7551.70751953125,79.96093535423279,1694127392.486257,-0.001843569567427,17.156190872192383,17.159931182861328,0.0055847410112619,203.16948294639587,172746.2530229009,9,ppo,halfcheetah
7480.9541015625,1000,5.267439365386963,189890.734375,-253.74887084960935,35389440,311.7859697341919,24300.23226106879,7227.20458984375,7480.9541015625,85.22837471961975,1694127414.8255198,-0.0015619846526533,17.10392189025879,17.10836410522461,0.0060080415569245,220.23617219924927,172799.77131516204,9,ppo,halfcheetah
7752.03515625,1000,5.261700868606567,194453.21875,-253.95947265625,38338560,334.12565445899963,24326.734490685263,7498.07568359375,7752.03515625,90.49007558822632,1694127437.1652043,-0.0012023837771266,17.069175720214844,17.07423210144043,0.0062604439444839,237.30901551246643,172737.48407899347,9,ppo,halfcheetah
7803.29248046875,1000,5.267997980117798,196046.5625,-251.9384307861328,41287680,356.46369099617004,24297.65548185305,7551.35498046875,7803.29248046875,95.75807356834412,1694127459.503241,-0.0011049442691728,17.07969093322754,17.085224151611328,0.0066379127092659,254.37383031845093,172818.75212415235,9,ppo,halfcheetah
7747.3662109375,1000,5.264414548873901,195224.78125,-251.36875915527344,44236800,378.8024775981903,24314.19463867643,7495.9970703125,7747.3662109375,101.02248811721802,1694127481.8420277,-0.0008801190997473,17.164098739624023,17.170272827148438,0.0070546553470194,271.4429521560669,172775.14496972514,9,ppo,halfcheetah
7602.9013671875,1000,5.270727157592773,192855.78125,-248.20187377929688,47185920,401.14195799827576,24285.07417911188,7354.69970703125,7602.9013671875,106.2932152748108,1694127504.181508,-0.0008033833582885,16.984193801879883,16.99076271057129,0.0073711243458092,288.5066010951996,172830.5598948813,9,ppo,halfcheetah
7732.888671875,1000,5.265312671661377,195760.25,-247.57815551757807,50135040,423.4799418449402,24310.047281505857,7485.310546875,7732.888671875,111.55852794647215,1694127526.519492,-0.0004926286055706,17.58378791809082,17.59097671508789,0.0076787639409303,305.5740365982056,172792.21588273117,9,ppo,halfcheetah
7570.8642578125,1000,5.277157306671143,192507.46875,-246.94728088378903,53084160,445.82648396492,24255.48312501282,7323.91796875,7570.8642578125,116.83568525314332,1694127548.866034,-0.0002987260231748,17.37648582458496,17.384151458740234,0.0079645663499832,322.63774514198303,172829.95618648446,9,ppo,halfcheetah
7774.6142578125,1000,5.276787519454956,196516.1875,-246.6083831787109,56033280,468.1772680282593,24257.182903059405,7528.005859375,7774.6142578125,122.11247277259828,1694127571.216818,0.0007910834974609,17.18025016784668,17.18937873840332,0.0083388369530439,339.70704340934753,172773.35915082958,9,ppo,halfcheetah
