,training/policy_loss,eval/sps,training/v_loss,eval/episode_reward,eval/avg_episode_length,training/walltime,eval/episode_reward_run,_step,eval/episode_x_velocity,training/sps,eval/epoch_eval_time,eval/episode_reward_ctrl,_timestamp,_runtime,eval/walltime,training/total_loss,eval/episode_x_position,training/entropy_loss
0,,6017.385233957775,,-360.3487548828125,1000,,44.06218719482422,0.0,44.06218719482422,,21.271697759628296,-404.41094970703125,1694011369.6686084,27.591188430786133,21.271697759628296,,-182.0605926513672,
1,0.03343527391552925,24388.67985949651,4.089835166931152,238.1033935546875,1000,33.514042377471924,423.70477294921875,2949120.0,423.70477294921875,87996.54684396989,5.248336553573608,-185.60134887695312,1694011408.4350781,66.35765814781189,26.520034313201904,4.1196370124816895,10207.365234375,-0.003633887739852071
2,-0.008144493214786053,24411.409971944227,5.373238563537598,1302.9307861328125,1000,50.603943824768066,1513.2298583984375,5898240.0,1513.2298583984375,172565.06768601591,5.243449687957764,-210.2991180419922,1694011430.773553,88.69613289833069,31.763484001159668,5.362636566162109,40882.2578125,-0.002457357943058014
3,-0.006623312830924988,24425.601564779077,14.604697227478027,3001.07470703125,1000,67.7047209739685,3234.89404296875,8847360.0,3234.89404296875,172455.32026232436,5.240403175354004,-233.81956481933594,1694011453.120001,111.04258108139038,37.00388717651367,14.59720516204834,88317.203125,-0.0008700962061993778
4,-0.004999781958758831,24007.823155474125,17.146345138549805,4177.1953125,1000,84.81021547317505,4422.40966796875,11796480.0,4422.40966796875,172407.76056703876,5.331595420837402,-245.21385192871094,1694011475.562326,133.48490595817566,42.335482597351074,17.141780853271484,116870.78125,0.0004354648699518293
5,-0.0042604319751262665,23948.368641433884,18.34809684753418,5305.6357421875,1000,101.91087031364441,5561.630859375,14745600.0,5561.630859375,172456.55371166219,5.344831705093384,-255.99508666992188,1694011498.0130455,155.9356255531311,47.68031430244446,18.345523834228516,142900.984375,0.0016884070355445147
6,-0.003549533663317561,24407.535640501574,18.697412490844727,6006.27294921875,1000,118.9960036277771,6264.7216796875,17694720.0,6264.7216796875,172613.2272881073,5.244282007217407,-258.44891357421875,1694011520.3474252,178.27000522613525,52.924596309661865,18.696636199951172,160220.40625,0.0027756851632148027
7,-0.0030953639652580023,24247.275816166697,18.15570640563965,6418.173828125,1000,136.06244897842407,6677.939453125,20643840.0,6677.939453125,172802.2408537582,5.2789435386657715,-259.76654052734375,1694011542.6978297,200.62040972709656,58.20353984832764,18.156164169311523,170546.03125,0.0035528475418686867
8,-0.0025499893818050623,24422.804811548678,17.462961196899414,6788.7705078125,1000,153.17363095283508,7047.40625,23592960.0,7047.40625,172350.45506559827,5.2410032749176025,-258.6364440917969,1694011565.0551465,222.97772645950317,63.44454312324524,17.464731216430664,177731.9375,0.004322359338402748
9,-0.0023310305550694466,23866.144970436428,16.765329360961914,7142.94921875,1000,170.25218033790588,7399.83056640625,26542080.0,7399.83056640625,172679.77118583448,5.363245725631714,-256.8822937011719,1694011587.5022662,245.42484617233276,68.80778884887695,16.767847061157227,185480.8125,0.004846202675253153
