eval/avg_episode_length,eval/episode_reward_dist,eval/epoch_eval_time,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
1000,-170.35606384277344,10.754639148712158,-593.83203125,0,16.446300745010376,11901.840520174746,-764.1880493164062,10.754639148712158,1694109443.7873197,,,,,,,,9,sac,reacher
1000,-42.62620162963867,0.7561845779418945,-62.19107055664063,421760,91.41755557060242,169270.8417148327,-104.81726837158205,11.510823726654053,1694109518.7585745,217.5287933349609,0.2568795680999756,215040.015625,2.377384185791016,74.21206021308899,6137.035410699205,0.0344453789293766,9,sac,reacher
1000,-42.76313018798828,0.6865048408508301,-56.206974029541016,835328,150.7162160873413,186451.7078151427,-98.9700927734375,12.197328567504885,1694109578.057235,359.3049011230469,0.2402733713388443,628608.0,4.143801689147949,132.8204550743103,7056.463514813649,-1.3363224752538372e-05,9,sac,reacher
1000,-34.70176315307617,0.7214086055755615,-54.75703430175781,1248896,213.3944408893585,177430.65304561725,-89.45880126953125,12.918737173080444,1694109640.7354598,362.2486267089844,0.2400593310594558,993630.5625,3.124643564224243,194.77255010604856,6675.60959460899,5.356389738153666e-05,9,sac,reacher
1000,-28.937917709350582,0.7132284641265869,-53.18601608276367,1662464,275.95437026023865,179465.63610125633,-82.12393951416016,13.631965637207031,1694109703.2953892,304.8085632324219,0.2366590648889541,1048576.0,0.5913704037666321,256.6152694225311,6687.416151342723,-2.072826828225516e-05,9,sac,reacher
1000,-28.61481094360352,0.7492258548736572,-51.65161895751953,2076032,337.118408203125,170843.0097111168,-80.26642608642578,14.381191492080688,1694109764.459427,267.1298522949219,0.2392343580722808,1048576.0,0.3396122455596924,317.02672386169434,6845.854049358798,-1.5349312889156863e-05,9,sac,reacher
1000,-26.06049346923828,0.7276639938354492,-54.77885818481445,2489600,397.4284377098084,175905.36440496927,-80.83934783935547,15.108855485916138,1694109824.7694566,242.7386779785156,0.2376458197832107,1048576.0,0.216982364654541,376.6052098274231,6941.566125696717,2.5908624593284912e-05,9,sac,reacher
1000,-85.17760467529297,0.6966097354888916,-434.3388671875,2903168,457.4391632080078,183747.0731157204,-519.5164184570312,15.80546522140503,1694109884.780182,227.10142517089844,0.2377020567655563,1048576.0,0.4701100587844848,435.9152789115906,6972.981255730822,-3.899701914633624e-05,9,sac,reacher
1000,-48.375247955322266,0.6897077560424805,-113.41480255126952,3316736,517.9015755653381,185585.8497727496,-161.79006958007812,16.49517297744751,1694109945.2425945,317.1678771972656,0.4595014750957489,1048576.0,34.99195098876953,495.6840751171112,6919.46343670546,-0.0007072810549288,9,sac,reacher
1000,-51.77008819580078,0.7799403667449951,-107.18255615234376,3730304,577.9713115692139,164115.11117727563,-158.95263671875,17.275113344192505,1694110005.3123305,484.3328247070313,0.4708130955696106,1048576.0,49.071815490722656,554.9700326919556,6975.817156666474,0.0002847204741556,9,sac,reacher
