,training/actor_loss,eval/episode_x_velocity,eval/epoch_eval_time,eval/episode_reward_ctrl,_timestamp,training/walltime,eval/episode_x_position,training/buffer_current_size,_step,_runtime,training/alpha,eval/sps,training/sps,eval/episode_reward,eval/episode_reward_forward,training/critic_loss,eval/walltime,eval/avg_episode_length,training/alpha_loss,eval/episode_reward_healthy
0,,2.0912911891937256,10.755991220474243,-0.014319775626063347,1694047565.3596506,,0.049822848290205,,0.0,14.468291521072388,,11900.344410503929,,12.897283554077148,2.0912911891937256,,10.755991220474243,10.8203125,,10.8203125
1,-1025.5618896484375,500.2677307128906,1.1112005710601807,-0.2363487333059311,1694047648.4052773,81.93052387237549,358.6214599609375,215040.015625,421760.0,97.51391816139221,0.7554661631584167,115190.72553920398,5593.249506907099,757.3360595703125,500.2677307128906,274.7799377441406,11.867191791534424,257.3046875,0.029028210788965225,257.3046875
2,-1623.3782958984375,375.2272033691406,1.1078214645385742,-0.7354265451431274,1694047716.2198603,148.63281345367432,1403.74755859375,628608.0,835328.0,165.32850122451782,0.7523391842842102,115542.08335664817,6200.206958352313,1340.1402587890625,375.2272033691406,316.59478759765625,12.975013256072998,965.6484375,0.0006840478745289147,965.6484375
3,-1817.8128662109375,683.8936767578125,1.1148111820220947,-0.6459062695503235,1694047783.9383614,215.23197031021118,1772.38818359375,993630.5625,1248896.0,233.04700231552124,0.5990902781486511,114817.64989818979,6209.8083447344325,1377.208740234375,683.8936767578125,261.5916748046875,14.089824438095093,693.9609375,0.0013071215944364667,693.9609375
4,-2105.904052734375,720.5748291015625,1.049494743347168,-0.5869132280349731,1694047850.1952205,280.43482398986816,1718.4879150390625,1048576.0,1662464.0,299.3038613796234,0.4507633447647095,121963.45032826734,6342.789872846186,1411.589599609375,720.5748291015625,255.20010375976562,15.13931918144226,691.6015625,0.0009383789729326963,691.6015625
5,-2349.9599609375,813.9085693359375,1.0793607234954834,-0.8349690437316895,1694047913.4936936,342.64918994903564,2655.10693359375,1048576.0,2076032.0,362.60233449935913,0.3515130877494812,118588.71386896043,6647.4678898348475,1719.0814208984375,813.9085693359375,215.22018432617188,16.218679904937744,906.0078125,0.0005006163846701384,906.0078125
6,-2442.580078125,678.63330078125,1.0525140762329102,-0.8469781875610352,1694047978.2784998,406.37677931785583,2457.3671875,1048576.0,2489600.0,427.387140750885,0.2981046438217163,121613.57542896649,6489.622533915353,1610.177001953125,678.63330078125,174.66822814941406,17.271193981170654,932.390625,0.000652457878459245,932.390625
7,-2529.03857421875,748.3591918945312,1.054121732711792,-0.7381787300109863,1694048042.8962553,469.9359321594238,2497.456298828125,1048576.0,2903168.0,492.00489616394043,0.26845210790634155,121428.10078558218,6506.820520891596,1647.80078125,748.3591918945312,120.27700805664062,18.325315713882446,900.1796875,-5.7997785916086286e-05,900.1796875
8,-2523.455810546875,838.0137329101562,1.0963749885559082,-0.7991327047348022,1694048107.7170327,533.6552696228027,2590.91015625,1048576.0,3316736.0,556.8256735801697,0.3332997262477875,116748.37654641809,6490.462965621509,1749.8397216796875,838.0137329101562,159.56411743164062,19.421690702438354,912.625,-0.0002674795687198639,912.625
9,-2512.5439453125,816.025634765625,1.1211495399475098,-0.8837971687316895,1694048172.527734,597.3405287265778,2555.01220703125,1048576.0,3730304.0,621.6363749504089,0.32929283380508423,114168.53456140448,6493.93605082287,1744.344970703125,816.025634765625,134.5958709716797,20.542840242385864,929.203125,2.054782953564427e-06,929.203125
10,-2531.323486328125,772.97314453125,1.1044669151306152,-0.9386705756187439,1694048240.3171988,664.0207352638245,2803.7900390625,1048576.0,4143872.0,689.4258396625519,0.3410769999027252,115893.01430986062,6202.260332966819,1759.245361328125,772.97314453125,129.6155242919922,21.64730715751648,987.2109375,5.4195475968299434e-05,987.2109375
11,-2575.413818359375,656.0244140625,1.0525600910186768,-0.9068690538406372,1694048305.276497,727.9228167533875,2459.802978515625,1048576.0,4557440.0,754.385137796402,0.33221033215522766,121608.2588464099,6471.901859214826,1655.11767578125,656.0244140625,119.19784545898438,22.699867248535156,1000.0,6.23462037765421e-05,1000.0
12,-2573.803466796875,792.590087890625,1.043649435043335,-0.838462233543396,1694048370.0882828,791.6863651275635,2871.23291015625,1048576.0,4971008.0,819.1969237327576,0.32337307929992676,122646.54749196037,6485.962756857699,1756.4393310546875,792.590087890625,133.1194305419922,23.74351668357849,964.6875,-0.00031177568598650396,964.6875
13,-2510.898193359375,758.247314453125,1.0575876235961914,-0.8079206943511963,1694048435.0349896,855.5709264278412,2688.1357421875,1048576.0,5384576.0,884.1436305046082,0.40788352489471436,121030.16066390071,6473.676762936497,1643.603515625,758.247314453125,228.10276794433594,24.801104307174683,886.1640625,0.00028659868985414505,886.1640625
14,-2537.7021484375,839.2908935546875,1.0854222774505615,-0.8415012359619141,1694048498.2541878,917.7004723548889,3045.80029296875,1048576.0,5798144.0,947.3628287315369,0.4039630591869354,117926.45374908486,6656.54309602729,1836.3245849609375,839.2908935546875,206.5742645263672,25.886526584625244,997.875,-5.971597784082405e-05,997.875
15,-2616.1162109375,602.85791015625,1.0499064922332764,-0.649681568145752,1694048561.0769916,979.4688658714294,2100.4990234375,1048576.0,6211712.0,1010.1856324672699,0.41056516766548157,121915.61910216283,6695.4631075074585,1352.106689453125,602.85791015625,195.30113220214844,26.93643307685852,749.8984375,-0.00012745986168738455,749.8984375
16,-2576.020263671875,801.6530151367188,1.0304503440856934,-0.9155387878417969,1694048624.3560166,1041.7129974365234,2833.08935546875,1048576.0,6625280.0,1073.4646575450897,0.5103399753570557,124217.53336748402,6644.289021327202,1791.425048828125,801.6530151367188,337.1425476074219,27.966883420944214,990.6875,-0.0005680709145963192,990.6875
17,-2405.955810546875,768.976318359375,1.1159653663635254,-0.8598600029945374,1694048687.4022925,1103.6389725208282,2550.573486328125,1048576.0,7038848.0,1136.5109333992004,0.5927406549453735,114698.90003584935,6678.425320505275,1699.218017578125,768.976318359375,500.8568115234375,29.08284878730774,931.1015625,-0.00045230198884382844,931.1015625
18,-2335.98681640625,800.0828857421875,1.1103150844573975,-0.8983657360076904,1694048750.398668,1165.5203726291656,2806.76416015625,1048576.0,7452416.0,1199.507308959961,0.5642064809799194,115282.59121378382,6683.23598489943,1799.1844482421875,800.0828857421875,378.5096435546875,30.193163871765137,1000.0,0.001270357402972877,1000.0
19,-2437.458251953125,755.1815185546875,1.0729188919067383,-0.8050582408905029,1694048816.846772,1230.8906750679016,2558.62744140625,1048576.0,7865984.0,1265.955412864685,0.47431227564811707,119300.72344287344,6326.542551758722,1641.84521484375,755.1815185546875,228.44061279296875,31.266082763671875,887.46875,0.0007107513956725597,887.46875
