training/sps,training/v_loss,eval/sps,_runtime,eval/episode_reward_forward,training/entropy_loss,_step,training/walltime,eval/episode_x_velocity,eval/episode_reward_ctrl,eval/avg_episode_length,eval/episode_x_position,_timestamp,training/total_loss,eval/episode_reward_healthy,eval/walltime,training/policy_loss,eval/episode_reward,eval/epoch_eval_time,seed,rl_algorithm,environment
,,10926.143995575414,16.669644117355347,-13.031614303588867,,0.0,,-13.031614303588867,-0.0855600833892822,46.5234375,-1.442718505859375,1694009724.374824,,46.5234375,11.715020418167114,,33.40626525878906,11.715020418167114,1,ppo,walker2d
200352.3761253826,184.34713745117188,120299.55113220806,37.36419558525085,-48.50001525878906,-0.0037199712824076,3932160.0,19.62622094154358,-48.50001525878906,-0.2784286439418793,170.234375,-12.160533905029297,1694009745.0693755,184.33657836914065,170.234375,12.779031038284302,-0.0068488931283354,121.45594024658205,1.0640106201171875,1,ppo,walker2d
711476.7883132077,82.98149108886719,120405.28520150308,43.95950675010681,-16.329702377319336,-0.0032973864581435,7864320.0,25.152978897094727,-16.329702377319336,-0.3989759683609009,233.046875,2.275604009628296,1694009751.664687,82.96173095703125,233.046875,13.84210729598999,-0.0164619982242584,216.3181915283203,1.0630762577056885,1,ppo,walker2d
711540.4806765899,16.184101104736328,120763.74147196236,50.55131912231445,33.09938430786133,-0.0027599651366472,11796480.0,30.67924213409424,33.09938430786133,-0.4255556166172027,234.203125,18.967891693115234,1694009758.256499,16.173261642456055,234.203125,14.90202808380127,-0.0080802012234926,266.876953125,1.0599207878112793,1,ppo,walker2d
710639.7804569643,16.142845153808594,120886.37821090176,57.14890503883362,44.74811935424805,-0.0022386563941836,15728640.0,36.2125096321106,44.74811935424805,-0.4756521880626678,248.140625,23.187318801879883,1694009764.854085,16.136219024658203,248.140625,15.9608736038208,-0.004387539345771,292.4130859375,1.0588455200195312,1,ppo,walker2d
712152.6618354936,8.733840942382812,120114.9156398138,63.74152040481568,108.7018585205078,-0.0017130732303485,19660800.0,41.73402237892151,108.7018585205078,-0.4951529502868652,244.7265625,45.51515197753906,1694009771.4467003,8.727649688720703,244.7265625,17.026519775390625,-0.0044787637889385,352.9332580566406,1.0656461715698242,1,ppo,walker2d
711503.5530642733,11.696096420288086,119388.45780849268,70.34559226036072,135.08555603027344,-0.0012506099883466,23592960.0,47.26057243347168,135.08555603027344,-0.523106575012207,243.6484375,54.34195709228516,1694009778.0507722,11.690051078796388,243.6484375,18.098650217056274,-0.004794287495315,378.21087646484375,1.0721304416656494,1,ppo,walker2d
711170.9782974516,18.09056663513184,120005.6400565615,76.94695019721985,148.7082977294922,-0.0008077642414718,27525120.0,52.78970694541931,148.7082977294922,-0.5438016653060913,244.0390625,58.64826965332031,1694009784.65213,18.08118438720703,244.0390625,19.16526675224304,-0.0085755586624145,392.20355224609375,1.0666165351867676,1,ppo,walker2d
711074.516184066,18.52551651000977,119732.35770000612,83.55133032798767,176.5274658203125,-0.0003978336462751,31457280.0,58.3195915222168,176.5274658203125,-0.5807760953903198,248.71875,68.88157653808594,1694009791.2565105,18.516700744628903,248.71875,20.234317779541016,-0.0084196738898754,424.6654357910156,1.0690510272979736,1,ppo,walker2d
711590.3067966996,38.40565490722656,119789.90269694726,90.15168738365172,185.07098388671875,-0.0001454931334592,35389440.0,63.84546780586243,185.07098388671875,-0.590627133846283,249.5390625,71.86138153076172,1694009797.8568673,38.4025764465332,249.5390625,21.302855253219604,-0.0029351019766181,434.0194091796875,1.0685374736785889,1,ppo,walker2d
