,training/v_loss,eval/episode_reward_ctrl,eval/episode_x_position,eval/episode_forward_reward,eval/episode_reward,_runtime,training/policy_loss,eval/episode_reward_contact,eval/epoch_eval_time,training/entropy_loss,eval/episode_y_position,eval/sps,eval/episode_y_velocity,eval/episode_reward_forward,eval/episode_distance_from_origin,eval/episode_reward_survive,training/sps,eval/avg_episode_length,eval/episode_x_velocity,eval/walltime,training/walltime,_step,_timestamp,training/total_loss
0,,-1072.89306640625,-140.39048767089844,-5.013622283935547,-79.27946472167969,22.00638747215271,,-1.3727751970291138,13.93147087097168,,549.7872314453125,9187.831004026093,12.10351276397705,-5.013622283935547,2258.26953125,1000.0,,1000.0,-5.013622283935547,13.93147087097168,,0.0,1694007555.7041345,
1,91.29810333251953,-659.8134765625,8027.1806640625,307.3894958496094,646.14306640625,46.55327892303467,-0.018682293593883514,-1.4329801797866821,2.412254810333252,-0.040764957666397095,-26.76372528076172,53062.3877094961,1.4515876770019531,307.3894958496094,8359.87890625,1000.0,133264.93145863348,1000.0,307.3894958496094,16.34372568130493,22.12975287437439,2949120.0,1694007580.251026,91.23865509033203
2,132.98614501953125,-627.8070678710938,32520.69921875,1287.3809814453125,1658.35888671875,56.07124662399292,-0.021913403645157814,-1.2150588035583496,2.431013345718384,-0.02025812305510044,1170.56884765625,52652.940069391094,46.19884490966797,1287.3809814453125,32778.8359375,1000.0,416468.8886482678,1000.0,1287.3809814453125,18.774739027023315,29.211002111434937,5898240.0,1694007589.7689936,132.9439697265625
3,254.322509765625,-622.130615234375,52219.25,2093.95068359375,2453.44140625,65.58797645568848,-0.014467739500105381,-1.0193617343902588,2.4241955280303955,-0.00046596635365858674,-7.262451171875,52801.02141925702,5.319548606872559,2093.95068359375,52371.1640625,982.640625,416143.04603849637,982.640625,2093.95068359375,21.19893455505371,36.29779601097107,8847360.0,1694007599.2857234,254.30758666992188
4,338.4716491699219,-620.4483642578125,66131.53125,2689.510498046875,3046.509765625,75.10529613494873,-0.008262505754828453,-0.9508659839630127,2.4333059787750244,0.015592677518725395,108.27191925048828,52603.331071597415,17.654678344726562,2689.510498046875,66247.640625,978.3984375,416639.4951784767,978.3984375,2689.510498046875,23.632240533828735,43.37614560127258,11796480.0,1694007608.8030431,338.47900390625
5,404.73809814453125,-600.3023071289062,73011.5,2977.0927734375,3299.9580078125,84.62355971336365,-0.0064423540607094765,-0.8326741456985474,2.429069995880127,0.02744198963046074,-233.31997680664062,52695.06445557229,5.3597025871276855,2977.0927734375,73115.9140625,924.0,416335.37105092057,924.0,2977.0927734375,26.061310529708862,50.45966577529907,14745600.0,1694007618.3213067,404.75909423828125
6,425.5432434082031,-651.0152587890625,90139.8203125,3668.62158203125,3976.921630859375,94.14103388786316,-0.005231767892837524,-0.8875297904014587,2.4317548274993896,0.03714337572455406,-2511.2705078125,52636.88532763163,-92.28205871582031,3668.62158203125,90252.0,960.203125,416545.94026863,960.203125,3668.62158203125,28.493065357208252,57.539605140686035,17694720.0,1694007627.8387809,425.57513427734375
7,410.92877197265625,-667.491943359375,100964.9453125,4128.06640625,4419.41748046875,103.65953660011292,-0.0044967858120799065,-0.8599228262901306,2.4249112606048584,0.0464978888630867,-3576.67138671875,52785.43676195074,-137.4110565185547,4128.06640625,101091.078125,959.703125,416081.2585168038,959.703125,4128.06640625,30.91797661781311,64.62745141983032,20643840.0,1694007637.3572836,410.9708251953125
8,365.05859375,-704.9103393554688,114734.71875,4684.1220703125,4964.72802734375,113.1784873008728,-0.004394697491079569,-0.8677394390106201,2.4334750175476074,0.05492674186825752,-4647.1064453125,52599.677036748486,-183.72354125976562,4684.1220703125,114895.25,986.3828125,416559.420920881,986.3828125,4684.1220703125,33.35145163536072,71.70716166496277,23592960.0,1694007646.8762343,365.1091003417969
9,317.1910705566406,-696.99658203125,121581.6171875,4937.8681640625,5209.0107421875,122.69606733322144,-0.0035712362732738256,-0.8067128658294678,2.423570156097412,0.0628303587436676,-3160.4892578125,52814.64606170667,-114.80101776123047,4937.8681640625,121680.53125,968.9453125,416060.8673429591,968.9453125,4937.8681640625,35.77502179145813,78.7953553199768,26542080.0,1694007656.3938143,317.2503356933594
10,255.89686584472656,-692.6041259765625,134046.859375,5470.6240234375,5763.5087890625,132.214035987854,-0.0030086368788033724,-0.7762408256530762,2.431715250015259,0.07144785672426224,2189.396240234375,52637.74202147921,107.19319915771484,5470.6240234375,134126.671875,986.265625,416512.01104242034,986.265625,5470.6240234375,38.20673704147339,85.87587141990662,29491200.0,1694007665.911783,255.96530151367188
11,200.6002197265625,-685.0050048828125,143129.359375,5833.314453125,6140.25927734375,141.7329843044281,-0.0023254118859767914,-0.7524282932281494,2.4303438663482666,0.08011430501937866,1572.724609375,52667.444213286355,89.06111145019531,5833.314453125,143190.625,992.703125,416369.3275652825,992.703125,5833.314453125,40.637080907821655,92.95881390571594,32440320.0,1694007675.4307313,200.67800903320312
12,147.67800903320312,-676.0379638671875,148779.125,6057.439453125,6373.5927734375,151.25253176689148,-0.0009195688762702048,-0.7458345890045166,2.4354474544525146,0.0881030336022377,6424.458984375,52557.077249188376,289.63397216796875,6057.439453125,148971.984375,992.9375,416636.6744476758,992.9375,6057.439453125,43.07252836227417,100.03721141815186,35389440.0,1694007684.9502788,147.76519775390625
13,181.92745971679688,-659.1832275390625,151597.78125,6184.6142578125,6512.7607421875,160.76967978477478,-0.00040424909093417227,-0.724826991558075,2.4272427558898926,0.09245704114437103,8690.0498046875,52734.73355287521,377.36126708984375,6184.6142578125,151899.28125,988.0546875,416293.8543714284,988.0546875,6184.6142578125,45.49977111816406,107.12143802642822,38338560.0,1694007694.4674268,182.01953125
14,205.32749938964844,-662.221923828125,156377.328125,6394.8857421875,6714.2890625,170.28838443756104,0.0002849930024240166,-0.7192386984825134,2.4268131256103516,0.09535854309797287,6340.072265625,52744.069433779565,277.98626708984375,6394.8857421875,156547.3125,982.34375,416191.50622762775,982.34375,6394.8857421875,47.926584243774414,114.20740675926208,41287680.0,1694007703.9861314,205.42315673828125
