training/actor_loss,eval/episode_reward,eval/epoch_eval_time,eval/episode_x_position,training/alpha_loss,_step,_runtime,eval/episode_y_velocity,eval/walltime,training/alpha,eval/episode_y_position,eval/sps,eval/episode_reward_ctrl,eval/avg_episode_length,_timestamp,training/critic_loss,eval/episode_reward_fwd,training/sps,training/walltime,eval/episode_x_velocity,eval/episode_forward_reward,training/buffer_current_size,eval/episode_distance_from_origin,seed,rl_algorithm,environment
,-0.0049263797700405,10.517493963241575,998.899658203125,,0.0,15.344534873962402,-0.1731411069631576,10.517493963241575,,-3.508056163787842,12170.199521612023,-0.0648505389690399,1000,1694068857.708582,,0.0599242448806762,,,0.0599242448806762,0.0599242448806762,,416.7237854003906,3,sac,swimmer
-24.79744529724121,-0.0564818382263183,1.8839480876922607,1057.52587890625,0.0884080380201339,421760.0,96.63118624687196,-14.629295349121094,12.401442050933838,0.0486878827214241,-469.0021667480469,67942.42412315798,-0.0707318931818008,1000,1694068938.9952333,0.053304485976696,0.0142505168914794,5673.299157736635,79.3980016708374,0.0142505168914794,0.0142505168914794,215040.015625,800.6320190429688,3,sac,swimmer
-14.469574928283691,7.705491065979004,1.8553779125213623,1198.010498046875,1.4473465853370726e-05,835328.0,161.58673405647278,-9.267255783081056,14.2568199634552,0.0131764691323041,-339.7860717773437,68988.64060856187,-0.0732783079147338,1000,1694069003.950781,0.0803523883223533,7.778769016265869,6554.7133800806905,142.49275135993958,7.778769016265869,7.778769016265869,628608.0,720.16650390625,3,sac,swimmer
-9.607683181762695,16.360965728759766,1.9016327857971191,1299.922607421875,1.129666816268582e-05,1248896.0,227.3225135803223,-14.59168529510498,16.15845274925232,0.0153017835691571,-403.246826171875,67310.57697153946,-0.0803723335266113,1000,1694069069.6865606,0.0434752143919467,16.44133758544922,6479.294510722138,206.32192277908325,16.44133758544922,16.44133758544922,993630.5625,894.8779296875,3,sac,swimmer
-15.17277717590332,31.0765438079834,1.871253252029419,1488.587890625,7.772991921228822e-06,1662464.0,292.2444911003113,-16.073970794677734,18.02970600128174,0.0179183054715394,-424.4248046875,68403.35473628753,-0.0816217213869094,1000,1694069134.6085382,0.039080437272787,31.158166885375977,6559.836495480388,269.3673965930939,31.158166885375977,31.158166885375977,1048576.0,1068.152099609375,3,sac,swimmer
-25.66238784790039,32.2066535949707,1.9283006191253664,1511.6988525390625,-8.253622218035161e-05,2076032.0,357.5560176372528,-18.292945861816406,19.958006620407104,0.0206118430942296,-467.16314697265625,66379.69138756898,-0.0834074020385742,1000,1694069199.9200647,0.0964857041835784,32.290061950683594,6525.45075138107,332.7450873851776,32.290061950683594,32.290061950683594,1048576.0,1092.77783203125,3,sac,swimmer
-34.55978775024414,37.05809783935547,1.9156372547149656,1511.838134765625,-0.0001467447000322,2489600.0,426.6671845912933,-11.895791053771973,21.87364387512207,0.0389100685715675,-277.2354431152344,66818.49587386812,-0.0851878672838211,1000,1694069269.0312316,0.2147374749183654,37.143287658691406,6155.178488180461,399.9353404045105,37.143287658691406,37.143287658691406,1048576.0,1044.976806640625,3,sac,swimmer
-34.98070526123047,32.753753662109375,1.866384744644165,1525.20458984375,2.8280945116421208e-05,2903168.0,495.5602264404297,-16.641460418701172,23.740028619766235,0.0497986264526844,-377.2327270507813,68581.78645497009,-0.0825546607375145,1000,1694069337.9242735,0.2038163691759109,32.836307525634766,6170.725361705933,466.9563105106354,32.836307525634766,32.836307525634766,1048576.0,1072.86669921875,3,sac,swimmer
-35.87313461303711,61.17455291748047,1.9431283473968504,1954.3804931640625,-0.000172511790879,3316736.0,562.3376803398132,-32.331756591796875,25.68315696716309,0.0518354512751102,-675.22314453125,65873.15766942398,-0.1024405881762504,1000,1694069404.7017274,0.196990966796875,61.27699279785156,6379.381241701864,531.7851684093475,61.27699279785156,61.27699279785156,1048576.0,1654.8914794921875,3,sac,swimmer
-37.58337020874024,14.416790008544922,1.929765701293945,1218.74462890625,0.0001592238404555,3730304.0,629.5656614303589,-3.831939458847046,27.61292266845703,0.0681931152939796,-134.12957763671875,66329.29578661986,-0.068207211792469,1000,1694069471.9297085,0.1403161883354187,14.48499870300293,6334.14494634072,597.0770118236542,14.48499870300293,14.48499870300293,1048576.0,574.1438598632812,3,sac,swimmer
