eval/sps,eval/episode_reward,training/policy_loss,training/entropy_loss,training/sps,training/v_loss,eval/episode_reward_healthy,_timestamp,eval/walltime,training/total_loss,eval/episode_x_velocity,eval/avg_episode_length,_runtime,eval/episode_x_position,eval/episode_reward_ctrl,eval/episode_reward_forward,eval/epoch_eval_time,training/walltime,_step,seed,rl_algorithm,environment
11313.479338579302,16.52914047241211,,,,,17.0,1694009248.729874,11.313937664031982,,-0.4559157192707062,17.0,17.30078101158142,0.0122006069868803,-0.0149448346346616,-0.4559157192707062,11.313937664031982,,0.0,3,ppo,hopper
116355.19798251824,169.45501708984375,-0.0401664301753044,-0.0017796995816752,220327.7196277426,1025.39794921875,86.3125,1694009267.6809597,12.41401743888855,1025.35595703125,83.21536254882812,86.3125,36.251866817474365,23.851890563964844,-0.0728512704372406,83.21536254882812,1.1000797748565674,17.846869230270386,3932160.0,3,ppo,hopper
114838.03451830332,328.8724670410156,-0.0252123475074768,-0.0015492666279897,789919.8630350678,853.8446044921875,130.40625,1694009273.7787042,13.52863073348999,853.81787109375,198.58221435546875,130.40625,42.34961128234863,75.02494812011719,-0.1159959882497787,198.58221435546875,1.1146132946014404,22.82479190826416,7864320.0,3,ppo,hopper
116948.80440652292,435.7626647949219,-0.0131600331515073,-0.0012274712789803,789259.7688623911,618.0256958007812,150.15625,1694009279.86031,14.623126745224,618.0113525390625,285.74969482421875,150.15625,48.43121719360352,117.64810180664062,-0.1432700157165527,285.74969482421875,1.0944960117340088,27.80687785148621,11796480.0,3,ppo,hopper
115239.5093952442,478.2901916503906,-0.0078487507998943,-0.0010044574737548,788988.4080393923,200.813720703125,155.578125,1694009285.9598403,15.733856916427612,200.8048553466797,322.86376953125,155.578125,54.53074765205383,134.27621459960938,-0.1517110764980316,322.86376953125,1.1107301712036133,32.790677309036255,15728640.0,3,ppo,hopper
115281.97234972376,508.6045837402344,-0.0072022257372736,-0.0007895754533819,789437.5552829005,139.46615600585938,156.765625,1694009292.0560925,16.844177961349487,139.45816040039062,351.9970703125,156.765625,60.626999616622925,144.10211181640625,-0.1581373214721679,351.9970703125,1.110321044921875,37.77164125442505,19660800.0,3,ppo,hopper
117871.40935430236,510.0112915039063,-0.0036765816621482,-0.0005909680621698,789683.7021225353,206.66830444335935,154.2734375,1694009298.1267183,17.93010711669922,206.66403198242188,355.89361572265625,154.2734375,66.69762539863586,141.369140625,-0.1557779014110565,355.89361572265625,1.0859291553497314,42.75105261802673,23592960.0,3,ppo,hopper
118582.71553891024,500.374267578125,-0.0043121664784848,-0.0003891261294484,789179.5154295225,108.01241302490234,149.9453125,1694009304.1939018,19.00952243804932,108.00772094726562,350.57958984375,149.9453125,72.76480889320374,132.64633178710938,-0.1506468951702118,350.57958984375,1.0794153213500977,47.73364520072937,27525120.0,3,ppo,hopper
118788.73443869558,493.40667724609375,-0.0035194295924156,-0.000165976860444,789628.237651719,124.3561553955078,148.6796875,1694009310.2561684,20.08706569671631,124.35246276855467,344.879150390625,148.6796875,78.8270754814148,129.71485900878906,-0.1521917432546615,344.879150390625,1.0775432586669922,52.7134063243866,31457280.0,3,ppo,hopper
118318.47576213106,495.71673583984375,-0.0036375650670379,-3.012522574863397e-05,788968.479608161,127.96419525146484,147.8984375,1694009316.3270822,21.168891668319706,127.96053314208984,347.971435546875,147.8984375,84.89798927307129,129.28475952148438,-0.1531195789575576,347.971435546875,1.0818259716033936,57.69733166694641,35389440.0,3,ppo,hopper
118841.82422897492,499.5416259765625,-0.0043100425973534,0.0001629542093724,789450.8943827591,88.05037689208984,146.5859375,1694009322.3902388,22.24595355987549,88.04623413085938,353.109375,146.5859375,90.96114587783812,128.0860595703125,-0.1537001579999923,353.109375,1.077061891555786,62.67821145057678,39321600.0,3,ppo,hopper
118461.51700739712,513.7026977539062,-0.0039278399199247,0.0003290306776762,789720.9096511853,100.43831634521484,147.1640625,1694009328.455133,23.326473236083984,100.4347152709961,366.6949157714844,147.1640625,97.02604007720949,131.9494171142578,-0.1562686115503311,366.6949157714844,1.080519676208496,67.65738821029663,43253760.0,3,ppo,hopper
118867.9263497023,512.207763671875,-0.003253499045968,0.0004882898065261,788907.8701506536,125.18871307373048,146.515625,1694009334.521468,24.4032986164093,125.18594360351562,365.8478698730469,146.515625,103.09237504005432,130.30184936523438,-0.1556762456893921,365.8478698730469,1.0768253803253174,72.64169645309448,47185920.0,3,ppo,hopper
