_runtime,eval/episode_reward_fwd,eval/walltime,eval/episode_x_velocity,training/walltime,eval/sps,eval/episode_y_velocity,eval/episode_reward,eval/epoch_eval_time,_step,eval/episode_reward_ctrl,_timestamp,training/v_loss,eval/episode_x_position,eval/avg_episode_length,eval/episode_y_position,training/total_loss,training/policy_loss,eval/episode_forward_reward,eval/episode_distance_from_origin,training/sps,training/entropy_loss,seed,rl_algorithm,environment
19.5888454914093,-2.554849624633789,11.710889101028442,-2.554849624633789,,10929.998473707614,-1.990030527114868,-2.6106879711151123,11.710889101028442,0.0,-0.0558385476469993,1694013078.7417924,,956.253662109375,1000,-36.51024627685547,,,-2.554849624633789,356.14990234375,,,1,ppo,swimmer
42.028409242630005,92.74563598632812,13.696917533874512,92.74563598632812,20.448298692703247,64450.23539596065,-7.844495296478271,92.68203735351562,1.9860284328460691,2949120.0,-0.0636060386896133,1694013101.1813562,0.003375984262675,2760.8740234375,1000,-138.5254364013672,-0.0054128039628267,-0.0077500096522271,92.74563598632812,2290.652099609375,144223.24538189388,-0.0010387791553512,1,ppo,swimmer
54.106801986694336,99.88218688964844,15.674132585525513,99.88218688964844,30.544020414352417,64737.52053076791,-3.457584381103516,99.81155395507812,1.977215051651001,5898240.0,-0.0706163793802261,1694013113.259749,0.0079819308593869,2970.98291015625,1000,-29.342357635498047,0.0056938314810395,-0.0019512615399435,99.88218688964844,2604.393798828125,292115.8171065606,-0.0003368386242073,1,ppo,swimmer
66.15310311317444,145.17820739746094,17.61739706993103,145.17820739746094,40.64161849021912,65868.54287061069,6.9629902839660645,145.09620666503906,1.9432644844055176,8847360.0,-0.0820045322179794,1694013125.30605,0.0080416798591613,3768.218505859375,1000,136.0670166015625,0.006184468511492,-0.0020358280744403,145.17820739746094,3341.16796875,292061.5356089889,0.0001786164939403,1,ppo,swimmer
78.19651794433594,134.32809448242188,19.56193280220032,134.32809448242188,50.73471641540527,65825.48105229369,-3.775773525238037,134.2480926513672,1.944535732269287,11796480.0,-0.0799818634986877,1694013137.349465,0.007135696709156,3663.78564453125,1000,-5.290728569030762,0.0060897273942828,-0.0013801312306895,134.32809448242188,3288.35107421875,292191.7553817458,0.0003341617120895,1,ppo,swimmer
90.1202437877655,148.6322021484375,21.406625747680664,148.6322021484375,60.8081693649292,69388.24171990834,-1.9053300619125368,148.5474090576172,1.844692945480347,14745600.0,-0.0847960412502288,1694013149.2731907,0.0062623084522783,3890.703857421875,1000,-23.08044815063477,0.0056917527690529,-0.0012722002575173,148.6322021484375,3477.009033203125,292761.5798453078,0.0007016443414613,1,ppo,swimmer
102.14211893081664,146.5188446044922,23.35028290748596,146.5188446044922,70.88094592094421,65855.23550502196,-9.749313354492188,146.43682861328125,1.9436571598052976,17694720.0,-0.082016497850418,1694013161.295066,0.0051821959204971,3865.69580078125,1000,-160.2906951904297,0.0054612276144325,-0.0007440166664309,146.5188446044922,3455.0322265625,292781.2389761507,0.0010230485349893,1,ppo,swimmer
114.16282105445862,126.3768310546875,25.286969900131226,126.3768310546875,80.95953392982483,66092.24954062844,-4.212617874145508,126.29837036132812,1.936686992645264,20643840.0,-0.0784563869237899,1694013173.315768,0.0050315163098275,3613.99951171875,1000,-97.19430541992188,0.005684170871973,-0.0006176736205816,126.3768310546875,3298.990478515625,292612.4172752594,0.0012703278334811,1,ppo,swimmer
126.18427848815918,135.63600158691406,27.22999382019043,135.63600158691406,91.03183460235596,65876.6980059102,-10.673575401306152,135.5546875,1.943023920059204,23592960.0,-0.0813192501664161,1694013185.3372254,0.0052594626322388,3719.44677734375,1000,-176.67283630371094,0.0063623613677918,-0.0004525309777818,135.63600158691406,3376.717529296875,292795.07193850464,0.0015554297715425,1,ppo,swimmer
138.20473265647888,141.55374145507812,29.16214489936829,141.55374145507812,101.11429977416992,66247.40755493348,-11.229292869567873,141.4710693359375,1.9321510791778564,26542080.0,-0.0826554521918296,1694013197.3576796,0.0039257686585187,3813.039794921875,1000,-236.9652404785156,0.0050663300789892,-0.0004730755463242,141.55374145507812,3463.999267578125,292499.8945936766,0.0016136368503794,1,ppo,swimmer
