eval/episode_reward_ctrl,training/v_loss,training/sps,eval/avg_episode_length,eval/episode_x_velocity,eval/walltime,_runtime,training/walltime,training/total_loss,_step,training/policy_loss,eval/episode_x_position,eval/epoch_eval_time,_timestamp,eval/sps,eval/episode_reward,training/entropy_loss,eval/episode_reward_run,seed,rl_algorithm,environment
-395.5795593261719,,,1000,-12.435001373291016,22.56648278236389,30.654369831085205,,,0.0,,-536.350830078125,22.56648278236389,1694010890.6709688,5672.128937170231,-408.0145263671875,,-12.435001373291016,1,ppo,halfcheetah
-177.2381591796875,4.653659820556641,84009.70797432378,1000,547.0689697265625,27.835622549057007,71.03233790397644,35.104514360427856,4.67466402053833,2949120.0,0.0246149525046348,14715.154296875,5.269139766693115,1694010931.0489368,24292.39034597333,369.8307800292969,-0.0036106151528656,547.0689697265625,1,ppo,halfcheetah
-198.44085693359372,8.306549072265625,172557.73737719367,1000,2232.41552734375,33.09984493255615,93.3922188282013,52.19514179229736,8.295769691467285,5898240.0,-0.0083704553544521,62969.13671875,5.2642223834991455,1694010953.4088178,24315.08220496528,2033.974853515625,-0.0024080860894173,2232.41552734375,1,ppo,halfcheetah
-216.05426025390625,16.012115478515625,172390.65260928485,1000,3652.050048828125,38.43713688850403,115.84172058105467,69.30233383178711,16.005807876586914,8847360.0,-0.0055975127033889,98974.9765625,5.337291955947876,1694010975.8583195,23982.19941057503,3435.995849609375,-0.0007111562881618,3652.050048828125,1,ppo,halfcheetah
-224.4351806640625,17.2691593170166,172352.41466643606,1000,4433.71435546875,43.76031017303467,138.2810022830963,86.41332125663757,17.26536750793457,11796480.0,-0.0042992839589715,117585.9140625,5.32317328453064,1694010998.2976012,24045.807483286942,4209.279296875,0.0005049819010309,4433.71435546875,1,ppo,halfcheetah
-227.7505798339844,18.22606086730957,172346.09895572066,1000,5002.908203125,49.08199429512024,160.71946811676025,103.52493572235107,18.22387313842773,14745600.0,-0.0037615383043885,130306.3671875,5.321684122085571,1694011020.736067,24052.53620161069,4775.15771484375,0.0015734978951513,5002.908203125,1,ppo,halfcheetah
-234.0706787109375,19.120290756225582,172572.83921565147,1000,5705.84814453125,54.327815771102905,183.059515953064,120.61406755447388,19.119285583496094,17694720.0,-0.0034646829590201,147348.953125,5.245821475982666,1694011043.076115,24400.372865533434,5471.77734375,0.0024576771538704,5705.84814453125,1,ppo,halfcheetah
-239.33978271484372,18.72633552551269,172563.1465793465,1000,6334.5234375,59.57162666320801,205.39852499961853,137.70415925979614,18.72632598876953,20643840.0,-0.0031991882715374,159004.609375,5.243810892105103,1694011065.415124,24409.72846536329,6095.1845703125,0.0031887250952422,6334.5234375,1,ppo,halfcheetah
-242.5520782470703,18.157114028930664,172225.88379259052,1000,6856.93310546875,64.88180589675903,227.83724236488345,154.8277177810669,18.15847396850586,23592960.0,-0.0026328787207603,170171.21875,5.310179233551025,1694011087.8538413,24104.647766174134,6614.380859375,0.0039912732318043,6856.93310546875,1,ppo,halfcheetah
-245.9583740234375,17.246280670166016,172562.47733168077,1000,7116.7099609375,70.1260313987732,250.1765458583832,171.91787576675415,17.24871253967285,26542080.0,-0.002249306300655,178107.875,5.24422550201416,1694011110.1931448,24407.798625524167,6870.751953125,0.0046831280924379,7116.7099609375,1,ppo,halfcheetah
-245.79454040527344,17.02943229675293,172565.07250087333,1000,7192.3115234375,75.37903118133545,272.5244560241699,189.00777673721316,17.03271484375,29491200.0,-0.0020374893210828,180182.21875,5.252999782562256,1694011132.541055,24367.029373369864,6946.517578125,0.0053203869611024,7192.3115234375,1,ppo,halfcheetah
-245.77374267578125,16.555652618408203,172572.7284640302,1000,7338.41015625,80.63940072059631,294.8789601325989,206.09691953659055,16.559595108032227,32440320.0,-0.0018610941478982,184411.265625,5.260369539260864,1694011154.895559,24332.891262613717,7092.6376953125,0.0058034979738295,7338.41015625,1,ppo,halfcheetah
-247.64126586914065,16.283222198486328,172448.29017841123,1000,7440.810546875,85.98518562316895,317.3311758041382,223.1983938217163,16.2880802154541,35389440.0,-0.0014186725020408,186010.078125,5.345784902572632,1694011177.3477747,23944.09845005186,7193.1689453125,0.0062761357985436,7440.810546875,1,ppo,halfcheetah
-246.35394287109372,15.960211753845217,172387.3083042047,1000,7560.1982421875,91.32500743865968,339.7836275100708,240.30591773986816,15.965473175048828,38338560.0,-0.0014182773884385,188969.375,5.339821815490723,1694011199.8002264,23970.83730934137,7313.84423828125,0.0066795409657061,7560.1982421875,1,ppo,halfcheetah
-245.8706817626953,15.994072914123535,172524.09094589335,1000,7485.0986328125,96.57802867889404,362.1358726024628,257.3998782634735,16.0001163482666,41287680.0,-0.0010336459381505,187884.3125,5.253021240234375,1694011222.1524715,24366.92983832081,7239.2275390625,0.0070748617872595,7485.0986328125,1,ppo,halfcheetah
-246.3729705810547,15.933072090148926,172576.02218169026,1000,7769.99609375,101.83218836784364,384.4839551448822,274.48869490623474,15.939790725708008,44236800.0,-0.0008592508384026,194712.78125,5.254159688949585,1694011244.500554,24361.65011680295,7523.6240234375,0.0075780833140015,7769.99609375,1,ppo,halfcheetah
-243.07180786132807,16.032466888427734,172437.92641814565,1000,7681.01806640625,107.1807918548584,406.940301656723,291.591197013855,16.03951072692871,47185920.0,-0.0007981227827258,190992.6875,5.3486034870147705,1694011266.9569006,23931.480490329068,7437.9462890625,0.0078409202396869,7681.01806640625,1,ppo,halfcheetah
-241.9879302978516,16.260387420654297,172403.16847703033,1000,7751.43798828125,112.52165842056274,429.3922648429871,308.6971471309662,16.268014907836914,50135040.0,-0.00058563076891,194457.21875,5.340866565704346,1694011289.4088638,23966.148269259287,7509.4501953125,0.0082130273804068,7751.43798828125,1,ppo,halfcheetah
-243.09442138671875,15.865079879760742,172376.51707819244,1000,7913.8486328125,117.85718774795532,451.84166717529297,325.80574202537537,15.873401641845703,53084160.0,-0.0002458511444274,196144.8125,5.335529327392578,1694011311.858266,23990.122093950213,7670.7548828125,0.0085675716400146,7913.8486328125,1,ppo,halfcheetah
-241.3783264160156,16.005767822265625,172410.02906807052,1000,7749.1162109375,123.19730615615843,474.2918348312378,342.91101145744324,16.014591217041016,56033280.0,-5.289247928885743e-05,195359.9375,5.340118408203125,1694011334.3084338,23969.505957653517,7507.7392578125,0.0088758524507284,7749.1162109375,1,ppo,halfcheetah
