,eval/episode_reward_ctrl,eval/episode_distance_from_origin,training/total_loss,training/policy_loss,eval/sps,eval/episode_reward_survive,training/walltime,_runtime,eval/avg_episode_length,eval/episode_x_position,eval/episode_reward_contact,eval/episode_y_velocity,eval/episode_reward,eval/walltime,eval/epoch_eval_time,eval/episode_y_position,eval/episode_forward_reward,training/entropy_loss,eval/episode_x_velocity,training/v_loss,eval/episode_reward_forward,training/sps,_step,_timestamp
0,-1088.757080078125,2297.081298828125,,,8719.697644465883,991.21875,,23.562002897262573,991.21875,234.06822204589844,-1.3564927577972412,0.4511382579803467,-95.8335952758789,14.679408073425293,14.679408073425293,107.16827392578125,3.0612149238586426,,3.0612149238586426,,3.0612149238586426,,0.0,1694008013.445776
1,-709.0179443359375,11708.021484375,104.04025268554688,-0.021230870857834816,52132.57598304944,1000.0,20.279939889907837,46.30281138420105,1000.0,11359.619140625,-1.3997637033462524,23.281883239746094,709.603515625,17.134686708450317,2.4552786350250244,537.1153564453125,420.0212097167969,-0.0428272970020771,420.0212097167969,104.10429382324219,420.0212097167969,145420.54937093813,2949120.0,1694008036.1865845
2,-684.6461181640625,39507.1171875,165.2067108154297,-0.02141616679728031,52800.54886434805,994.71875,27.368489980697632,55.821368932724,994.71875,39356.7109375,-1.1220811605453491,-17.826581954956055,1868.55224609375,19.55890393257141,2.4242172241210938,-405.37274169921875,1559.601806640625,-0.021013671532273293,1559.601806640625,165.2491455078125,1559.601806640625,416039.94642456056,5898240.0,1694008045.705142
3,-627.0985107421875,54418.4296875,281.3686828613281,-0.012530572712421417,53020.805250815625,953.0625,34.46441602706909,65.3376567363739,953.0625,54314.36328125,-0.9815030097961426,34.98048782348633,2467.469482421875,21.973050594329834,2.414146661758423,919.905517578125,2142.48681640625,-0.00013934409071225673,2142.48681640625,281.38134765625,2142.48681640625,415607.4881175021,8847360.0,1694008055.2214298
4,-604.4384765625,66549.5859375,321.8866271972656,-0.007967651821672916,52779.80114041613,963.0703125,41.549033641815186,74.85376143455505,963.0703125,66433.703125,-0.9861716628074646,66.72175598144531,3025.294677734375,24.398220777511597,2.4251701831817627,1892.44921875,2667.649169921875,0.014958932995796204,2667.649169921875,321.8796081542969,2667.649169921875,416270.87873615517,11796480.0,1694008064.7375345
5,-570.279296875,74295.296875,323.7262268066406,-0.0065416982397437096,52745.13171621955,920.875,48.63625741004944,84.37389993667603,920.875,74155.59375,-0.9604735374450684,111.64385986328125,3380.18359375,26.824985027313232,2.4267642498016357,3059.71533203125,3030.54833984375,0.0282386876642704,3030.54833984375,323.70452880859375,3030.54833984375,416117.80528481305,14745600.0,1694008074.257673
6,-580.9974975585938,83744.640625,331.69085693359375,-0.005429345648735762,52883.85420365692,932.2421875,55.72727036476135,93.89151906967163,932.2421875,83577.890625,-0.977776050567627,160.51202392578125,3820.045654296875,29.245383501052856,2.420398473739624,4197.8291015625,3469.7783203125,0.03958498314023018,3469.7783203125,331.65673828125,3469.7783203125,415895.44664988044,17694720.0,1694008083.7752922
7,-596.5457763671875,93436.75,369.1051330566406,-0.0037959665060043335,52913.92353213318,945.5234375,62.82095408439636,103.4101414680481,945.5234375,93301.5,-0.9695100784301758,149.16650390625,4221.23095703125,31.664406538009644,2.419023036956787,3713.3115234375,3873.22314453125,0.048673100769519806,3873.22314453125,369.06024169921875,3873.22314453125,415738.8624244641,20643840.0,1694008093.2939146
8,-594.0792236328125,98165.734375,385.94927978515625,-0.0027787606231868267,52815.39424415787,920.328125,69.9095995426178,112.92806553840637,920.328125,97995.28125,-0.9390061497688293,195.84156799316406,4437.25390625,34.087942361831665,2.4235358238220215,4887.14404296875,4111.94384765625,0.056085243821144104,4111.94384765625,385.8959655761719,4111.94384765625,416034.3492111882,23592960.0,1694008102.8118386
9,-627.1439208984375,111818.6640625,355.7294616699219,-0.0024381079711019993,53030.5779480608,965.921875,77.00746464729309,122.44585537910461,965.921875,111529.375,-0.979887843132019,303.0980224609375,4918.1220703125,36.501644134521484,2.4137017726898193,7451.2451171875,4580.32421875,0.06256277859210968,4580.32421875,355.6693420410156,4580.32421875,415493.94874487596,26542080.0,1694008112.3296285
