,eval/avg_episode_length,eval/episode_reward_dist,eval/epoch_eval_time,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
0,1000,-41.77617645263672,9.830134153366089,-133.1261444091797,0,16.44406008720398,13021.185469393573,-699.7213134765625,9.830134153366089,1694104529.8816981,,,,,,,9,ppo,reacher
1,1000,-43.319400787353516,0.6775901317596436,-83.76655578613281,3276800,31.670848846435547,188904.75820182764,-508.3971862792969,10.507724285125732,1694104545.108487,-0.05649644881486893,463.7133483886719,463.65576171875,-0.0010889985132962465,14.545109987258911,225285.3366437504,9,ppo,reacher
2,1000,-42.73566818237305,0.6288495063781738,-49.87403869628906,6553600,35.41379475593567,203546.31545663346,-370.50146484375,11.136573791503906,1694104548.8514328,-0.07070741057395935,36.16938400268555,36.098052978515625,-0.0006232415325939655,17.65430498123169,1053906.2382231178,9,ppo,reacher
3,1000,-42.598426818847656,0.6289050579071045,-28.45858383178711,9830400,39.15866827964783,203528.33609887562,-284.34344482421875,11.76547884941101,1694104552.5963063,-0.05768733471632004,20.85899543762207,20.801204681396484,-0.00010243435099255294,20.765300512313843,1053296.2735758647,9,ppo,reacher
4,1000,-41.33456802368164,0.6233594417572021,-16.90049171447754,13107200,42.89416742324829,205338.99292385447,-233.0358428955078,12.388838291168213,1694104556.3318055,-0.03757896274328232,15.14116096496582,15.10400390625,0.00042298840708099306,23.872645616531372,1054533.6581870078,9,ppo,reacher
5,1000,-39.59123229980469,0.6913766860961914,-10.766002655029297,16384000,46.70063018798828,185137.8598297012,-201.53543090820312,13.080214977264404,1694104560.1382682,-0.022810950875282288,12.154443740844727,12.132555961608887,0.0009230193099938333,26.98272967338562,1053604.9637559892,9,ppo,reacher
6,1000,-36.2185173034668,0.6341896057128906,-8.010705947875977,19660800,50.447290658950806,201832.3839541892,-177.05062866210938,13.714404582977295,1694104563.8849287,-0.015528993681073189,13.980446815490723,13.966233253479004,0.001315262634307146,30.09033966064453,1054443.773007154,9,ppo,reacher
7,1000,-23.80835723876953,0.6246142387390137,-6.552308559417725,22937600,54.18528985977173,204926.48431840027,-121.66172790527344,14.339018821716309,1694104567.622928,-0.021544376388192177,13.223991394042969,13.204055786132812,0.0016075031599029899,33.19894218444824,1054107.1027602723,9,ppo,reacher
8,1000,-13.821916580200195,0.7233400344848633,-4.652560234069824,26214400,58.021833658218384,176956.88597017445,-74.1566162109375,15.062358856201172,1694104571.4594717,-0.0293019600212574,6.761850833892822,6.734467029571533,0.0019177549984306097,36.30716395378113,1054236.22996608,9,ppo,reacher
9,1000,-9.302238464355469,0.6935460567474365,-3.4192018508911133,29491200,61.82974147796631,184558.75965943644,-51.194091796875,15.755904912948608,1694104575.2673795,-0.0313168466091156,2.4898765087127686,2.460866928100586,0.0023074625059962273,39.41656494140625,1053836.4183458798,9,ppo,reacher
10,1000,-6.417193412780762,0.7006187438964844,-2.522686004638672,32768000,65.63789439201355,182695.65454119773,-36.08396911621094,16.456523656845093,1694104579.0755324,-0.032066043466329575,0.8726897835731506,0.8433715105056763,0.0027477145195007324,42.519731760025024,1055953.544082593,9,ppo,reacher
11,1000,-5.284602165222168,0.7018382549285889,-1.8140511512756348,36044800,69.44510412216187,182378.20338394612,-28.726070404052734,17.15836191177368,1694104582.8827422,-0.022666193544864655,0.5221455097198486,0.5026804804801941,0.003201210405677557,45.62092137336731,1056626.7815106127,9,ppo,reacher
