,eval/episode_x_velocity,eval/avg_episode_length,eval/episode_reward_forward,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,eval/episode_forward_reward,_runtime,eval/episode_reward_contact,eval/sps,eval/episode_y_position,eval/episode_distance_from_origin,eval/episode_reward,eval/episode_reward_survive,eval/walltime,eval/episode_y_velocity,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
0,9.711633682250977,993.765625,9.711633682250977,14.229510307312012,281.554443359375,-1087.552978515625,0,9.711633682250977,21.73905634880066,-1.3399920463562012,8995.390370828545,-82.68077087402344,2224.06689453125,-85.41564178466797,993.765625,14.229510307312012,-2.797539234161377,1694095623.5478044,,,,,,,9,ppo,ant
1,405.4043273925781,1000.0,405.4043273925781,2.3923401832580566,11043.662109375,-715.5333251953125,2949120,405.4043273925781,44.881500244140625,-1.4004435539245605,53504.09648918768,-909.5321044921875,11413.775390625,688.4705810546875,1000.0,16.62185049057007,-38.089115142822266,1694095646.6902483,-0.02007409557700157,107.58650970458984,107.5239028930664,-0.042528148740530014,20.744232416152954,142165.78087042656,9,ppo,ant
2,1465.419921875,999.078125,1465.419921875,2.428287982940674,36753.00390625,-683.1519775390625,5898240,1465.419921875,54.39335799217224,-1.154891014099121,52712.034527713266,121.74331665039062,36941.0,1780.191162109375,999.078125,19.050138473510742,-9.624603271484375,1694095656.202106,-0.01955210044980049,172.53355407714844,172.49172973632812,-0.02227245829999447,27.821277856826782,416716.2730156506,9,ppo,ant
3,2025.135009765625,949.6015625,2025.135009765625,2.4196712970733643,50284.7265625,-642.888671875,8847360,2025.135009765625,63.90657186508179,-0.9390568137168884,52899.74723212128,982.210205078125,50424.3671875,2330.90869140625,949.6015625,21.469809770584106,22.334980010986328,1694095665.7153199,-0.012482630088925362,298.9477844238281,298.9334411621094,-0.0018783384002745152,34.90881896018982,416099.17416925356,9,ppo,ant
4,2558.736083984375,964.0859375,2558.736083984375,2.430246114730835,64127.56640625,-636.5262451171875,11796480,2558.736083984375,73.42299628257751,-0.9513247609138489,52669.56265216653,748.3775634765625,64264.60546875,2885.34423828125,964.0859375,23.90005588531494,17.94527244567871,1694095675.2317443,-0.0073487344197928905,371.0628662109375,371.0685729980469,0.013067886233329773,41.98915505409241,416522.6001827385,9,ppo,ant
5,2987.963134765625,958.6640625,2987.963134765625,2.425279378890991,73909.046875,-637.753662109375,14745600,2987.963134765625,82.93999481201172,-0.9307436347007751,52777.42478416265,663.669677734375,74019.875,3307.94287109375,958.6640625,26.325335264205933,17.369274139404297,1694095684.7487428,-0.0060963076539337635,423.0960388183594,423.1141052246094,0.02419462241232395,49.075084924697876,416193.7887974056,9,ppo,ant
6,3559.75927734375,957.8984375,3559.75927734375,2.427781343460083,87550.71875,-674.22021484375,17694720,3559.75927734375,92.45671486854553,-0.9270100593566895,52723.03469371501,-704.0836181640625,87645.0625,3842.51025390625,957.8984375,28.753116607666016,-39.627532958984375,1694095694.2654629,-0.005167620722204447,464.2257385253906,464.25384521484375,0.03322532773017883,56.15813064575195,416363.258990953,9,ppo,ant
7,4103.1025390625,967.734375,4103.1025390625,2.4237558841705322,101199.265625,-697.2882080078125,20643840,4103.1025390625,101.97461533546448,-0.908689022064209,52810.59896995554,-614.6568603515625,101292.125,4372.63916015625,967.734375,31.176872491836548,-33.39497756958008,1694095703.7833633,-0.004965322557836771,461.6239318847656,461.6611328125,0.04220180958509445,63.24602222442627,416078.5992936405,9,ppo,ant
8,4644.9091796875,980.6875,4644.9091796875,2.434232234954834,114356.5625,-722.3564453125,23592960,4644.9091796875,111.49633002281189,-0.8923733830451965,52583.3148382307,-1260.8734130859375,114426.75,4902.34765625,980.6875,33.61110472679138,-59.35179138183594,1694095713.305078,-0.0044242870062589645,418.6656799316406,418.7130432128906,0.05181252956390381,70.32751560211182,416454.5305221855,9,ppo,ant
9,5184.6435546875,991.7734375,5184.6435546875,2.428589344024658,127181.046875,-745.40380859375,26542080,5184.6435546875,121.01842284202576,-0.879009485244751,52705.49354708046,-3195.132568359375,127301.84375,5430.1337890625,991.7734375,36.03969407081604,-118.77603149414062,1694095722.8271708,-0.0038037309423089027,353.0121154785156,353.0685119628906,0.06024579331278801,77.41457343101501,416127.5484408471,9,ppo,ant
