,eval/episode_x_velocity,eval/avg_episode_length,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/episode_reward_run,eval/walltime,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
0,251.45394897460938,1000,20.265716791152954,5404.96240234375,-505.4662170410156,0,26.847643613815308,6316.085501396067,-254.01222229003906,251.45394897460938,20.265716791152954,1694132514.7740335,,,,,,,,8,sac,halfcheetah
1,4313.52880859375,1000,5.325528860092163,108212.5234375,-345.3809814453125,421760,133.04303884506226,24035.171597546247,3968.14794921875,4313.52880859375,25.591245651245117,1694132620.9694288,-949.527587890625,0.852891206741333,215040.015625,722.7550048828125,100.86602306365967,4711.719622868796,0.13413742184638977,8,sac,halfcheetah
2,4707.080078125,1000,5.302735328674316,116439.65625,-323.04241943359375,835328,213.19710063934326,24138.48552988218,4384.03759765625,4707.080078125,30.893980979919434,1694132701.1234906,-2430.269287109375,1.3231323957443237,628608.0,1426.7269287109375,175.71246242523193,5525.553433505543,-0.002409782260656357,8,sac,halfcheetah
3,5334.576171875,1000,5.234366178512573,131911.421875,-321.19000244140625,1248896,296.087082862854,24453.77255520423,5013.38525390625,5334.576171875,36.12834715843201,1694132784.0134728,-3590.663818359375,1.3589332103729248,993630.5625,1732.737060546875,253.363116979599,5326.007905193389,0.0001536180207040161,8,sac,halfcheetah
4,5730.5751953125,1000,5.326344728469849,141095.6875,-326.1075439453125,1662464,379.598326921463,24031.48998521014,5404.46875,5730.5751953125,41.454691886901855,1694132867.5247169,-4762.787109375,1.3267773389816284,1048576.0,1814.4478759765625,331.5431561470032,5289.943627611152,0.002913589356467128,8,sac,halfcheetah
5,5984.54296875,1000,5.261150121688843,146594.25,-320.55523681640625,2076032,463.17468547821045,24329.281058209315,5663.98779296875,5984.54296875,46.7158420085907,1694132951.1010754,-5784.48681640625,1.1765742301940918,1048576.0,1675.61474609375,409.85357427597046,5281.136404084909,0.002926851622760296,8,sac,halfcheetah
6,6039.67138671875,1000,5.231428146362305,148962.75,-301.4404296875,2489600,547.1243405342102,24467.506084166584,5738.23095703125,6039.67138671875,51.947270154953,1694133035.0507305,-6526.65283203125,1.0618150234222412,1048576.0,1608.15771484375,488.56703066825867,5254.095283770546,0.001669888268224895,8,sac,halfcheetah
7,6120.5859375,1000,5.33465051651001,151128.484375,-299.84405517578125,2903168,630.5704002380371,23994.07413922573,5820.7421875,6120.5859375,57.28192067146301,1694133118.4967902,-7070.044921875,1.0076857805252075,1048576.0,1517.156005859375,566.6724987030029,5294.994197026376,0.0010354341939091682,8,sac,halfcheetah
8,6494.419921875,1000,5.264959335327148,159572.34375,-296.5335388183594,3316736,714.0174272060394,24311.678751464937,6197.88623046875,6494.419921875,62.54688000679016,1694133201.9438171,-7458.38525390625,1.0107550621032715,1048576.0,1535.861083984375,644.8493764400482,5290.157550050436,-0.00018649690900929272,8,sac,halfcheetah
9,6296.5947265625,1000,5.279533386230469,154472.125,-310.80133056640625,3730304,797.5659220218658,24244.56682740871,5985.79296875,6296.5947265625,67.82641339302063,1694133285.492312,-7734.3408203125,1.0373873710632324,1048576.0,1607.9388427734375,723.1139323711395,5284.231093882771,0.0011768217664211988,8,sac,halfcheetah
10,6709.447265625,1000,5.308642864227295,164095.890625,-293.5010986328125,4143872,881.0149350166321,24111.623869546398,6415.9462890625,6709.447265625,73.13505625724792,1694133368.941325,-7908.099609375,1.0467278957366943,1048576.0,1760.6497802734375,801.2499091625214,5292.926728288055,-0.0007147617870941758,8,sac,halfcheetah
11,6806.8759765625,1000,5.279379367828369,167328.09375,-299.8167724609375,4557440,964.4454505443573,24245.274128245077,6507.0595703125,6806.8759765625,78.4144356250763,1694133452.3718405,-8034.97705078125,1.1066266298294067,1048576.0,2024.324462890625,879.3965232372284,5292.206257389923,-0.0001323756732745096,8,sac,halfcheetah
