,eval/episode_x_velocity,eval/avg_episode_length,eval/episode_reward_forward,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,eval/episode_forward_reward,_runtime,eval/episode_reward_contact,eval/sps,eval/episode_y_position,eval/episode_distance_from_origin,eval/episode_reward,eval/episode_reward_survive,eval/walltime,eval/episode_y_velocity,_timestamp,training/actor_loss,training/alpha,training/buffer_current_size,training/critic_loss,training/walltime,training/sps,training/alpha_loss,seed,rl_algorithm,environment
0,-6.641120910644531,1000.0,-6.641120910644531,14.346120834350586,-487.32574462890625,-1401.0572509765625,0,-6.641120910644531,21.727572917938232,-1.2830650806427002,8922.272541683513,-407.49041748046875,2268.927734375,-408.9814147949219,1000.0,14.346120834350586,-7.34971809387207,1694099156.144203,,,,,,,,7,sac,ant
1,2209.271240234375,824.046875,2209.271240234375,2.3725109100341797,52079.6015625,-1144.4306640625,421760,2209.271240234375,110.89275312423706,-0.7786558866500854,53951.27982705714,2760.71044921875,52303.15625,1888.1087646484375,824.046875,16.718631744384766,115.82100677490234,1694099245.3093832,-965.3565673828125,0.30792343616485596,215040.015625,262.0546875,86.7874391078949,5207.480823584463,0.22382976114749908,7,sac,ant
2,3072.329345703125,983.25,3072.329345703125,2.4240317344665527,76016.578125,-1570.2742919921875,835328,3072.329345703125,182.43527746200562,-0.9590646028518677,52804.58922216563,-1411.5047607421875,76188.96875,2484.34619140625,983.25,19.14266347885132,-55.18938446044922,1694099316.8519075,-2123.193603515625,0.4106486439704895,628608.0,725.6016845703125,155.89933395385742,5984.035033647473,-0.0005151706864126027,7,sac,ant
3,3185.72705078125,945.171875,3185.72705078125,2.475290536880493,77785.7109375,-1470.345947265625,1248896,3185.72705078125,261.70160484313965,-0.8783586621284485,51711.10142137623,-10928.3740234375,78677.2890625,2659.67431640625,945.171875,21.61795401573181,-457.26409912109375,1694099396.1182349,-2550.97509765625,0.46034514904022217,993630.5625,879.2506713867188,232.6842634677887,5386.056907494658,-0.0006786641897633672,7,sac,ant
4,3570.6083984375,937.46875,3570.6083984375,2.4140419960021973,86053.4375,-1446.139892578125,1662464,3570.6083984375,348.19190979003906,-0.8068401217460632,53023.104076886775,-6704.5029296875,86417.9765625,3061.13037109375,937.46875,24.03199601173401,-288.0057373046875,1694099482.6085398,-2833.5390625,0.5535041689872742,1048576.0,853.952392578125,316.7543570995331,4919.32365166106,-0.0010053570149466395,7,sac,ant
5,3717.900634765625,961.578125,3717.900634765625,2.390172243118286,90066.65625,-1608.9254150390625,2076032,3717.900634765625,434.589337348938,-0.8060196042060852,53552.62591159857,-5095.73828125,90351.78125,3069.7470703125,961.578125,26.422168254852295,-217.71197509765625,1694099569.0059674,-3194.661865234375,0.6160560846328735,1048576.0,708.0111083984375,400.7559356689453,4923.336049670308,-0.00034810692886821926,7,sac,ant
6,4359.76708984375,996.9140625,4359.76708984375,2.4732420444488525,107432.484375,-1610.00634765625,2489600,4359.76708984375,521.1507596969604,-0.8185456395149231,51753.93176227685,-3287.39990234375,107591.203125,3745.8564453125,996.9140625,28.895410299301147,-149.1268310546875,1694099655.5673897,-3549.3564453125,0.6672590374946594,1048576.0,585.51611328125,484.83820486068726,4918.611307419593,-0.0006872873054817319,7,sac,ant
7,4715.17041015625,999.96875,4715.17041015625,2.398668050765991,116322.328125,-1604.4583740234375,2903168,4715.17041015625,607.5987358093262,-0.8764992952346802,53362.94864106955,-5315.166015625,116532.3046875,4109.8037109375,999.96875,31.29407835006714,-219.311279296875,1694099742.0153658,-3947.147705078125,0.7298398613929749,1048576.0,475.272705078125,568.8813257217407,4920.902457724557,-0.0009704080875962973,7,sac,ant
8,4929.283203125,993.0390625,4929.283203125,2.371792793273926,121127.2109375,-1433.0301513671875,3316736,4929.283203125,693.9749825000763,-0.8626141548156738,53967.61486205295,84.43943786621094,121214.75,4488.42919921875,993.0390625,33.665871143341064,-2.184898853302002,1694099828.3916125,-4358.9287109375,0.8076387047767639,1048576.0,547.973876953125,652.8794569969177,4923.538104022286,-0.00043226766865700483,7,sac,ant
9,5306.5986328125,1000.0,5306.5986328125,2.4201836585998535,130429.75,-1513.3050537109375,3730304,5306.5986328125,780.4450793266296,-0.8973416090011597,52888.548166651,-5718.2236328125,130619.296875,4792.3955078125,1000.0,36.08605480194092,-230.5826416015625,1694099914.8617094,-4784.572265625,0.8637160658836365,1048576.0,537.6700439453125,736.9236681461334,4920.838619875123,-0.0011093651410192251,7,sac,ant
