eval/avg_episode_length,eval/episode_reward_dist,eval/epoch_eval_time,eval/episode_reward_ctrl,_step,_runtime,eval/sps,eval/episode_reward,eval/walltime,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
1000,-42.94392395019531,9.563496351242064,-133.83921813964844,0,14.996882677078249,13384.226364385648,-707.2066040039062,9.563496351242064,1694104216.4754827,,,,,,,6,ppo,reacher
1000,-42.31450653076172,0.6404714584350586,-84.32696533203125,3276800,30.584051370620728,199852.77769091836,-506.6135864257813,10.203967809677124,1694104232.0626514,-0.0562267825007438,470.1047668457031,470.0474853515625,-0.0010886436793953,14.943054676055908,219285.82013760545,6,ppo,reacher
1000,-42.63031768798828,0.6378872394561768,-49.76752853393555,6553600,34.329594373703,200662.4244578476,-369.6546325683594,10.8418550491333,1694104235.8081944,-0.0693887621164321,37.13050842285156,37.06049346923828,-0.0006251009181141,18.046156644821167,1055975.6118178277,6,ppo,reacher
1000,-42.11084747314453,0.6388843059539795,-29.030601501464844,9830400,38.07707381248474,200349.2632502076,-284.6468505859375,11.48073935508728,1694104239.5556738,-0.0555139780044555,21.404390335083008,21.34876823425293,-0.0001071742008207,21.15030860900879,1055618.4226172578,6,ppo,reacher
1000,-41.31360626220703,0.6399662494659424,-17.383834838867188,13107200,41.82290983200073,200010.5475981228,-234.87994384765625,12.120705604553224,1694104243.30151,-0.0367090553045272,15.846412658691406,15.810114860534668,0.00041072035674,24.25173759460449,1056545.2297050138,6,ppo,reacher
1000,-37.54263305664063,0.6436114311218262,-11.069273948669434,16384000,45.574230432510376,198877.7604165509,-194.54318237304688,12.764317035675049,1694104247.0528305,-0.0227702446281909,13.848834991455078,13.826971054077148,0.0009069580119103,27.354873180389404,1055964.1721781748,6,ppo,reacher
1000,-26.81311798095703,0.6392202377319336,-8.398675918579102,19660800,49.31920337677002,200243.97296019076,-141.0282745361328,13.403537273406982,1694104250.7978034,-0.021349411457777,14.819472312927246,14.79941177368164,0.0012889371719211,30.45619297027588,1056582.430062767,6,ppo,reacher
1000,-17.51342010498047,0.6430983543395996,-6.06953239440918,22937600,53.07093787193298,199036.4290878084,-94.58684539794922,14.046635627746582,1694104254.549538,-0.0289660431444644,9.28118896484375,9.253860473632812,0.0016380690503865,33.56089115142822,1055432.7051474545,6,ppo,reacher
1000,-11.53533935546875,0.6429398059844971,-4.312111854553223,26214400,56.82217788696289,199085.511285152,-63.66619873046875,14.68957543373108,1694104258.300778,-0.0289418306201696,4.120589733123779,4.093685150146484,0.0020371726714074,36.66475176811218,1055717.5094739925,6,ppo,reacher
1000,-7.47615909576416,0.6399869918823242,-3.0245959758758545,29491200,60.57046961784363,200004.065119398,-42.308738708496094,15.329562425613403,1694104262.0490696,-0.0284904353320598,1.7291876077651978,1.703156590461731,0.0024594841524958,39.76847696304321,1055763.5725455442,6,ppo,reacher
