eval/episode_x_velocity,eval/avg_episode_length,eval/epoch_eval_time,eval/episode_x_position,eval/episode_reward_ctrl,_step,eval/episode_reward_fwd,eval/episode_forward_reward,_runtime,eval/sps,eval/episode_y_position,eval/episode_distance_from_origin,eval/episode_reward,eval/walltime,eval/episode_y_velocity,_timestamp,training/policy_loss,training/v_loss,training/total_loss,training/entropy_loss,training/walltime,training/sps,seed,rl_algorithm,environment
0.8490815758705139,1000,10.287867307662964,1011.85400390625,-0.0540833845734596,0,0.8490815758705139,0.8490815758705139,15.53245234489441,12441.840098837456,63.92417144775391,396.000732421875,0.794998288154602,10.287867307662964,3.512645483016968,1694136838.7169282,,,,,,,9,ppo,swimmer
86.65730285644531,1000,1.855093002319336,2642.075927734375,-0.0595320984721183,2949120,86.65730285644531,86.65730285644531,37.57181787490845,68999.23607062697,-148.99606323242188,2146.901123046875,86.59776306152344,12.1429603099823,-7.608702659606934,1694136860.7562938,-0.0084933415055274,0.0025307012256234,-0.0069842794910073,-0.0010216393275186,20.179473638534542,146144.54533483897,9,ppo,swimmer
118.77595520019533,1000,1.8833630084991453,3213.982421875,-0.0711789205670356,5898240,118.77595520019533,118.77595520019533,49.49250292778015,67963.53088723101,-9.027950286865234,2759.186767578125,118.70478057861328,14.026323318481444,-1.2195074558258057,1694136872.6769788,-0.0030672650318592,0.0058960341848433,0.0025703369174152,-0.0002584322064649,30.21129870414734,293976.4181204702,9,ppo,swimmer
164.95706176757812,1000,1.8775057792663572,4032.281005859375,-0.0834240615367889,8847360,164.95706176757812,164.95706176757812,61.41271638870239,68175.55578977578,-283.49542236328125,3489.82958984375,164.87362670898438,15.903829097747805,-18.60104751586914,1694136884.5971923,-0.0018989216769114,0.0062966072000563,0.0047167036682367,0.0003190183488186,40.24841737747192,293821.3740401224,9,ppo,swimmer
168.64324951171875,1000,1.8805806636810305,4131.05859375,-0.0870449244976043,11796480,168.64324951171875,168.64324951171875,73.33369994163513,68064.08386091456,-166.73236083984375,3611.0107421875,168.55621337890625,17.784409761428833,-9.599615097045898,1694136896.5181758,-0.0017483176197856,0.0054328748956322,0.0043718689121305,0.0006873114034533,50.28306937217712,293893.6000527081,9,ppo,swimmer
169.3484649658203,1000,1.8798632621765137,4170.5341796875,-0.0891384482383728,14745600,169.3484649658203,169.3484649658203,85.2548279762268,68090.05876938147,-106.46298217773438,3665.19970703125,169.25933837890625,19.664273023605347,-5.530238628387451,1694136908.439304,-0.0013507200637832,0.0064724148251116,0.0064327325671911,0.001311037922278,60.31866526603699,293865.95785551483,9,ppo,swimmer
173.93173217773438,1000,1.882434606552124,4290.0,-0.0899536684155464,17694720,173.93173217773438,173.93173217773438,97.17556023597716,67997.04996629094,-169.81121826171875,3766.581298828125,173.84178161621094,21.54670763015747,-6.45434045791626,1694136920.360036,-0.0012831554049625,0.00346993166022,0.0037963353097438,0.0016095588216558,70.35138297080994,293950.26221030724,9,ppo,swimmer
173.97145080566406,1000,1.8754985332489011,4306.287109375,-0.0883854627609252,20643840,173.97145080566406,173.97145080566406,109.08945918083192,68248.52044979598,-98.91445922851562,3805.16943359375,173.88307189941406,23.42220616340637,-5.125387668609619,1694136932.273935,-0.0009944835910573,0.0028918653260916,0.0037108387332409,0.0018134572310373,80.38368487358093,293962.4453671426,9,ppo,swimmer
180.6345977783203,1000,1.849581003189087,4415.6640625,-0.0897629782557487,23592960,180.6345977783203,180.6345977783203,121.0035171508789,69204.86303616856,-80.99140930175781,3894.94921875,180.5448303222656,25.27178716659546,-1.4292550086975098,1694136944.187993,-0.000786047661677,0.0036567789502441,0.0051499158143997,0.0022791845258325,90.4421136379242,293198.8752015141,9,ppo,swimmer
176.49411010742188,1000,1.8496489524841309,4345.4453125,-0.089476965367794,26542080,176.49411010742188,176.49411010742188,132.9198338985443,69202.32070420303,-29.894405364990234,3852.513916015625,176.4046173095703,27.12143611907959,3.474038600921631,1694136956.1043098,-0.0005219717277213,0.0026358002796769,0.0046627805568277,0.0025489525869488,100.5028555393219,293131.46375321376,9,ppo,swimmer
