generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
1199,5,68.49999999999999,1,2,2,lgp,hopper,109
599,5,68.49999999999999,1,2,2,lgp,hopper,109
1899,5,68.49999999999999,1,2,2,lgp,hopper,109
899,5,68.49999999999999,1,2,2,lgp,hopper,109
1799,5,68.49999999999999,1,2,2,lgp,hopper,109
1699,5,68.49999999999999,1,2,2,lgp,hopper,109
999,5,68.49999999999999,1,2,2,lgp,hopper,109
199,5,68.49999999999999,1,2,2,lgp,hopper,109
1499,5,68.49999999999999,1,2,2,lgp,hopper,109
1399,5,68.49999999999999,1,2,2,lgp,hopper,109
799,5,68.49999999999999,1,2,2,lgp,hopper,109
99,5,68.49999999999999,1,2,2,lgp,hopper,109
1599,5,68.49999999999999,1,2,2,lgp,hopper,109
1099,5,68.49999999999999,1,2,2,lgp,hopper,109
2499,5,68.49999999999999,1,2,2,lgp,hopper,109
1999,5,68.49999999999999,1,2,2,lgp,hopper,109
399,5,68.49999999999999,1,2,2,lgp,hopper,109
1299,5,68.49999999999999,1,2,2,lgp,hopper,109
2099,5,68.49999999999999,1,2,2,lgp,hopper,109
2199,5,68.49999999999999,1,2,2,lgp,hopper,109
2299,5,68.49999999999999,1,2,2,lgp,hopper,109
299,5,68.49999999999999,1,2,2,lgp,hopper,109
2399,5,68.49999999999999,1,2,2,lgp,hopper,109
699,5,68.49999999999999,1,2,2,lgp,hopper,109
499,5,68.49999999999999,1,2,2,lgp,hopper,109
699,20,39.29999999999999,5,7,4,lgp,hopper,109
2299,20,39.29999999999999,5,7,4,lgp,hopper,109
1599,20,39.29999999999999,5,7,4,lgp,hopper,109
899,20,39.29999999999999,5,7,4,lgp,hopper,109
2199,20,39.29999999999999,5,7,4,lgp,hopper,109
1699,20,39.29999999999999,5,7,4,lgp,hopper,109
2399,20,39.29999999999999,5,7,4,lgp,hopper,109
1899,20,39.29999999999999,5,7,4,lgp,hopper,109
299,20,39.29999999999999,5,7,4,lgp,hopper,109
2099,20,39.29999999999999,5,7,4,lgp,hopper,109
999,20,39.29999999999999,5,7,4,lgp,hopper,109
199,20,39.29999999999999,5,7,4,lgp,hopper,109
799,20,39.29999999999999,5,7,4,lgp,hopper,109
1799,20,39.29999999999999,5,7,4,lgp,hopper,109
1299,20,39.29999999999999,5,7,4,lgp,hopper,109
1399,20,39.29999999999999,5,7,4,lgp,hopper,109
499,20,39.29999999999999,5,7,4,lgp,hopper,109
2499,20,39.29999999999999,5,7,4,lgp,hopper,109
1999,20,39.29999999999999,5,7,4,lgp,hopper,109
99,20,39.29999999999999,5,7,4,lgp,hopper,109
1199,20,39.29999999999999,5,7,4,lgp,hopper,109
399,20,39.29999999999999,5,7,4,lgp,hopper,109
599,20,39.29999999999999,5,7,4,lgp,hopper,109
1499,20,39.29999999999999,5,7,4,lgp,hopper,109
1099,20,39.29999999999999,5,7,4,lgp,hopper,109
2299,6,68.29999999999998,1,2,3,lgp,hopper,109
999,6,68.29999999999998,1,2,3,lgp,hopper,109
599,6,68.29999999999998,1,2,3,lgp,hopper,109
1299,6,68.29999999999998,1,2,3,lgp,hopper,109
499,6,68.29999999999998,1,2,3,lgp,hopper,109
1999,6,68.29999999999998,1,2,3,lgp,hopper,109
1399,6,68.29999999999998,1,2,3,lgp,hopper,109
799,6,68.29999999999998,1,2,3,lgp,hopper,109
99,6,68.29999999999998,1,2,3,lgp,hopper,109
199,6,68.29999999999998,1,2,3,lgp,hopper,109
2499,6,68.29999999999998,1,2,3,lgp,hopper,109
1599,6,68.29999999999998,1,2,3,lgp,hopper,109
2199,6,68.29999999999998,1,2,3,lgp,hopper,109
2399,6,68.29999999999998,1,2,3,lgp,hopper,109
1199,6,68.29999999999998,1,2,3,lgp,hopper,109
2099,6,68.29999999999998,1,2,3,lgp,hopper,109
1099,6,68.29999999999998,1,2,3,lgp,hopper,109
1699,6,68.29999999999998,1,2,3,lgp,hopper,109
1899,6,68.29999999999998,1,2,3,lgp,hopper,109
399,6,68.29999999999998,1,2,3,lgp,hopper,109
1499,6,68.29999999999998,1,2,3,lgp,hopper,109
699,6,68.29999999999998,1,2,3,lgp,hopper,109
1799,6,68.29999999999998,1,2,3,lgp,hopper,109
899,6,68.29999999999998,1,2,3,lgp,hopper,109
299,6,68.29999999999998,1,2,3,lgp,hopper,109
899,4,53.1,3,0,1,lgp,hopper,109
499,4,53.1,3,0,1,lgp,hopper,109
2499,4,53.1,3,0,1,lgp,hopper,109
1699,4,53.1,3,0,1,lgp,hopper,109
1399,4,53.1,3,0,1,lgp,hopper,109
199,4,53.1,3,0,1,lgp,hopper,109
1599,4,53.1,3,0,1,lgp,hopper,109
999,4,53.1,3,0,1,lgp,hopper,109
799,4,53.1,3,0,1,lgp,hopper,109
2199,4,53.1,3,0,1,lgp,hopper,109
1499,4,53.1,3,0,1,lgp,hopper,109
2399,4,53.1,3,0,1,lgp,hopper,109
299,4,53.1,3,0,1,lgp,hopper,109
399,4,53.1,3,0,1,lgp,hopper,109
99,4,53.1,3,0,1,lgp,hopper,109
1899,4,53.1,3,0,1,lgp,hopper,109
699,4,53.1,3,0,1,lgp,hopper,109
599,4,53.1,3,0,1,lgp,hopper,109
1299,4,53.1,3,0,1,lgp,hopper,109
1099,4,53.1,3,0,1,lgp,hopper,109
2099,4,53.1,3,0,1,lgp,hopper,109
2299,4,53.1,3,0,1,lgp,hopper,109
1199,4,53.1,3,0,1,lgp,hopper,109
1999,4,53.1,3,0,1,lgp,hopper,109
1799,4,53.1,3,0,1,lgp,hopper,109
1599,7,43.4,4,1,2,lgp,hopper,109
799,7,43.4,4,1,2,lgp,hopper,109
1699,7,43.4,4,1,2,lgp,hopper,109
699,7,43.4,4,1,2,lgp,hopper,109
2499,7,43.4,4,1,2,lgp,hopper,109
1499,7,43.4,4,1,2,lgp,hopper,109
199,7,43.4,4,1,2,lgp,hopper,109
99,7,43.4,4,1,2,lgp,hopper,109
2199,7,43.4,4,1,2,lgp,hopper,109
399,7,43.4,4,1,2,lgp,hopper,109
1399,7,43.4,4,1,2,lgp,hopper,109
1199,7,43.4,4,1,2,lgp,hopper,109
1899,7,43.4,4,1,2,lgp,hopper,109
1099,7,43.4,4,1,2,lgp,hopper,109
1999,7,43.4,4,1,2,lgp,hopper,109
2099,7,43.4,4,1,2,lgp,hopper,109
599,7,43.4,4,1,2,lgp,hopper,109
1799,7,43.4,4,1,2,lgp,hopper,109
999,7,43.4,4,1,2,lgp,hopper,109
2399,7,43.4,4,1,2,lgp,hopper,109
2299,7,43.4,4,1,2,lgp,hopper,109
899,7,43.4,4,1,2,lgp,hopper,109
499,7,43.4,4,1,2,lgp,hopper,109
299,7,43.4,4,1,2,lgp,hopper,109
1299,7,43.4,4,1,2,lgp,hopper,109
399,6,51.99999999999999,3,1,2,lgp,hopper,109
1999,6,51.99999999999999,3,1,2,lgp,hopper,109
899,6,51.99999999999999,3,1,2,lgp,hopper,109
299,6,51.99999999999999,3,1,2,lgp,hopper,109
1899,6,51.99999999999999,3,1,2,lgp,hopper,109
99,6,51.99999999999999,3,1,2,lgp,hopper,109
1199,6,51.99999999999999,3,1,2,lgp,hopper,109
599,6,51.99999999999999,3,1,2,lgp,hopper,109
1699,6,51.99999999999999,3,1,2,lgp,hopper,109
499,6,51.99999999999999,3,1,2,lgp,hopper,109
2499,6,51.99999999999999,3,1,2,lgp,hopper,109
1299,6,51.99999999999999,3,1,2,lgp,hopper,109
2299,6,51.99999999999999,3,1,2,lgp,hopper,109
2199,6,51.99999999999999,3,1,2,lgp,hopper,109
699,6,51.99999999999999,3,1,2,lgp,hopper,109
1099,6,51.99999999999999,3,1,2,lgp,hopper,109
1599,6,51.99999999999999,3,1,2,lgp,hopper,109
999,6,51.99999999999999,3,1,2,lgp,hopper,109
2099,6,51.99999999999999,3,1,2,lgp,hopper,109
199,6,51.99999999999999,3,1,2,lgp,hopper,109
799,6,51.99999999999999,3,1,2,lgp,hopper,109
2399,6,51.99999999999999,3,1,2,lgp,hopper,109
1799,6,51.99999999999999,3,1,2,lgp,hopper,109
1399,6,51.99999999999999,3,1,2,lgp,hopper,109
1499,6,51.99999999999999,3,1,2,lgp,hopper,109
999,3,61.7,2,0,1,lgp,hopper,109
1599,3,61.7,2,0,1,lgp,hopper,109
199,3,61.7,2,0,1,lgp,hopper,109
799,3,61.7,2,0,1,lgp,hopper,109
1899,3,61.7,2,0,1,lgp,hopper,109
2199,3,61.7,2,0,1,lgp,hopper,109
2299,3,61.7,2,0,1,lgp,hopper,109
1499,3,61.7,2,0,1,lgp,hopper,109
99,3,61.7,2,0,1,lgp,hopper,109
299,3,61.7,2,0,1,lgp,hopper,109
1699,3,61.7,2,0,1,lgp,hopper,109
1299,3,61.7,2,0,1,lgp,hopper,109
399,3,61.7,2,0,1,lgp,hopper,109
2099,3,61.7,2,0,1,lgp,hopper,109
599,3,61.7,2,0,1,lgp,hopper,109
899,3,61.7,2,0,1,lgp,hopper,109
1799,3,61.7,2,0,1,lgp,hopper,109
1999,3,61.7,2,0,1,lgp,hopper,109
499,3,61.7,2,0,1,lgp,hopper,109
2499,3,61.7,2,0,1,lgp,hopper,109
1099,3,61.7,2,0,1,lgp,hopper,109
699,3,61.7,2,0,1,lgp,hopper,109
1199,3,61.7,2,0,1,lgp,hopper,109
2399,3,61.7,2,0,1,lgp,hopper,109
1399,3,61.7,2,0,1,lgp,hopper,109
1799,6,68.49999999999999,1,2,2,lgp,hopper,109
2499,6,68.49999999999999,1,2,2,lgp,hopper,109
1499,6,68.49999999999999,1,2,2,lgp,hopper,109
2399,6,68.49999999999999,1,2,2,lgp,hopper,109
1999,6,68.49999999999999,1,2,2,lgp,hopper,109
2199,6,68.49999999999999,1,2,2,lgp,hopper,109
799,6,68.49999999999999,1,2,2,lgp,hopper,109
399,6,68.49999999999999,1,2,2,lgp,hopper,109
