generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
1199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
599,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1899,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
899,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1799,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1699,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
999,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
799,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
99,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1599,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1099,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
2499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1999,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
1299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
2099,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
2199,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
2299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
299,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
2399,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
699,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
499,5,68.49999999999999,1,2,2,cgp,inverted_double_pendulum,103
699,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1599,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
899,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1699,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1899,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2099,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
999,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
799,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1799,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1299,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1999,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
99,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1199,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
399,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
599,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1499,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
1099,20,39.29999999999999,5,7,4,cgp,inverted_double_pendulum,103
2299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
999,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
599,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1999,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
799,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
99,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
2499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1599,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
2199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
2399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1199,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
2099,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1099,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1699,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1899,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
399,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1499,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
699,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
1799,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
899,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
299,6,68.29999999999998,1,2,3,cgp,inverted_double_pendulum,103
899,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
499,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
2499,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1699,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1399,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
199,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1599,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
999,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
799,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
2199,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1499,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
2399,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
299,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
399,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
99,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1899,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
699,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
599,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1299,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
1099,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
2099,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
2299,4,53.1,3,0,1,cgp,inverted_double_pendulum,103
