,generation,n_edges,phi,solver,environment,seed
164,599,3,61.7,cgp,walker2d,105
165,899,3,61.7,cgp,walker2d,105
166,1799,3,61.7,cgp,walker2d,105
167,1999,3,61.7,cgp,walker2d,105
168,499,3,61.7,cgp,walker2d,105
169,2499,3,61.7,cgp,walker2d,105
170,1099,3,61.7,cgp,walker2d,105
171,699,3,61.7,cgp,walker2d,105
172,1199,3,61.7,cgp,walker2d,105
173,2399,3,61.7,cgp,walker2d,105
174,1399,3,61.7,cgp,walker2d,105
175,1799,6,68.49999999999999,cgp,walker2d,105
176,2499,6,68.49999999999999,cgp,walker2d,105
177,1499,6,68.49999999999999,cgp,walker2d,105
178,2399,6,68.49999999999999,cgp,walker2d,105
179,1999,6,68.49999999999999,cgp,walker2d,105
180,2199,6,68.49999999999999,cgp,walker2d,105
181,799,6,68.49999999999999,cgp,walker2d,105
182,399,6,68.49999999999999,cgp,walker2d,105
183,1199,6,68.49999999999999,cgp,walker2d,105
184,1399,6,68.49999999999999,cgp,walker2d,105
185,299,6,68.49999999999999,cgp,walker2d,105
186,499,6,68.49999999999999,cgp,walker2d,105
187,1099,6,68.49999999999999,cgp,walker2d,105
188,599,6,68.49999999999999,cgp,walker2d,105
189,1299,6,68.49999999999999,cgp,walker2d,105
190,1599,6,68.49999999999999,cgp,walker2d,105
191,899,6,68.49999999999999,cgp,walker2d,105
192,999,6,68.49999999999999,cgp,walker2d,105
193,1699,6,68.49999999999999,cgp,walker2d,105
194,1899,6,68.49999999999999,cgp,walker2d,105
195,99,6,68.49999999999999,cgp,walker2d,105
196,699,6,68.49999999999999,cgp,walker2d,105
197,199,6,68.49999999999999,cgp,walker2d,105
198,2299,6,68.49999999999999,cgp,walker2d,105
199,2099,6,68.49999999999999,cgp,walker2d,105
200,899,16,47.69999999999999,cgp,walker2d,105
201,1899,16,47.69999999999999,cgp,walker2d,105
202,1599,16,47.69999999999999,cgp,walker2d,105
203,2299,16,47.69999999999999,cgp,walker2d,105
204,2499,16,47.69999999999999,cgp,walker2d,105
205,799,16,47.69999999999999,cgp,walker2d,105
206,99,16,47.69999999999999,cgp,walker2d,105
207,1499,16,47.69999999999999,cgp,walker2d,105
208,299,16,47.69999999999999,cgp,walker2d,105
209,1199,16,47.69999999999999,cgp,walker2d,105
210,2199,16,47.69999999999999,cgp,walker2d,105
211,1799,16,47.69999999999999,cgp,walker2d,105
212,1299,16,47.69999999999999,cgp,walker2d,105
213,1699,16,47.69999999999999,cgp,walker2d,105
214,1099,16,47.69999999999999,cgp,walker2d,105
215,999,16,47.69999999999999,cgp,walker2d,105
216,2399,16,47.69999999999999,cgp,walker2d,105
217,2099,16,47.69999999999999,cgp,walker2d,105
218,1399,16,47.69999999999999,cgp,walker2d,105
219,699,16,47.69999999999999,cgp,walker2d,105
220,599,16,47.69999999999999,cgp,walker2d,105
221,199,16,47.69999999999999,cgp,walker2d,105
222,399,16,47.69999999999999,cgp,walker2d,105
223,1999,16,47.69999999999999,cgp,walker2d,105
224,499,16,47.69999999999999,cgp,walker2d,105
225,2199,10,54.69999999999999,cgp,walker2d,105
226,499,10,54.69999999999999,cgp,walker2d,105
227,599,10,54.69999999999999,cgp,walker2d,105
228,2099,10,54.69999999999999,cgp,walker2d,105
229,1299,10,54.69999999999999,cgp,walker2d,105
230,2499,10,54.69999999999999,cgp,walker2d,105
231,1599,10,54.69999999999999,cgp,walker2d,105
232,1399,10,54.69999999999999,cgp,walker2d,105
233,199,10,54.69999999999999,cgp,walker2d,105
234,799,10,54.69999999999999,cgp,walker2d,105
235,899,10,54.69999999999999,cgp,walker2d,105
236,299,10,54.69999999999999,cgp,walker2d,105
237,1999,10,54.69999999999999,cgp,walker2d,105
238,1899,10,54.69999999999999,cgp,walker2d,105
239,1799,10,54.69999999999999,cgp,walker2d,105
240,2299,10,54.69999999999999,cgp,walker2d,105
241,1699,10,54.69999999999999,cgp,walker2d,105
242,1199,10,54.69999999999999,cgp,walker2d,105
243,1099,10,54.69999999999999,cgp,walker2d,105
244,2399,10,54.69999999999999,cgp,walker2d,105
245,999,10,54.69999999999999,cgp,walker2d,105
246,1499,10,54.69999999999999,cgp,walker2d,105
247,99,10,54.69999999999999,cgp,walker2d,105
248,399,10,54.69999999999999,cgp,walker2d,105
249,699,10,54.69999999999999,cgp,walker2d,105
250,1199,4,56.69999999999999,cgp,walker2d,105
251,599,4,56.69999999999999,cgp,walker2d,105
252,899,4,56.69999999999999,cgp,walker2d,105
253,999,4,56.69999999999999,cgp,walker2d,105
254,199,4,56.69999999999999,cgp,walker2d,105
255,1499,4,56.69999999999999,cgp,walker2d,105
256,1399,4,56.69999999999999,cgp,walker2d,105
257,799,4,56.69999999999999,cgp,walker2d,105
258,99,4,56.69999999999999,cgp,walker2d,105
259,1099,4,56.69999999999999,cgp,walker2d,105
260,399,4,56.69999999999999,cgp,walker2d,105
261,1299,4,56.69999999999999,cgp,walker2d,105
262,299,4,56.69999999999999,cgp,walker2d,105
263,699,4,56.69999999999999,cgp,walker2d,105
264,499,4,56.69999999999999,cgp,walker2d,105
265,699,3,61.7,cgp,walker2d,105
266,899,3,61.7,cgp,walker2d,105
267,299,3,61.7,cgp,walker2d,105
268,999,3,61.7,cgp,walker2d,105
269,199,3,61.7,cgp,walker2d,105
270,799,3,61.7,cgp,walker2d,105
271,1299,3,61.7,cgp,walker2d,105
272,1399,3,61.7,cgp,walker2d,105
273,499,3,61.7,cgp,walker2d,105
274,99,3,61.7,cgp,walker2d,105
275,1199,3,61.7,cgp,walker2d,105
276,399,3,61.7,cgp,walker2d,105
277,599,3,61.7,cgp,walker2d,105
278,1499,3,61.7,cgp,walker2d,105
279,1099,3,61.7,cgp,walker2d,105
280,999,6,52.19999999999999,cgp,walker2d,105
281,599,6,52.19999999999999,cgp,walker2d,105
282,1299,6,52.19999999999999,cgp,walker2d,105
283,499,6,52.19999999999999,cgp,walker2d,105
284,1399,6,52.19999999999999,cgp,walker2d,105
285,799,6,52.19999999999999,cgp,walker2d,105
286,99,6,52.19999999999999,cgp,walker2d,105
287,199,6,52.19999999999999,cgp,walker2d,105
288,1199,6,52.19999999999999,cgp,walker2d,105
289,1099,6,52.19999999999999,cgp,walker2d,105
290,399,6,52.19999999999999,cgp,walker2d,105
291,1499,6,52.19999999999999,cgp,walker2d,105
292,699,6,52.19999999999999,cgp,walker2d,105
293,899,6,52.19999999999999,cgp,walker2d,105
294,299,6,52.19999999999999,cgp,walker2d,105
295,1199,10,66.69999999999999,cgp,walker2d,105
296,599,10,66.69999999999999,cgp,walker2d,105
297,1899,13,73.5,cgp,walker2d,105
298,899,10,66.69999999999999,cgp,walker2d,105
299,1799,13,73.5,cgp,walker2d,105
300,1699,13,72.6,cgp,walker2d,105
301,999,10,66.69999999999999,cgp,walker2d,105
302,199,1,78.89999999999999,cgp,walker2d,105
303,1499,14,63.999999999999986,cgp,walker2d,105
304,1399,10,66.69999999999999,cgp,walker2d,105
305,799,10,66.69999999999999,cgp,walker2d,105
306,99,1,78.89999999999999,cgp,walker2d,105
307,1599,13,72.6,cgp,walker2d,105
308,1099,10,66.69999999999999,cgp,walker2d,105
309,2499,14,63.999999999999986,cgp,walker2d,105
310,1999,13,73.5,cgp,walker2d,105
311,399,10,66.69999999999999,cgp,walker2d,105
