generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
1199,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
599,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1899,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
899,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1799,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1699,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
999,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
199,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1499,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1399,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
799,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
99,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1599,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1099,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
2499,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1999,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
399,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
1299,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
2099,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
2199,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
2299,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
299,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
2399,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
699,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
499,5,68.49999999999999,1,2,2,lgp,inverted_pendulum,100
699,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2299,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1599,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
899,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2199,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1699,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2399,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1899,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
299,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2099,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
999,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
199,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
799,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1799,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1299,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1399,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
499,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2499,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1999,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
99,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1199,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
399,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
599,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1499,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
1099,20,39.29999999999999,5,7,4,lgp,inverted_pendulum,100
2299,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
999,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
599,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
1299,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
499,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
1999,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
1399,6,68.29999999999998,1,2,3,lgp,inverted_pendulum,100
