,generation,n_edges,phi,n_single_arity,n_double_arity,n_inputs,solver,environment,seed
0,1199,5,68.49999999999999,1,2,2,cgp,reacher,105
1,599,5,68.49999999999999,1,2,2,cgp,reacher,105
2,1899,5,68.49999999999999,1,2,2,cgp,reacher,105
3,899,5,68.49999999999999,1,2,2,cgp,reacher,105
4,1799,5,68.49999999999999,1,2,2,cgp,reacher,105
5,1699,5,68.49999999999999,1,2,2,cgp,reacher,105
6,999,5,68.49999999999999,1,2,2,cgp,reacher,105
7,199,5,68.49999999999999,1,2,2,cgp,reacher,105
8,1499,5,68.49999999999999,1,2,2,cgp,reacher,105
9,1399,5,68.49999999999999,1,2,2,cgp,reacher,105
10,799,5,68.49999999999999,1,2,2,cgp,reacher,105
11,99,5,68.49999999999999,1,2,2,cgp,reacher,105
12,1599,5,68.49999999999999,1,2,2,cgp,reacher,105
13,1099,5,68.49999999999999,1,2,2,cgp,reacher,105
14,2499,5,68.49999999999999,1,2,2,cgp,reacher,105
15,1999,5,68.49999999999999,1,2,2,cgp,reacher,105
16,399,5,68.49999999999999,1,2,2,cgp,reacher,105
17,1299,5,68.49999999999999,1,2,2,cgp,reacher,105
18,2099,5,68.49999999999999,1,2,2,cgp,reacher,105
19,2199,5,68.49999999999999,1,2,2,cgp,reacher,105
20,2299,5,68.49999999999999,1,2,2,cgp,reacher,105
21,299,5,68.49999999999999,1,2,2,cgp,reacher,105
22,2399,5,68.49999999999999,1,2,2,cgp,reacher,105
23,699,5,68.49999999999999,1,2,2,cgp,reacher,105
24,499,5,68.49999999999999,1,2,2,cgp,reacher,105
25,699,20,39.29999999999999,5,7,4,cgp,reacher,105
26,2299,20,39.29999999999999,5,7,4,cgp,reacher,105
27,1599,20,39.29999999999999,5,7,4,cgp,reacher,105
28,899,20,39.29999999999999,5,7,4,cgp,reacher,105
29,2199,20,39.29999999999999,5,7,4,cgp,reacher,105
30,1699,20,39.29999999999999,5,7,4,cgp,reacher,105
31,2399,20,39.29999999999999,5,7,4,cgp,reacher,105
32,1899,20,39.29999999999999,5,7,4,cgp,reacher,105
33,299,20,39.29999999999999,5,7,4,cgp,reacher,105
34,2099,20,39.29999999999999,5,7,4,cgp,reacher,105
35,999,20,39.29999999999999,5,7,4,cgp,reacher,105
36,199,20,39.29999999999999,5,7,4,cgp,reacher,105
37,799,20,39.29999999999999,5,7,4,cgp,reacher,105
38,1799,20,39.29999999999999,5,7,4,cgp,reacher,105
39,1299,20,39.29999999999999,5,7,4,cgp,reacher,105
40,1399,20,39.29999999999999,5,7,4,cgp,reacher,105
41,499,20,39.29999999999999,5,7,4,cgp,reacher,105
42,2499,20,39.29999999999999,5,7,4,cgp,reacher,105
43,1999,20,39.29999999999999,5,7,4,cgp,reacher,105
44,99,20,39.29999999999999,5,7,4,cgp,reacher,105
45,1199,20,39.29999999999999,5,7,4,cgp,reacher,105
46,399,20,39.29999999999999,5,7,4,cgp,reacher,105
47,599,20,39.29999999999999,5,7,4,cgp,reacher,105
48,1499,20,39.29999999999999,5,7,4,cgp,reacher,105
49,1099,20,39.29999999999999,5,7,4,cgp,reacher,105
50,2299,6,68.29999999999998,1,2,3,cgp,reacher,105
51,999,6,68.29999999999998,1,2,3,cgp,reacher,105
52,599,6,68.29999999999998,1,2,3,cgp,reacher,105
53,1299,6,68.29999999999998,1,2,3,cgp,reacher,105
54,499,6,68.29999999999998,1,2,3,cgp,reacher,105
55,1999,6,68.29999999999998,1,2,3,cgp,reacher,105
56,1399,6,68.29999999999998,1,2,3,cgp,reacher,105
57,799,6,68.29999999999998,1,2,3,cgp,reacher,105
58,99,6,68.29999999999998,1,2,3,cgp,reacher,105
59,199,6,68.29999999999998,1,2,3,cgp,reacher,105
60,2499,6,68.29999999999998,1,2,3,cgp,reacher,105
61,1599,6,68.29999999999998,1,2,3,cgp,reacher,105
62,2199,6,68.29999999999998,1,2,3,cgp,reacher,105
63,2399,6,68.29999999999998,1,2,3,cgp,reacher,105
64,1199,6,68.29999999999998,1,2,3,cgp,reacher,105
65,2099,6,68.29999999999998,1,2,3,cgp,reacher,105
66,1099,6,68.29999999999998,1,2,3,cgp,reacher,105
67,1699,6,68.29999999999998,1,2,3,cgp,reacher,105
68,1899,6,68.29999999999998,1,2,3,cgp,reacher,105
69,399,6,68.29999999999998,1,2,3,cgp,reacher,105
70,1499,6,68.29999999999998,1,2,3,cgp,reacher,105
71,699,6,68.29999999999998,1,2,3,cgp,reacher,105
72,1799,6,68.29999999999998,1,2,3,cgp,reacher,105
73,899,6,68.29999999999998,1,2,3,cgp,reacher,105
74,299,6,68.29999999999998,1,2,3,cgp,reacher,105
75,899,4,53.099999999999994,3,0,1,cgp,reacher,105
76,499,4,53.099999999999994,3,0,1,cgp,reacher,105
77,2499,4,53.099999999999994,3,0,1,cgp,reacher,105
78,1699,4,53.099999999999994,3,0,1,cgp,reacher,105
79,1399,4,53.099999999999994,3,0,1,cgp,reacher,105
80,199,4,53.099999999999994,3,0,1,cgp,reacher,105
81,1599,4,53.099999999999994,3,0,1,cgp,reacher,105
82,999,4,53.099999999999994,3,0,1,cgp,reacher,105
83,799,4,53.099999999999994,3,0,1,cgp,reacher,105
84,2199,4,53.099999999999994,3,0,1,cgp,reacher,105
85,1499,4,53.099999999999994,3,0,1,cgp,reacher,105
86,2399,4,53.099999999999994,3,0,1,cgp,reacher,105
87,299,4,53.099999999999994,3,0,1,cgp,reacher,105
88,399,4,53.099999999999994,3,0,1,cgp,reacher,105
89,99,4,53.099999999999994,3,0,1,cgp,reacher,105
90,1899,4,53.099999999999994,3,0,1,cgp,reacher,105
91,699,4,53.099999999999994,3,0,1,cgp,reacher,105
92,599,4,53.099999999999994,3,0,1,cgp,reacher,105
93,1299,4,53.099999999999994,3,0,1,cgp,reacher,105
94,1099,4,53.099999999999994,3,0,1,cgp,reacher,105
95,2099,4,53.099999999999994,3,0,1,cgp,reacher,105
96,2299,4,53.099999999999994,3,0,1,cgp,reacher,105
97,1199,4,53.099999999999994,3,0,1,cgp,reacher,105
98,1999,4,53.099999999999994,3,0,1,cgp,reacher,105
99,1799,4,53.099999999999994,3,0,1,cgp,reacher,105
100,1599,7,43.4,4,1,2,cgp,reacher,105
101,799,7,43.4,4,1,2,cgp,reacher,105
102,1699,7,43.4,4,1,2,cgp,reacher,105
103,699,7,43.4,4,1,2,cgp,reacher,105
104,2499,7,43.4,4,1,2,cgp,reacher,105
105,1499,7,43.4,4,1,2,cgp,reacher,105
106,199,7,43.4,4,1,2,cgp,reacher,105
107,99,7,43.4,4,1,2,cgp,reacher,105
108,2199,7,43.4,4,1,2,cgp,reacher,105
109,399,7,43.4,4,1,2,cgp,reacher,105
110,1399,7,43.4,4,1,2,cgp,reacher,105
111,1199,7,43.4,4,1,2,cgp,reacher,105
112,1899,7,43.4,4,1,2,cgp,reacher,105
113,1099,7,43.4,4,1,2,cgp,reacher,105
114,1999,7,43.4,4,1,2,cgp,reacher,105
115,2099,7,43.4,4,1,2,cgp,reacher,105
116,599,7,43.4,4,1,2,cgp,reacher,105
117,1799,7,43.4,4,1,2,cgp,reacher,105
118,999,7,43.4,4,1,2,cgp,reacher,105
119,2399,7,43.4,4,1,2,cgp,reacher,105
120,2299,7,43.4,4,1,2,cgp,reacher,105
121,899,7,43.4,4,1,2,cgp,reacher,105
122,499,7,43.4,4,1,2,cgp,reacher,105
123,299,7,43.4,4,1,2,cgp,reacher,105
124,1299,7,43.4,4,1,2,cgp,reacher,105
125,399,6,51.999999999999986,3,1,2,cgp,reacher,105
126,1999,6,51.999999999999986,3,1,2,cgp,reacher,105
127,899,6,51.999999999999986,3,1,2,cgp,reacher,105
128,299,6,51.999999999999986,3,1,2,cgp,reacher,105
129,1899,6,51.999999999999986,3,1,2,cgp,reacher,105
130,99,6,51.999999999999986,3,1,2,cgp,reacher,105
131,1199,6,51.999999999999986,3,1,2,cgp,reacher,105
132,599,6,51.999999999999986,3,1,2,cgp,reacher,105
133,1699,6,51.999999999999986,3,1,2,cgp,reacher,105
134,499,6,51.999999999999986,3,1,2,cgp,reacher,105
135,2499,6,51.999999999999986,3,1,2,cgp,reacher,105
136,1299,6,51.999999999999986,3,1,2,cgp,reacher,105
137,2299,6,51.999999999999986,3,1,2,cgp,reacher,105
138,2199,6,51.999999999999986,3,1,2,cgp,reacher,105
139,699,6,51.999999999999986,3,1,2,cgp,reacher,105
140,1099,6,51.999999999999986,3,1,2,cgp,reacher,105
141,1599,6,51.999999999999986,3,1,2,cgp,reacher,105
142,999,6,51.999999999999986,3,1,2,cgp,reacher,105
143,2099,6,51.999999999999986,3,1,2,cgp,reacher,105
144,199,6,51.999999999999986,3,1,2,cgp,reacher,105
145,799,6,51.999999999999986,3,1,2,cgp,reacher,105
146,2399,6,51.999999999999986,3,1,2,cgp,reacher,105
147,1799,6,51.999999999999986,3,1,2,cgp,reacher,105
148,1399,6,51.999999999999986,3,1,2,cgp,reacher,105
149,1499,6,51.999999999999986,3,1,2,cgp,reacher,105
150,999,3,61.7,2,0,1,cgp,reacher,105
151,1599,3,61.7,2,0,1,cgp,reacher,105
152,199,3,61.7,2,0,1,cgp,reacher,105
153,799,3,61.7,2,0,1,cgp,reacher,105
154,1899,3,61.7,2,0,1,cgp,reacher,105
155,2199,3,61.7,2,0,1,cgp,reacher,105
156,2299,3,61.7,2,0,1,cgp,reacher,105
157,1499,3,61.7,2,0,1,cgp,reacher,105
158,99,3,61.7,2,0,1,cgp,reacher,105
159,299,3,61.7,2,0,1,cgp,reacher,105
160,1699,3,61.7,2,0,1,cgp,reacher,105
161,1299,3,61.7,2,0,1,cgp,reacher,105
162,399,3,61.7,2,0,1,cgp,reacher,105
163,2099,3,61.7,2,0,1,cgp,reacher,105
164,599,3,61.7,2,0,1,cgp,reacher,105
165,899,3,61.7,2,0,1,cgp,reacher,105
166,1799,3,61.7,2,0,1,cgp,reacher,105
167,1999,3,61.7,2,0,1,cgp,reacher,105
168,499,3,61.7,2,0,1,cgp,reacher,105
169,2499,3,61.7,2,0,1,cgp,reacher,105
170,1099,3,61.7,2,0,1,cgp,reacher,105
171,699,3,61.7,2,0,1,cgp,reacher,105
172,1199,3,61.7,2,0,1,cgp,reacher,105
173,2399,3,61.7,2,0,1,cgp,reacher,105
174,1399,3,61.7,2,0,1,cgp,reacher,105
175,1799,6,68.49999999999999,1,2,2,cgp,reacher,105
176,2499,6,68.49999999999999,1,2,2,cgp,reacher,105
177,1499,6,68.49999999999999,1,2,2,cgp,reacher,105
178,2399,6,68.49999999999999,1,2,2,cgp,reacher,105
179,1999,6,68.49999999999999,1,2,2,cgp,reacher,105
180,2199,6,68.49999999999999,1,2,2,cgp,reacher,105
181,799,6,68.49999999999999,1,2,2,cgp,reacher,105
182,399,6,68.49999999999999,1,2,2,cgp,reacher,105
183,1199,6,68.49999999999999,1,2,2,cgp,reacher,105
184,1399,6,68.49999999999999,1,2,2,cgp,reacher,105
185,299,6,68.49999999999999,1,2,2,cgp,reacher,105
186,499,6,68.49999999999999,1,2,2,cgp,reacher,105
187,1099,6,68.49999999999999,1,2,2,cgp,reacher,105
188,599,6,68.49999999999999,1,2,2,cgp,reacher,105
189,1299,6,68.49999999999999,1,2,2,cgp,reacher,105
190,1599,6,68.49999999999999,1,2,2,cgp,reacher,105
191,899,6,68.49999999999999,1,2,2,cgp,reacher,105
192,999,6,68.49999999999999,1,2,2,cgp,reacher,105
193,1699,6,68.49999999999999,1,2,2,cgp,reacher,105
194,1899,6,68.49999999999999,1,2,2,cgp,reacher,105
195,99,6,68.49999999999999,1,2,2,cgp,reacher,105
196,699,6,68.49999999999999,1,2,2,cgp,reacher,105
197,199,6,68.49999999999999,1,2,2,cgp,reacher,105
198,2299,6,68.49999999999999,1,2,2,cgp,reacher,105
199,2099,6,68.49999999999999,1,2,2,cgp,reacher,105
200,899,16,47.69999999999999,3,6,5,cgp,reacher,105
201,1899,16,47.69999999999999,3,6,5,cgp,reacher,105
202,1599,16,47.69999999999999,3,6,5,cgp,reacher,105
203,2299,16,47.69999999999999,3,6,5,cgp,reacher,105
204,2499,16,47.69999999999999,3,6,5,cgp,reacher,105
205,799,16,47.69999999999999,3,6,5,cgp,reacher,105
206,99,16,47.69999999999999,3,6,5,cgp,reacher,105
207,1499,16,47.69999999999999,3,6,5,cgp,reacher,105
208,299,16,47.69999999999999,3,6,5,cgp,reacher,105
209,1199,16,47.69999999999999,3,6,5,cgp,reacher,105
210,2199,16,47.69999999999999,3,6,5,cgp,reacher,105
211,1799,16,47.69999999999999,3,6,5,cgp,reacher,105
212,1299,16,47.69999999999999,3,6,5,cgp,reacher,105
213,1699,16,47.69999999999999,3,6,5,cgp,reacher,105
214,1099,16,47.69999999999999,3,6,5,cgp,reacher,105
215,999,16,47.69999999999999,3,6,5,cgp,reacher,105
216,2399,16,47.69999999999999,3,6,5,cgp,reacher,105
217,2099,16,47.69999999999999,3,6,5,cgp,reacher,105
218,1399,16,47.69999999999999,3,6,5,cgp,reacher,105
219,699,16,47.69999999999999,3,6,5,cgp,reacher,105
220,599,16,47.69999999999999,3,6,5,cgp,reacher,105
221,199,16,47.69999999999999,3,6,5,cgp,reacher,105
222,399,16,47.69999999999999,3,6,5,cgp,reacher,105
223,1999,16,47.69999999999999,3,6,5,cgp,reacher,105
224,499,16,47.69999999999999,3,6,5,cgp,reacher,105
225,2199,10,54.499999999999986,2,4,4,cgp,reacher,105
226,499,10,54.499999999999986,2,4,4,cgp,reacher,105
227,599,10,54.499999999999986,2,4,4,cgp,reacher,105
228,2099,10,54.499999999999986,2,4,4,cgp,reacher,105
229,1299,10,54.499999999999986,2,4,4,cgp,reacher,105
230,2499,10,54.499999999999986,2,4,4,cgp,reacher,105
231,1599,10,54.499999999999986,2,4,4,cgp,reacher,105
232,1399,10,54.499999999999986,2,4,4,cgp,reacher,105
233,199,10,54.499999999999986,2,4,4,cgp,reacher,105
234,799,10,54.499999999999986,2,4,4,cgp,reacher,105
235,899,10,54.499999999999986,2,4,4,cgp,reacher,105
236,299,10,54.499999999999986,2,4,4,cgp,reacher,105
237,1999,10,54.499999999999986,2,4,4,cgp,reacher,105
238,1899,10,54.499999999999986,2,4,4,cgp,reacher,105
239,1799,10,54.499999999999986,2,4,4,cgp,reacher,105
240,2299,10,54.499999999999986,2,4,4,cgp,reacher,105
241,1699,10,54.499999999999986,2,4,4,cgp,reacher,105
242,1199,10,54.499999999999986,2,4,4,cgp,reacher,105
243,1099,10,54.499999999999986,2,4,4,cgp,reacher,105
244,2399,10,54.499999999999986,2,4,4,cgp,reacher,105
245,999,10,54.499999999999986,2,4,4,cgp,reacher,105
246,1499,10,54.499999999999986,2,4,4,cgp,reacher,105
247,99,10,54.499999999999986,2,4,4,cgp,reacher,105
248,399,10,54.499999999999986,2,4,4,cgp,reacher,105
249,699,10,54.499999999999986,2,4,4,cgp,reacher,105
