,generation,n_edges,phi,solver,environment,seed
0,899,4,69.39999999999999,lgp,hopper,108
1,499,4,69.39999999999999,lgp,hopper,108
2,1399,4,69.39999999999999,lgp,hopper,108
3,199,4,69.39999999999999,lgp,hopper,108
4,999,4,69.39999999999999,lgp,hopper,108
5,799,4,69.39999999999999,lgp,hopper,108
6,1499,4,69.39999999999999,lgp,hopper,108
7,299,4,69.39999999999999,lgp,hopper,108
8,399,4,69.39999999999999,lgp,hopper,108
9,99,4,69.39999999999999,lgp,hopper,108
10,699,4,69.39999999999999,lgp,hopper,108
11,599,4,69.39999999999999,lgp,hopper,108
12,1299,4,69.39999999999999,lgp,hopper,108
13,1099,4,69.39999999999999,lgp,hopper,108
14,1199,4,69.39999999999999,lgp,hopper,108
15,799,8,67.6,lgp,hopper,108
16,699,8,67.6,lgp,hopper,108
17,1499,8,67.6,lgp,hopper,108
18,199,8,67.6,lgp,hopper,108
19,99,8,67.6,lgp,hopper,108
20,399,8,67.6,lgp,hopper,108
21,1399,8,67.6,lgp,hopper,108
22,1199,8,67.6,lgp,hopper,108
23,1099,8,67.6,lgp,hopper,108
24,599,8,67.6,lgp,hopper,108
25,999,8,67.6,lgp,hopper,108
26,899,8,67.6,lgp,hopper,108
27,499,8,67.6,lgp,hopper,108
28,299,8,67.6,lgp,hopper,108
29,1299,8,67.6,lgp,hopper,108
30,399,3,61.7,lgp,hopper,108
31,899,3,61.7,lgp,hopper,108
32,299,3,61.7,lgp,hopper,108
33,99,3,61.7,lgp,hopper,108
34,1199,3,61.7,lgp,hopper,108
35,599,3,61.7,lgp,hopper,108
36,499,3,61.7,lgp,hopper,108
37,1299,3,61.7,lgp,hopper,108
38,699,3,61.7,lgp,hopper,108
39,1099,3,61.7,lgp,hopper,108
40,999,3,61.7,lgp,hopper,108
41,199,3,61.7,lgp,hopper,108
42,799,3,61.7,lgp,hopper,108
43,1399,3,61.7,lgp,hopper,108
44,1499,3,61.7,lgp,hopper,108
45,999,6,52.19999999999999,lgp,hopper,108
46,199,6,52.19999999999999,lgp,hopper,108
47,799,6,52.19999999999999,lgp,hopper,108
48,1499,6,52.19999999999999,lgp,hopper,108
49,99,6,52.19999999999999,lgp,hopper,108
50,299,6,52.19999999999999,lgp,hopper,108
51,1299,6,52.19999999999999,lgp,hopper,108
52,399,6,52.19999999999999,lgp,hopper,108
53,599,6,52.19999999999999,lgp,hopper,108
54,899,6,52.19999999999999,lgp,hopper,108
55,499,6,52.19999999999999,lgp,hopper,108
56,1099,6,52.19999999999999,lgp,hopper,108
57,699,6,52.19999999999999,lgp,hopper,108
58,1199,6,52.19999999999999,lgp,hopper,108
59,1399,6,52.19999999999999,lgp,hopper,108
60,1499,11,42.19999999999999,lgp,hopper,108
61,799,11,42.19999999999999,lgp,hopper,108
62,399,11,42.19999999999999,lgp,hopper,108
63,1199,11,42.19999999999999,lgp,hopper,108
64,1399,11,42.19999999999999,lgp,hopper,108
65,299,11,42.19999999999999,lgp,hopper,108
66,499,11,42.19999999999999,lgp,hopper,108
67,1099,11,42.19999999999999,lgp,hopper,108
68,599,11,42.19999999999999,lgp,hopper,108
69,1299,11,42.19999999999999,lgp,hopper,108
70,899,11,42.19999999999999,lgp,hopper,108
71,999,11,42.19999999999999,lgp,hopper,108
72,99,11,42.19999999999999,lgp,hopper,108
73,699,11,42.19999999999999,lgp,hopper,108
74,199,11,42.19999999999999,lgp,hopper,108
75,899,5,60.8,lgp,hopper,108
76,799,5,60.8,lgp,hopper,108
77,99,5,60.8,lgp,hopper,108
78,1499,5,60.8,lgp,hopper,108
79,299,5,60.8,lgp,hopper,108
80,1199,5,60.8,lgp,hopper,108
81,1299,5,60.8,lgp,hopper,108
82,1099,5,60.8,lgp,hopper,108
83,999,5,60.8,lgp,hopper,108
84,1399,5,60.8,lgp,hopper,108
85,699,5,60.8,lgp,hopper,108
86,599,5,60.8,lgp,hopper,108
87,199,5,60.8,lgp,hopper,108
88,399,5,60.8,lgp,hopper,108
89,499,5,60.8,lgp,hopper,108
90,499,6,56.69999999999999,lgp,hopper,108
91,599,6,56.69999999999999,lgp,hopper,108
92,1299,6,56.69999999999999,lgp,hopper,108
93,1399,6,56.69999999999999,lgp,hopper,108
94,199,6,56.69999999999999,lgp,hopper,108
95,799,6,56.69999999999999,lgp,hopper,108
96,899,6,56.69999999999999,lgp,hopper,108
97,299,6,56.69999999999999,lgp,hopper,108
98,1199,6,56.69999999999999,lgp,hopper,108
99,1099,6,56.69999999999999,lgp,hopper,108
100,999,6,56.69999999999999,lgp,hopper,108
101,1499,6,56.69999999999999,lgp,hopper,108
102,99,6,56.69999999999999,lgp,hopper,108
103,399,6,56.69999999999999,lgp,hopper,108
104,699,6,56.69999999999999,lgp,hopper,108
105,799,10,66.69999999999999,lgp,hopper,108
106,699,10,66.69999999999999,lgp,hopper,108
107,1499,8,67.6,lgp,hopper,108
108,199,5,77.1,lgp,hopper,108
109,99,3,78.0,lgp,hopper,108
110,399,11,58.099999999999994,lgp,hopper,108
111,1399,8,67.6,lgp,hopper,108
112,1199,10,66.69999999999999,lgp,hopper,108
113,1099,10,66.69999999999999,lgp,hopper,108
114,599,10,66.69999999999999,lgp,hopper,108
115,999,10,66.69999999999999,lgp,hopper,108
116,899,10,66.69999999999999,lgp,hopper,108
117,499,10,66.69999999999999,lgp,hopper,108
118,299,11,58.099999999999994,lgp,hopper,108
119,1299,10,66.69999999999999,lgp,hopper,108
120,399,5,77.1,lgp,hopper,108
121,899,5,77.1,lgp,hopper,108
122,299,5,77.1,lgp,hopper,108
123,99,10,66.69999999999999,lgp,hopper,108
124,1199,5,77.1,lgp,hopper,108
125,599,5,77.1,lgp,hopper,108
126,499,5,77.1,lgp,hopper,108
127,1299,6,68.49999999999999,lgp,hopper,108
128,699,5,77.1,lgp,hopper,108
129,1099,5,77.1,lgp,hopper,108
130,999,5,77.1,lgp,hopper,108
131,199,6,68.49999999999999,lgp,hopper,108
132,799,6,68.49999999999999,lgp,hopper,108
133,1399,5,77.1,lgp,hopper,108
134,1499,5,77.1,lgp,hopper,108
