,seed,generation,graph_size,max_size,solver,ea,environment
0,1,799,29,68,cgp,1+lambda,halfcheetah
1,5,1699,31,68,cgp,1+lambda,halfcheetah
2,7,3999,34,68,cgp,1+lambda,halfcheetah
3,6,4399,32,68,cgp,1+lambda,halfcheetah
4,3,3199,29,68,cgp,1+lambda,halfcheetah
5,6,4199,28,68,cgp,1+lambda,halfcheetah
6,2,3799,31,68,cgp,1+lambda,halfcheetah
7,6,499,28,68,cgp,1+lambda,halfcheetah
8,2,4899,23,68,cgp,1+lambda,halfcheetah
9,8,3199,25,68,cgp,1+lambda,halfcheetah
10,4,3599,25,68,cgp,1+lambda,halfcheetah
11,5,799,31,68,cgp,1+lambda,halfcheetah
12,8,799,24,68,cgp,1+lambda,halfcheetah
13,4,699,29,68,cgp,1+lambda,halfcheetah
14,8,1499,28,68,cgp,1+lambda,halfcheetah
15,9,3199,28,68,cgp,1+lambda,halfcheetah
16,3,3699,26,68,cgp,1+lambda,halfcheetah
17,5,4299,26,68,cgp,1+lambda,halfcheetah
18,4,2999,31,68,cgp,1+lambda,halfcheetah
19,1,2999,30,68,cgp,1+lambda,halfcheetah
20,1,3699,28,68,cgp,1+lambda,halfcheetah
21,9,399,21,68,cgp,1+lambda,halfcheetah
22,2,3899,26,68,cgp,1+lambda,halfcheetah
23,8,399,29,68,cgp,1+lambda,halfcheetah
24,8,3599,28,68,cgp,1+lambda,halfcheetah
25,4,1499,30,68,cgp,1+lambda,halfcheetah
26,0,4399,22,68,cgp,1+lambda,halfcheetah
27,8,4599,36,68,cgp,1+lambda,halfcheetah
28,3,4599,28,68,cgp,1+lambda,halfcheetah
29,9,4399,27,68,cgp,1+lambda,halfcheetah
30,3,699,26,68,cgp,1+lambda,halfcheetah
31,7,1399,25,68,cgp,1+lambda,halfcheetah
32,4,2699,25,68,cgp,1+lambda,halfcheetah
33,0,3099,21,68,cgp,1+lambda,halfcheetah
34,7,1899,30,68,cgp,1+lambda,halfcheetah
35,1,3499,32,68,cgp,1+lambda,halfcheetah
36,1,3399,32,68,cgp,1+lambda,halfcheetah
37,9,2499,31,68,cgp,1+lambda,halfcheetah
38,6,1599,30,68,cgp,1+lambda,halfcheetah
39,6,3499,24,68,cgp,1+lambda,halfcheetah
40,8,4499,33,68,cgp,1+lambda,halfcheetah
41,8,1899,21,68,cgp,1+lambda,halfcheetah
42,6,3599,26,68,cgp,1+lambda,halfcheetah
43,6,3199,27,68,cgp,1+lambda,halfcheetah
44,1,1899,27,68,cgp,1+lambda,halfcheetah
45,8,4699,29,68,cgp,1+lambda,halfcheetah
46,8,2599,27,68,cgp,1+lambda,halfcheetah
47,0,599,32,68,cgp,1+lambda,halfcheetah
48,4,1299,30,68,cgp,1+lambda,halfcheetah
49,7,2399,24,68,cgp,1+lambda,halfcheetah
50,2,2999,33,68,cgp,1+lambda,halfcheetah
51,6,99,30,68,cgp,1+lambda,halfcheetah
52,5,2099,21,68,cgp,1+lambda,halfcheetah
53,5,899,22,68,cgp,1+lambda,halfcheetah
54,1,199,26,68,cgp,1+lambda,halfcheetah
55,4,399,33,68,cgp,1+lambda,halfcheetah
56,8,999,35,68,cgp,1+lambda,halfcheetah
57,2,2099,28,68,cgp,1+lambda,halfcheetah
58,7,199,32,68,cgp,1+lambda,halfcheetah
59,9,2099,32,68,cgp,1+lambda,halfcheetah
60,3,3499,28,68,cgp,1+lambda,halfcheetah
61,0,3799,26,68,cgp,1+lambda,halfcheetah
62,9,2199,25,68,cgp,1+lambda,halfcheetah
63,4,3199,30,68,cgp,1+lambda,halfcheetah
64,1,4299,26,68,cgp,1+lambda,halfcheetah
65,5,2799,35,68,cgp,1+lambda,halfcheetah
66,5,2899,26,68,cgp,1+lambda,halfcheetah
67,2,4099,33,68,cgp,1+lambda,halfcheetah
68,0,2099,27,68,cgp,1+lambda,halfcheetah
69,3,2499,26,68,cgp,1+lambda,halfcheetah
70,3,3799,35,68,cgp,1+lambda,halfcheetah
71,7,399,29,68,cgp,1+lambda,halfcheetah
72,0,2799,26,68,cgp,1+lambda,halfcheetah
73,0,1199,30,68,cgp,1+lambda,halfcheetah
74,4,3699,30,68,cgp,1+lambda,halfcheetah
75,0,1699,26,68,cgp,1+lambda,halfcheetah
76,8,2799,27,68,cgp,1+lambda,halfcheetah
77,2,4999,26,68,cgp,1+lambda,halfcheetah
78,7,2199,26,68,cgp,1+lambda,halfcheetah
79,8,1099,23,68,cgp,1+lambda,halfcheetah
80,2,199,29,68,cgp,1+lambda,halfcheetah
81,5,3399,24,68,cgp,1+lambda,halfcheetah
82,1,3999,29,68,cgp,1+lambda,halfcheetah
83,9,1399,27,68,cgp,1+lambda,halfcheetah
84,6,1999,25,68,cgp,1+lambda,halfcheetah
85,4,299,28,68,cgp,1+lambda,halfcheetah
86,3,1999,28,68,cgp,1+lambda,halfcheetah
87,4,599,27,68,cgp,1+lambda,halfcheetah
88,6,199,26,68,cgp,1+lambda,halfcheetah
89,6,3799,33,68,cgp,1+lambda,halfcheetah
90,9,1799,28,68,cgp,1+lambda,halfcheetah
91,0,1299,26,68,cgp,1+lambda,halfcheetah
92,0,99,32,68,cgp,1+lambda,halfcheetah
93,4,4999,29,68,cgp,1+lambda,halfcheetah
94,4,4799,28,68,cgp,1+lambda,halfcheetah
95,6,1699,28,68,cgp,1+lambda,halfcheetah
96,6,4999,30,68,cgp,1+lambda,halfcheetah
97,5,2599,28,68,cgp,1+lambda,halfcheetah
98,6,4299,27,68,cgp,1+lambda,halfcheetah
99,7,4399,26,68,cgp,1+lambda,halfcheetah
100,3,99,34,68,cgp,1+lambda,halfcheetah
101,8,1299,35,68,cgp,1+lambda,halfcheetah
102,5,4099,24,68,cgp,1+lambda,halfcheetah
103,9,2799,27,68,cgp,1+lambda,halfcheetah
104,0,1099,24,68,cgp,1+lambda,halfcheetah
105,0,1899,27,68,cgp,1+lambda,halfcheetah
106,3,799,32,68,cgp,1+lambda,halfcheetah
107,2,4199,29,68,cgp,1+lambda,halfcheetah
108,4,99,33,68,cgp,1+lambda,halfcheetah
109,1,4399,41,68,cgp,1+lambda,halfcheetah
110,5,299,38,68,cgp,1+lambda,halfcheetah
111,1,1499,31,68,cgp,1+lambda,halfcheetah
112,6,2699,27,68,cgp,1+lambda,halfcheetah
113,9,2299,32,68,cgp,1+lambda,halfcheetah
114,2,799,30,68,cgp,1+lambda,halfcheetah
115,9,3599,30,68,cgp,1+lambda,halfcheetah
116,3,2199,25,68,cgp,1+lambda,halfcheetah
117,2,2599,28,68,cgp,1+lambda,halfcheetah
118,0,4699,26,68,cgp,1+lambda,halfcheetah
119,4,3299,30,68,cgp,1+lambda,halfcheetah
120,5,4799,33,68,cgp,1+lambda,halfcheetah
121,4,799,27,68,cgp,1+lambda,halfcheetah
122,6,2199,28,68,cgp,1+lambda,halfcheetah
123,7,2299,29,68,cgp,1+lambda,halfcheetah
124,8,4799,28,68,cgp,1+lambda,halfcheetah
125,7,3199,29,68,cgp,1+lambda,halfcheetah
126,4,499,32,68,cgp,1+lambda,halfcheetah
127,1,4799,30,68,cgp,1+lambda,halfcheetah
128,7,1499,28,68,cgp,1+lambda,halfcheetah
129,2,1699,28,68,cgp,1+lambda,halfcheetah
130,2,4699,27,68,cgp,1+lambda,halfcheetah
131,1,3199,24,68,cgp,1+lambda,halfcheetah
132,7,1999,34,68,cgp,1+lambda,halfcheetah
133,3,4499,27,68,cgp,1+lambda,halfcheetah
134,3,1899,22,68,cgp,1+lambda,halfcheetah
135,7,4299,31,68,cgp,1+lambda,halfcheetah
136,1,1399,33,68,cgp,1+lambda,halfcheetah
137,7,2999,34,68,cgp,1+lambda,halfcheetah
138,7,4599,27,68,cgp,1+lambda,halfcheetah
139,5,99,22,68,cgp,1+lambda,halfcheetah
140,8,4299,26,68,cgp,1+lambda,halfcheetah
141,4,3099,26,68,cgp,1+lambda,halfcheetah
142,9,3699,26,68,cgp,1+lambda,halfcheetah
143,2,4299,34,68,cgp,1+lambda,halfcheetah
144,5,2299,27,68,cgp,1+lambda,halfcheetah
145,1,3599,29,68,cgp,1+lambda,halfcheetah
146,8,4199,29,68,cgp,1+lambda,halfcheetah
147,3,1699,24,68,cgp,1+lambda,halfcheetah
148,7,2799,29,68,cgp,1+lambda,halfcheetah
149,7,1199,28,68,cgp,1+lambda,halfcheetah
150,5,699,30,68,cgp,1+lambda,halfcheetah
151,2,2499,29,68,cgp,1+lambda,halfcheetah
152,7,3599,32,68,cgp,1+lambda,halfcheetah
153,8,1599,29,68,cgp,1+lambda,halfcheetah
154,2,1499,33,68,cgp,1+lambda,halfcheetah
155,5,2999,29,68,cgp,1+lambda,halfcheetah
156,5,2499,28,68,cgp,1+lambda,halfcheetah
157,6,1299,30,68,cgp,1+lambda,halfcheetah
158,0,3699,27,68,cgp,1+lambda,halfcheetah
159,1,1699,31,68,cgp,1+lambda,halfcheetah
160,4,3499,28,68,cgp,1+lambda,halfcheetah
161,4,1899,25,68,cgp,1+lambda,halfcheetah
162,0,4999,24,68,cgp,1+lambda,halfcheetah
163,8,899,26,68,cgp,1+lambda,halfcheetah
164,0,4899,25,68,cgp,1+lambda,halfcheetah
165,4,1799,30,68,cgp,1+lambda,halfcheetah
166,8,499,27,68,cgp,1+lambda,halfcheetah
167,5,499,23,68,cgp,1+lambda,halfcheetah
168,9,1499,32,68,cgp,1+lambda,halfcheetah
169,1,2699,24,68,cgp,1+lambda,halfcheetah
170,6,4699,24,68,cgp,1+lambda,halfcheetah
171,0,2599,27,68,cgp,1+lambda,halfcheetah
172,4,4399,31,68,cgp,1+lambda,halfcheetah
173,3,599,28,68,cgp,1+lambda,halfcheetah
174,4,4099,29,68,cgp,1+lambda,halfcheetah
175,7,4499,29,68,cgp,1+lambda,halfcheetah
