,seed,generation,graph_size,max_size,solver,ea,environment
0,3,699,6,15,lgp,mu+lambda,halfcheetah
1,3,99,6,15,lgp,mu+lambda,halfcheetah
2,3,799,5,15,lgp,mu+lambda,halfcheetah
3,3,599,10,15,lgp,mu+lambda,halfcheetah
4,3,199,5,15,lgp,mu+lambda,halfcheetah
5,3,299,5,15,lgp,mu+lambda,halfcheetah
6,3,499,9,15,lgp,mu+lambda,halfcheetah
7,3,899,5,15,lgp,mu+lambda,halfcheetah
8,3,999,5,15,lgp,mu+lambda,halfcheetah
9,3,399,5,15,lgp,mu+lambda,halfcheetah
