,seed,generation,graph_size,max_size,solver,ea,environment
0,1,799,0,15,lgp,1+lambda,halfcheetah
1,5,1699,0,15,lgp,1+lambda,halfcheetah
2,7,3999,0,15,lgp,1+lambda,halfcheetah
3,6,4399,0,15,lgp,1+lambda,halfcheetah
4,3,3199,0,15,lgp,1+lambda,halfcheetah
5,6,4199,0,15,lgp,1+lambda,halfcheetah
6,2,3799,0,15,lgp,1+lambda,halfcheetah
7,6,499,0,15,lgp,1+lambda,halfcheetah
8,2,4899,0,15,lgp,1+lambda,halfcheetah
9,8,3199,0,15,lgp,1+lambda,halfcheetah
10,4,3599,0,15,lgp,1+lambda,halfcheetah
11,5,799,0,15,lgp,1+lambda,halfcheetah
12,8,799,0,15,lgp,1+lambda,halfcheetah
13,4,699,0,15,lgp,1+lambda,halfcheetah
14,8,1499,0,15,lgp,1+lambda,halfcheetah
15,9,3199,0,15,lgp,1+lambda,halfcheetah
16,3,3699,0,15,lgp,1+lambda,halfcheetah
17,5,4299,0,15,lgp,1+lambda,halfcheetah
18,4,2999,0,15,lgp,1+lambda,halfcheetah
19,1,2999,0,15,lgp,1+lambda,halfcheetah
20,1,3699,0,15,lgp,1+lambda,halfcheetah
21,9,399,0,15,lgp,1+lambda,halfcheetah
22,2,3899,0,15,lgp,1+lambda,halfcheetah
23,8,399,0,15,lgp,1+lambda,halfcheetah
24,8,3599,0,15,lgp,1+lambda,halfcheetah
25,4,1499,0,15,lgp,1+lambda,halfcheetah
26,0,4399,0,15,lgp,1+lambda,halfcheetah
27,8,4599,0,15,lgp,1+lambda,halfcheetah
28,3,4599,0,15,lgp,1+lambda,halfcheetah
29,9,4399,0,15,lgp,1+lambda,halfcheetah
30,3,699,0,15,lgp,1+lambda,halfcheetah
31,7,1399,0,15,lgp,1+lambda,halfcheetah
32,4,2699,0,15,lgp,1+lambda,halfcheetah
33,0,3099,0,15,lgp,1+lambda,halfcheetah
34,7,1899,0,15,lgp,1+lambda,halfcheetah
35,1,3499,0,15,lgp,1+lambda,halfcheetah
36,1,3399,0,15,lgp,1+lambda,halfcheetah
37,9,2499,0,15,lgp,1+lambda,halfcheetah
38,6,1599,0,15,lgp,1+lambda,halfcheetah
39,6,3499,0,15,lgp,1+lambda,halfcheetah
40,8,4499,0,15,lgp,1+lambda,halfcheetah
41,8,1899,0,15,lgp,1+lambda,halfcheetah
42,6,3599,0,15,lgp,1+lambda,halfcheetah
43,6,3199,0,15,lgp,1+lambda,halfcheetah
44,1,1899,0,15,lgp,1+lambda,halfcheetah
45,8,4699,0,15,lgp,1+lambda,halfcheetah
46,8,2599,0,15,lgp,1+lambda,halfcheetah
47,0,599,0,15,lgp,1+lambda,halfcheetah
48,4,1299,0,15,lgp,1+lambda,halfcheetah
49,7,2399,0,15,lgp,1+lambda,halfcheetah
50,2,2999,0,15,lgp,1+lambda,halfcheetah
51,6,99,0,15,lgp,1+lambda,halfcheetah
52,5,2099,0,15,lgp,1+lambda,halfcheetah
53,5,899,0,15,lgp,1+lambda,halfcheetah
54,1,199,0,15,lgp,1+lambda,halfcheetah
55,4,399,0,15,lgp,1+lambda,halfcheetah
56,8,999,0,15,lgp,1+lambda,halfcheetah
57,2,2099,0,15,lgp,1+lambda,halfcheetah
58,7,199,0,15,lgp,1+lambda,halfcheetah
59,9,2099,0,15,lgp,1+lambda,halfcheetah
60,3,3499,0,15,lgp,1+lambda,halfcheetah
61,0,3799,0,15,lgp,1+lambda,halfcheetah
62,9,2199,0,15,lgp,1+lambda,halfcheetah
63,4,3199,0,15,lgp,1+lambda,halfcheetah
64,1,4299,0,15,lgp,1+lambda,halfcheetah
65,5,2799,0,15,lgp,1+lambda,halfcheetah
66,5,2899,0,15,lgp,1+lambda,halfcheetah
67,2,4099,0,15,lgp,1+lambda,halfcheetah
68,0,2099,0,15,lgp,1+lambda,halfcheetah
69,3,2499,0,15,lgp,1+lambda,halfcheetah
70,3,3799,0,15,lgp,1+lambda,halfcheetah
71,7,399,0,15,lgp,1+lambda,halfcheetah
72,0,2799,0,15,lgp,1+lambda,halfcheetah
73,0,1199,0,15,lgp,1+lambda,halfcheetah
74,4,3699,0,15,lgp,1+lambda,halfcheetah
75,0,1699,0,15,lgp,1+lambda,halfcheetah
76,8,2799,0,15,lgp,1+lambda,halfcheetah
77,2,4999,0,15,lgp,1+lambda,halfcheetah
78,7,2199,0,15,lgp,1+lambda,halfcheetah
79,8,1099,0,15,lgp,1+lambda,halfcheetah
80,2,199,0,15,lgp,1+lambda,halfcheetah
81,5,3399,0,15,lgp,1+lambda,halfcheetah
82,1,3999,0,15,lgp,1+lambda,halfcheetah
83,9,1399,0,15,lgp,1+lambda,halfcheetah
84,6,1999,0,15,lgp,1+lambda,halfcheetah
85,4,299,0,15,lgp,1+lambda,halfcheetah
86,3,1999,0,15,lgp,1+lambda,halfcheetah
87,4,599,0,15,lgp,1+lambda,halfcheetah
88,6,199,0,15,lgp,1+lambda,halfcheetah
89,6,3799,0,15,lgp,1+lambda,halfcheetah
90,9,1799,0,15,lgp,1+lambda,halfcheetah
91,0,1299,0,15,lgp,1+lambda,halfcheetah
92,0,99,0,15,lgp,1+lambda,halfcheetah
93,4,4999,0,15,lgp,1+lambda,halfcheetah
94,4,4799,0,15,lgp,1+lambda,halfcheetah
95,6,1699,0,15,lgp,1+lambda,halfcheetah
96,6,4999,0,15,lgp,1+lambda,halfcheetah
97,5,2599,0,15,lgp,1+lambda,halfcheetah
98,6,4299,0,15,lgp,1+lambda,halfcheetah
99,7,4399,0,15,lgp,1+lambda,halfcheetah
100,3,99,0,15,lgp,1+lambda,halfcheetah
101,8,1299,0,15,lgp,1+lambda,halfcheetah
102,5,4099,0,15,lgp,1+lambda,halfcheetah
103,9,2799,0,15,lgp,1+lambda,halfcheetah
104,0,1099,0,15,lgp,1+lambda,halfcheetah
105,0,1899,0,15,lgp,1+lambda,halfcheetah
106,3,799,0,15,lgp,1+lambda,halfcheetah
107,2,4199,0,15,lgp,1+lambda,halfcheetah
108,4,99,0,15,lgp,1+lambda,halfcheetah
109,1,4399,0,15,lgp,1+lambda,halfcheetah
110,5,299,0,15,lgp,1+lambda,halfcheetah
111,1,1499,0,15,lgp,1+lambda,halfcheetah
112,6,2699,0,15,lgp,1+lambda,halfcheetah
113,9,2299,0,15,lgp,1+lambda,halfcheetah
114,2,799,0,15,lgp,1+lambda,halfcheetah
115,9,3599,0,15,lgp,1+lambda,halfcheetah
116,3,2199,0,15,lgp,1+lambda,halfcheetah
117,2,2599,0,15,lgp,1+lambda,halfcheetah
118,0,4699,0,15,lgp,1+lambda,halfcheetah
119,4,3299,0,15,lgp,1+lambda,halfcheetah
120,5,4799,0,15,lgp,1+lambda,halfcheetah
121,4,799,0,15,lgp,1+lambda,halfcheetah
122,6,2199,0,15,lgp,1+lambda,halfcheetah
123,7,2299,0,15,lgp,1+lambda,halfcheetah
124,8,4799,0,15,lgp,1+lambda,halfcheetah
125,7,3199,0,15,lgp,1+lambda,halfcheetah
126,4,499,0,15,lgp,1+lambda,halfcheetah
127,1,4799,0,15,lgp,1+lambda,halfcheetah
128,7,1499,0,15,lgp,1+lambda,halfcheetah
129,2,1699,0,15,lgp,1+lambda,halfcheetah
130,2,4699,0,15,lgp,1+lambda,halfcheetah
131,1,3199,0,15,lgp,1+lambda,halfcheetah
132,7,1999,0,15,lgp,1+lambda,halfcheetah
133,3,4499,0,15,lgp,1+lambda,halfcheetah
134,3,1899,0,15,lgp,1+lambda,halfcheetah
135,7,4299,0,15,lgp,1+lambda,halfcheetah
136,1,1399,0,15,lgp,1+lambda,halfcheetah
137,7,2999,0,15,lgp,1+lambda,halfcheetah
138,7,4599,0,15,lgp,1+lambda,halfcheetah
139,5,99,0,15,lgp,1+lambda,halfcheetah
140,8,4299,0,15,lgp,1+lambda,halfcheetah
141,4,3099,0,15,lgp,1+lambda,halfcheetah
142,9,3699,0,15,lgp,1+lambda,halfcheetah
143,2,4299,0,15,lgp,1+lambda,halfcheetah
144,5,2299,0,15,lgp,1+lambda,halfcheetah
145,1,3599,0,15,lgp,1+lambda,halfcheetah
146,8,4199,0,15,lgp,1+lambda,halfcheetah
147,3,1699,0,15,lgp,1+lambda,halfcheetah
148,7,2799,0,15,lgp,1+lambda,halfcheetah
149,7,1199,0,15,lgp,1+lambda,halfcheetah
150,5,699,0,15,lgp,1+lambda,halfcheetah
151,2,2499,0,15,lgp,1+lambda,halfcheetah
152,7,3599,0,15,lgp,1+lambda,halfcheetah
153,8,1599,0,15,lgp,1+lambda,halfcheetah
154,2,1499,0,15,lgp,1+lambda,halfcheetah
155,5,2999,0,15,lgp,1+lambda,halfcheetah
