,seed,generation,graph_size,max_size,solver,ea,environment
0,9,399,6,15,lgp,mu+lambda,walker2d
1,9,899,6,15,lgp,mu+lambda,walker2d
2,9,599,6,15,lgp,mu+lambda,walker2d
3,9,699,6,15,lgp,mu+lambda,walker2d
4,9,499,6,15,lgp,mu+lambda,walker2d
5,9,999,7,15,lgp,mu+lambda,walker2d
6,9,199,8,15,lgp,mu+lambda,walker2d
7,9,99,7,15,lgp,mu+lambda,walker2d
8,9,299,7,15,lgp,mu+lambda,walker2d
9,9,799,6,15,lgp,mu+lambda,walker2d
