,seed,generation,graph_size,max_size,solver,ea,environment
0,1,799,91,137,cgp-local,1+lambda,ant
1,6,499,94,137,cgp-local,1+lambda,ant
2,5,799,87,137,cgp-local,1+lambda,ant
3,8,799,88,137,cgp-local,1+lambda,ant
4,4,699,90,137,cgp-local,1+lambda,ant
5,9,399,93,137,cgp-local,1+lambda,ant
6,8,399,94,137,cgp-local,1+lambda,ant
7,3,699,91,137,cgp-local,1+lambda,ant
8,0,599,94,137,cgp-local,1+lambda,ant
9,6,99,93,137,cgp-local,1+lambda,ant
10,5,899,87,137,cgp-local,1+lambda,ant
11,1,199,89,137,cgp-local,1+lambda,ant
12,4,399,90,137,cgp-local,1+lambda,ant
13,8,999,93,137,cgp-local,1+lambda,ant
14,7,199,90,137,cgp-local,1+lambda,ant
15,7,399,93,137,cgp-local,1+lambda,ant
16,2,199,88,137,cgp-local,1+lambda,ant
17,4,299,88,137,cgp-local,1+lambda,ant
18,4,599,89,137,cgp-local,1+lambda,ant
19,6,199,89,137,cgp-local,1+lambda,ant
20,0,99,91,137,cgp-local,1+lambda,ant
21,3,99,87,137,cgp-local,1+lambda,ant
22,3,799,90,137,cgp-local,1+lambda,ant
23,4,99,91,137,cgp-local,1+lambda,ant
24,5,299,92,137,cgp-local,1+lambda,ant
25,2,799,93,137,cgp-local,1+lambda,ant
26,4,799,87,137,cgp-local,1+lambda,ant
27,4,499,88,137,cgp-local,1+lambda,ant
28,5,99,94,137,cgp-local,1+lambda,ant
29,5,699,94,137,cgp-local,1+lambda,ant
30,8,899,92,137,cgp-local,1+lambda,ant
31,8,499,92,137,cgp-local,1+lambda,ant
32,5,499,89,137,cgp-local,1+lambda,ant
33,3,599,88,137,cgp-local,1+lambda,ant
34,8,199,87,137,cgp-local,1+lambda,ant
35,5,599,88,137,cgp-local,1+lambda,ant
36,5,399,91,137,cgp-local,1+lambda,ant
37,2,299,91,137,cgp-local,1+lambda,ant
38,5,999,88,137,cgp-local,1+lambda,ant
39,6,899,89,137,cgp-local,1+lambda,ant
40,2,599,90,137,cgp-local,1+lambda,ant
41,1,699,90,137,cgp-local,1+lambda,ant
42,0,199,89,137,cgp-local,1+lambda,ant
43,7,99,93,137,cgp-local,1+lambda,ant
44,1,99,90,137,cgp-local,1+lambda,ant
45,6,599,89,137,cgp-local,1+lambda,ant
46,2,99,92,137,cgp-local,1+lambda,ant
47,4,199,92,137,cgp-local,1+lambda,ant
48,4,999,89,137,cgp-local,1+lambda,ant
49,9,899,87,137,cgp-local,1+lambda,ant
50,8,599,88,137,cgp-local,1+lambda,ant
51,0,799,94,137,cgp-local,1+lambda,ant
52,7,899,89,137,cgp-local,1+lambda,ant
53,2,399,88,137,cgp-local,1+lambda,ant
54,1,499,92,137,cgp-local,1+lambda,ant
55,1,399,93,137,cgp-local,1+lambda,ant
56,0,399,92,137,cgp-local,1+lambda,ant
57,2,699,93,137,cgp-local,1+lambda,ant
58,9,599,88,137,cgp-local,1+lambda,ant
59,6,399,90,137,cgp-local,1+lambda,ant
60,8,699,91,137,cgp-local,1+lambda,ant
61,8,299,90,137,cgp-local,1+lambda,ant
62,7,999,91,137,cgp-local,1+lambda,ant
63,9,699,90,137,cgp-local,1+lambda,ant
64,0,299,93,137,cgp-local,1+lambda,ant
65,3,199,91,137,cgp-local,1+lambda,ant
66,1,899,90,137,cgp-local,1+lambda,ant
67,8,99,87,137,cgp-local,1+lambda,ant
68,7,699,91,137,cgp-local,1+lambda,ant
69,2,499,88,137,cgp-local,1+lambda,ant
70,3,299,92,137,cgp-local,1+lambda,ant
71,7,599,89,137,cgp-local,1+lambda,ant
72,9,499,87,137,cgp-local,1+lambda,ant
73,3,499,91,137,cgp-local,1+lambda,ant
74,6,299,88,137,cgp-local,1+lambda,ant
75,9,999,89,137,cgp-local,1+lambda,ant
76,9,199,94,137,cgp-local,1+lambda,ant
77,1,999,89,137,cgp-local,1+lambda,ant
78,6,799,87,137,cgp-local,1+lambda,ant
79,0,899,91,137,cgp-local,1+lambda,ant
80,9,99,93,137,cgp-local,1+lambda,ant
81,7,499,92,137,cgp-local,1+lambda,ant
82,4,899,88,137,cgp-local,1+lambda,ant
83,0,499,92,137,cgp-local,1+lambda,ant
84,7,799,90,137,cgp-local,1+lambda,ant
85,0,999,90,137,cgp-local,1+lambda,ant
86,1,299,89,137,cgp-local,1+lambda,ant
87,0,699,90,137,cgp-local,1+lambda,ant
88,6,699,89,137,cgp-local,1+lambda,ant
89,3,899,91,137,cgp-local,1+lambda,ant
90,7,299,92,137,cgp-local,1+lambda,ant
91,6,999,93,137,cgp-local,1+lambda,ant
92,2,899,88,137,cgp-local,1+lambda,ant
93,1,599,88,137,cgp-local,1+lambda,ant
94,5,199,90,137,cgp-local,1+lambda,ant
95,3,999,93,137,cgp-local,1+lambda,ant
96,9,299,88,137,cgp-local,1+lambda,ant
97,2,999,92,137,cgp-local,1+lambda,ant
98,3,399,89,137,cgp-local,1+lambda,ant
99,9,799,90,137,cgp-local,1+lambda,ant
