,seed,generation,graph_size,max_size,solver,ea,environment
0,3,699,5,15,lgp,mu+lambda,hopper
1,3,99,5,15,lgp,mu+lambda,hopper
2,3,799,5,15,lgp,mu+lambda,hopper
3,3,599,7,15,lgp,mu+lambda,hopper
4,3,199,6,15,lgp,mu+lambda,hopper
5,3,299,6,15,lgp,mu+lambda,hopper
6,3,499,6,15,lgp,mu+lambda,hopper
7,3,899,5,15,lgp,mu+lambda,hopper
8,3,999,6,15,lgp,mu+lambda,hopper
9,3,399,6,15,lgp,mu+lambda,hopper
